contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP,JEZUS LEEFT
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Cult.centr. Fidei et Arti,1655::SB1,4731 HV,1922,830,2,3,0,0,0,756,79,0,0,0,0,0,0,835,121,143,124,152,55,60,18,77,40,1,0,27,0,8,4
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Sportivo Healthcenter,1655::SB2,4731 LH,1401,445,0,1,0,0,0,401,45,0,0,0,0,0,0,446,80,73,92,80,23,25,8,43,12,0,0,6,0,1,2
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Centrum Wonen&Zorg de Zellebergen,1655::SB3,4731 NZ,1663,739,9,2,0,0,0,670,80,0,0,0,0,0,0,750,102,142,96,148,39,67,25,80,11,1,2,16,1,8,1
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Steunpunt voor ouderen Pagnevaart,1655::SB4,4731 BS,1531,634,3,0,0,0,0,589,48,0,0,0,0,0,0,637,101,111,96,89,52,58,13,82,15,0,0,4,0,10,3
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool De Regenboog,1655::SB6,4731 VW,1783,723,3,2,0,0,0,644,84,0,0,0,0,0,0,728,128,80,103,101,59,92,24,66,34,2,0,17,3,11,3
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Brandweerkazerne,1655::SB8,4741 EJ,1940,885,6,1,0,0,0,786,106,0,0,0,0,0,0,892,206,169,116,110,51,101,15,55,24,0,0,26,0,10,2
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Trefpunt KBO,1655::SB9,4741 AG,1284,690,1,0,0,0,0,618,73,0,0,0,0,0,0,691,158,158,104,61,44,62,16,48,15,0,1,16,0,7,0
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Zaal Hart van Gastel,1655::SB11,4751 HR,1285,561,0,0,0,0,0,501,60,0,0,0,0,0,0,561,107,89,92,92,36,51,18,41,14,0,0,17,0,3,1
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool St.Bernardus,1655::SB12,4751 HK,1096,429,2,2,0,0,0,388,45,0,0,0,0,0,0,433,77,74,79,72,35,29,5,30,6,0,0,16,0,6,0
Tilburg,Halderberge,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Centrum Het Veerhuis,1655::SB14,4751 CS,1992,768,3,3,0,0,0,704,70,0,0,0,0,0,0,774,127,122,141,166,62,38,11,60,16,1,2,18,0,3,1
