contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Het Akkoord,0717::SB1,,1275,747,0,0,0,0,0,654,93,0,0,0,0,0,0,747,151,84,131,56,62,46,15,46,71,44,19,8,14
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw De Spil,0717::SB2,,399,253,0,0,0,1,1,221,32,0,0,0,1,0,0,254,41,14,67,21,22,27,5,10,18,17,5,2,4
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Vrouwenpolder,0717::SB3,,831,508,1,2,0,0,0,456,55,0,0,0,0,0,0,511,110,28,79,36,41,37,16,79,30,31,10,8,3
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw De Zandput,0717::SB4,,1375,858,0,1,0,0,0,792,67,0,0,0,0,0,0,859,105,80,215,43,144,54,21,61,50,37,20,10,18
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Amicitia,0717::SB5,,1081,842,0,0,0,0,0,725,117,0,0,0,0,0,0,842,59,24,87,22,500,26,10,47,20,12,10,14,11
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Nimmerdor,0717::SB6,,1107,733,0,0,0,0,0,680,53,0,0,0,0,0,0,733,119,53,206,58,64,56,22,58,49,18,8,11,11
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Ons Huis,0717::SB7,,1015,817,2,1,0,0,0,693,127,0,0,0,0,0,0,820,39,20,85,21,546,22,10,33,13,12,5,3,8
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Sportcentrum De Couburg,0717::SB8,,1395,824,1,3,0,0,0,742,86,0,0,0,0,0,0,828,154,105,116,59,22,98,38,32,75,53,38,17,17
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau WoZoCo De Brouwerij,0717::SB9,,1382,661,3,2,0,0,1,607,58,0,0,0,0,0,0,666,123,95,152,52,16,60,20,29,53,31,15,7,8
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpscentrum Biggekerke,0717::SB10,,713,448,1,1,0,0,0,398,52,0,0,0,0,0,0,450,84,31,99,28,52,30,17,13,37,27,12,8,10
,Veere,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Middendorp,0717::SB11,,1220,707,0,2,0,0,0,620,89,0,0,0,0,0,0,709,210,47,148,64,51,19,17,32,50,20,26,12,11
