contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Duinhage Florence,0518::SB101,,987,809,0,0,0,0,1,725,83,0,0,0,0,0,0,809,235,82,99,91,53,114,40,12,3,28,46,2,1,3
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Middelbare School Dalton Den Haag,0518::SB102,,1248,939,2,2,0,0,0,864,79,0,0,0,0,0,0,943,236,112,78,52,67,192,66,21,4,35,68,2,2,4
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Inspecteur S. de Vriesschool,0518::SB103,,1112,478,2,2,0,0,0,440,42,0,0,0,0,0,0,482,69,47,98,50,64,58,11,7,5,40,27,0,1,1
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Haags Centrum voor Onderwijsbegeleiding,0518::SB104,,1305,729,4,6,0,0,0,651,89,0,0,0,1,0,0,740,238,60,126,81,25,98,26,14,4,29,27,0,1,0
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijk- en dienstencentrum De Wiekslag,0518::SB105,,2577,1076,1,1,0,0,0,971,107,0,0,0,0,0,0,1078,178,97,243,139,74,146,49,29,10,49,53,2,0,7
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau WoonZorgPark Loosduinen,0518::SB106,,1467,735,4,6,0,0,0,689,56,0,0,0,0,0,0,745,111,77,171,109,75,56,28,18,9,45,33,0,0,3
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,"Stembureau Parnassia, Gehoorzaal nr. 87",0518::SB107,,1503,625,0,1,0,0,0,571,56,0,1,0,1,0,0,627,209,57,62,53,35,87,39,21,7,19,34,0,0,2
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Stadsdeelkantoor Loosduinen,0518::SB109,,1996,1151,3,6,0,0,2,1050,108,0,0,0,0,0,0,1160,138,124,334,101,143,97,38,34,8,75,53,1,1,4
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Koos Meindertsschool,0518::SB112,,2165,875,4,1,0,0,0,794,88,0,2,0,2,0,0,882,105,104,207,75,82,120,37,30,11,53,46,0,4,1
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau WZH Zorgcentrum Nieuw Berkendael,0518::SB114,,1288,455,0,4,0,0,0,408,53,0,2,0,2,0,0,461,60,51,144,40,36,37,19,8,5,28,23,1,1,2
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Florence Zorgcentrum Houthaghe,0518::SB117,,1792,743,4,4,0,0,0,696,55,0,0,0,0,0,0,751,61,62,180,94,80,84,32,25,6,69,45,2,1,2
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Verpleeghuis Houtwijk,0518::SB118,,1439,741,0,2,0,1,0,654,88,0,0,1,0,0,0,742,118,115,101,83,63,87,66,20,4,44,35,1,0,4
's-Gravenhage,'s-Gravenhage,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Chr. Basisschool Leyenburg,0518::SB119,,1536,617,2,4,0,0,0,562,61,0,0,0,0,0,0,623,75,71,156,62,56,75,32,18,1,35,30,3,1,2
