contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Democraten 66 (D66),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,Ouderenpartij Noord-Holland,50PLUS,ChristenUnie-SGP,Vrouwen Partij (VP),Multicultureel Plus Partij (M+),Hart voor Holland,Piratenpartij
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Gemeentehuis Schagen,0441::SB1,1741 EA,1676,946,4,5,0,0,1,880,74,0,0,0,0,0,0,955,226,139,58,120,92,122,47,33,48,32,7,3,0,13,6
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Basisschool De Ark, Schagen",0441::SB2,1741 JP,1878,876,1,8,0,0,0,819,66,0,0,0,0,0,0,885,181,103,88,94,106,127,24,31,46,37,15,1,0,15,8
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau WZG Samen, locatie Magnushof",0441::SB3,1741 KW,1828,790,2,3,0,0,0,746,49,0,0,0,0,0,0,795,153,92,91,95,107,90,19,29,35,40,17,3,0,12,7
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau OBS Juliana Groeneweg, Schagen",0441::SB4,1741 TG,1763,857,5,7,0,0,0,804,65,0,0,0,0,0,0,869,141,127,125,114,73,92,43,30,30,41,18,11,0,8,4
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Niko Tinbergenschool, Schagen",0441::SB5,1742 AC,1709,887,3,0,0,0,0,824,66,0,0,0,0,0,0,890,176,95,93,132,108,101,26,38,32,41,18,8,1,11,7
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau PCB De Wegwijzer, Schagen",0441::SB6,1742 JM,1873,849,1,1,0,0,0,791,60,0,0,0,0,0,0,851,168,113,99,80,121,65,48,47,27,38,14,4,0,17,8
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau GGZ NHN, loc. Geestercogge,Schagen",0441::SB7,1741 NX,1744,851,2,3,0,0,1,780,75,0,0,0,0,0,0,856,225,88,73,104,109,92,29,19,30,43,15,8,1,9,6
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau WZG Samen, locatie De Bron, Schagen",0441::SB8,1741 DA,1602,831,6,5,0,0,0,758,87,0,3,0,3,0,0,845,208,99,74,142,75,80,24,30,27,29,18,6,0,10,9
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Clusius College, Schagen",0441::SB9,1741 MD,968,395,0,1,1,0,0,367,28,0,0,1,0,0,0,395,99,57,25,56,49,38,17,9,11,18,4,4,1,6,1
Den Helder,Schagen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Sporthal Molentocht,0441::SB12,1751 CW,1644,739,1,2,0,0,0,677,65,0,0,0,0,0,0,742,203,85,65,101,74,96,17,18,13,42,7,3,1,10,4
