contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,OPA,JEZUS LEEFT
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Stadhuis,0034::SB1,,1242,1020,13,4,0,0,3,942,93,0,1,0,1,0,0,1038,152,126,154,60,144,162,47,62,3,44,54,7,5
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Zorgcentrum De Overloop,0034::SB2,,1071,421,1,3,0,0,31,394,0,0,0,0,0,0,0,425,55,34,112,19,66,48,6,10,1,43,21,6,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Polderhof,0034::SB3,,1237,565,1,4,0,0,0,511,61,0,2,0,2,0,0,572,50,60,106,49,92,85,15,31,1,30,40,4,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Loofhut,0034::SB4,,2164,1029,2,1,0,0,0,931,101,0,0,0,0,0,0,1032,156,94,172,57,149,126,10,74,7,106,62,9,7
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Klaverweide,0034::SB7,,1614,677,3,3,0,0,0,615,68,0,0,0,0,0,0,683,137,61,126,50,93,88,3,41,0,28,39,9,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Het Drieluik,0034::SB8,,2152,645,3,3,0,0,0,579,72,0,0,0,0,0,0,651,147,63,94,50,72,90,14,37,5,30,39,1,3
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtcentrum Amerika,0034::SB9,,3011,792,2,4,0,1,0,697,100,0,0,1,0,0,0,797,168,93,129,53,79,147,11,39,0,26,41,5,1
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtcentrum Meenten en Grienden,0034::SB12,,1454,718,2,0,0,0,0,654,68,0,2,0,2,0,0,722,67,74,144,62,112,66,14,59,0,45,66,9,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Regenboog,0034::SB13,,1301,655,0,1,0,0,0,605,52,0,1,0,1,0,0,657,69,77,125,32,99,84,16,48,2,41,52,7,3
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Wierwinde,0034::SB14,,1346,519,1,3,0,0,0,463,60,0,0,0,0,0,0,523,73,48,116,34,74,58,14,21,4,44,28,2,3
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Flierefluiter,0034::SB15,,1483,953,2,2,0,0,2,848,107,0,0,0,0,0,0,957,161,143,147,68,100,117,15,65,7,59,62,9,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Het Samenspel Midden,0034::SB16,,1552,479,4,3,0,0,0,439,47,0,0,0,0,0,0,486,48,66,111,30,71,52,17,19,1,26,24,12,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Achtbaan,0034::SB17,,1570,664,0,1,0,0,0,586,79,0,0,0,0,0,0,665,64,71,167,48,107,52,17,20,3,64,40,8,3
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Het Samenspel Noord,0034::SB21,,1363,321,2,5,0,0,0,281,47,0,0,0,0,0,0,328,16,46,59,8,87,35,15,3,1,19,22,8,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Digitalis,0034::SB23,,2430,876,0,5,0,0,0,771,110,0,0,0,0,0,0,881,103,96,180,69,139,120,23,42,2,52,42,5,3
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Kameleon,0034::SB24,,2602,752,0,2,0,0,0,681,73,0,0,0,0,0,0,754,108,83,163,55,93,86,24,34,2,55,35,12,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Driemaster,0034::SB26,,2946,933,0,3,0,0,0,842,95,0,1,0,1,0,0,937,80,113,213,60,163,105,26,32,11,65,52,11,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Het Spectrum,0034::SB27,,3022,1334,4,4,0,0,0,1185,157,0,0,0,0,0,0,1342,247,126,199,95,178,197,50,84,3,63,81,7,4
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Argonaut,0034::SB29,,2213,787,2,6,0,0,0,728,67,0,0,0,0,0,0,795,74,79,193,58,148,75,20,30,6,48,47,8,1
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Zeetuin,0034::SB30,,851,370,2,0,0,0,0,339,33,0,0,0,0,0,0,372,33,40,83,25,70,27,10,15,0,32,29,4,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Tjasker,0034::SB32,,1636,653,0,6,0,2,0,591,70,0,0,0,2,0,0,661,102,49,127,52,85,91,22,36,0,34,46,9,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Hasselbraam,0034::SB33,,1619,634,6,3,0,0,0,580,63,0,0,0,0,0,0,643,109,71,131,35,58,104,29,26,2,35,28,6,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtcentrum De Wieken,0034::SB34,,1569,573,1,1,0,0,0,532,43,0,0,0,0,0,0,575,37,70,124,30,94,57,25,16,3,48,46,19,4
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Zorgcentrum De Kiekendief,0034::SB35,,1008,383,2,1,0,0,0,358,28,0,0,0,0,0,0,386,22,49,77,25,85,35,9,10,4,42,18,6,1
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Centrum Verpleeghuiszorg Polderburen,0034::SB36,,1181,340,0,0,0,0,0,306,34,0,0,0,0,0,0,340,47,49,71,42,41,33,6,8,1,20,18,4,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Heliotroop,0034::SB37,,1194,701,4,2,0,0,0,657,51,0,1,0,1,0,0,708,90,65,160,49,115,92,12,24,0,53,33,5,3
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Taalcentrum Almere,0034::SB38,,2422,767,5,3,0,0,0,691,84,0,0,0,0,0,0,775,97,91,153,54,125,88,16,42,2,41,50,6,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Oase,0034::SB39,,1015,426,1,0,0,0,0,383,44,0,0,0,0,0,0,427,64,36,68,34,59,48,21,23,2,31,34,6,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Duizendpoot,0034::SB40,,1455,701,3,3,0,0,0,634,73,0,0,0,0,0,0,707,108,88,120,64,93,86,17,39,2,41,38,2,3
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtcentrum Parkwijk,0034::SB41,,1955,970,3,3,0,0,0,877,99,0,0,0,0,0,0,976,146,94,177,90,121,122,53,50,6,55,42,14,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Dependance school De Buitenburcht,0034::SB42,,1855,730,4,3,0,0,0,670,67,0,0,0,0,0,0,737,88,57,147,51,133,80,27,25,0,58,48,13,3
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Boventoon,0034::SB43,,1356,490,0,0,0,0,0,442,47,0,0,1,0,1,0,489,65,64,80,34,89,52,25,22,0,26,28,3,2
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtcentrum 't Kardoes,0034::SB44,,1521,364,3,1,0,0,0,326,40,0,0,2,0,2,0,366,30,61,67,14,63,46,19,19,1,14,22,3,5
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Zorgcentrum Buitenhaeghe,0034::SB45,,1427,475,4,3,0,0,0,446,36,0,0,0,0,0,0,482,42,37,108,41,82,40,27,15,6,40,26,10,1
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Wooncentrum De Rotonde,0034::SB47,,1225,513,1,5,0,0,0,469,50,0,0,0,0,0,0,519,69,73,111,31,80,53,11,13,4,43,21,4,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Montessorischool Muziekwijk,0034::SB48,,1391,451,1,2,0,0,1,399,54,0,0,0,0,0,0,454,60,50,104,17,67,57,9,27,2,28,27,3,0
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Torteltuin,0034::SB49,,1887,889,2,2,0,1,0,789,105,0,0,0,1,0,0,894,141,70,132,64,104,130,53,53,6,49,70,13,4
,Almere,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Lichtboei,0034::SB50,,1103,530,1,2,0,0,0,459,74,0,0,0,0,0,0,533,100,60,85,47,51,67,22,30,2,23,36,5,2
