contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Democraten 66 (D66),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,Ouderenpartij Noord-Holland,50PLUS,ChristenUnie-SGP,Vrouwen Partij (VP),Multicultureel Plus Partij (M+),Hart voor Holland,Piratenpartij
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Gemeentehuis De Goorn,1598::SB1,1648 JG,1662,898,3,5,0,0,4,804,98,0,0,0,0,0,0,906,235,48,103,64,55,217,24,28,34,29,9,8,2,33,9
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Oeverland Spierdijk,1598::SB2,1641 LA,1305,604,3,3,0,0,0,545,65,0,0,0,0,0,0,610,146,27,83,29,38,190,24,15,9,19,7,2,0,14,1
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Café De Ridder,1598::SB3,1647 ME,1703,925,2,1,0,0,0,847,81,0,0,0,0,0,0,928,201,87,90,114,85,131,52,32,27,41,18,5,3,27,12
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Café De Rode Leeuw, Ursem",1598::SB4,1645 RN,1160,423,3,0,0,0,0,377,49,0,0,0,0,0,0,426,95,26,59,36,31,109,20,14,8,6,9,2,0,6,2
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Dorpshuis, Zuidermeer",1598::SB5,1652 CV,488,279,3,0,0,0,0,245,37,0,0,0,0,0,0,282,70,17,38,15,15,82,11,7,3,7,5,2,0,5,2
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau obs De Ieveling Avenhorn,1598::SB6,1633 HE,1835,821,0,2,0,0,0,747,76,0,0,0,0,0,0,823,225,64,95,71,62,155,21,28,19,24,8,5,1,33,10
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Zorgcentrum Meerzicht Scharwoude,1598::SB7,1634 EE,578,323,1,2,0,0,0,305,21,0,0,0,0,0,0,326,59,37,41,44,22,28,13,18,12,22,8,3,0,14,2
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau NH.Kerk Oudendijk,1598::SB8,1631 DE,359,226,0,0,0,0,0,206,20,0,0,0,0,0,0,226,59,26,25,15,23,18,10,24,10,7,0,0,0,8,1
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Raadhuis,1598::SB9,1648 JG,1091,608,0,6,0,0,4,542,68,0,0,0,0,0,0,614,170,32,65,59,36,138,23,17,20,24,5,2,0,12,5
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Braken Kerkje,1598::SB11,1713 HJ,1910,654,5,2,0,0,0,603,58,0,0,0,0,0,0,661,191,42,43,89,41,121,24,21,13,40,9,4,0,15,1
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau obs De Kelderswerf,1598::SB12,1713 VC,1238,661,4,0,0,0,0,620,45,0,0,0,0,0,0,665,132,72,85,84,69,90,24,19,19,25,6,3,0,24,9
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Dorpshuis ""de Oude School""",1598::SB13,1711 RK,1273,600,0,1,0,0,1,546,54,0,0,0,0,0,0,601,171,36,64,53,24,150,14,16,22,22,0,5,1,19,3
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Hervormde Kerk Ursem,1598::SB16,1645 VN,1017,622,0,2,0,0,1,575,48,0,0,0,0,0,0,624,138,50,68,84,39,136,20,19,12,30,6,4,1,13,2
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Dorpshuis De Brink,1598::SB18,1713 HE,1279,871,1,1,0,0,2,808,63,0,0,0,0,0,0,873,200,54,77,80,60,274,24,14,27,30,9,3,1,13,5
Den Helder,Koggenland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Mobile Stembureau,1598::SB19,1633 ZG,201,153,1,0,0,0,0,147,7,0,0,0,0,0,0,154,21,14,10,7,13,55,1,3,20,5,0,0,1,3,0
