contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gemeentehuis Lopik,0331::SB1,3411 CH,1057,519,2,1,0,0,0,473,49,0,0,0,0,0,0,522,54,31,114,28,70,14,34,82,40,28,15,1,3,1,4
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau KMN Kind & Co, tover",0331::SB2,3411 ZG,1417,508,0,1,0,0,0,452,57,0,0,0,0,0,0,509,63,23,107,27,90,5,60,44,51,14,13,1,7,0,3
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Dorpshuis De Schouw,0331::SB3,3411 DB,1933,1101,5,0,0,0,0,989,117,0,0,0,0,0,0,1106,172,58,301,65,178,17,60,118,54,35,19,2,9,3,10
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Buurthuis Uitweg,0331::SB4,3412 KR,1021,573,0,3,0,0,0,476,100,0,0,0,0,0,0,576,88,30,108,40,76,3,28,75,94,12,10,0,6,0,3
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Ver. gebouw Jaarsveld,0331::SB5,3413 MP,681,351,0,1,0,1,0,305,48,0,0,0,1,0,0,353,58,14,61,22,62,6,29,27,45,10,13,0,3,1,0
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau In 't Witte Paard,0331::SB6,3411 EC,766,409,1,0,0,0,0,354,56,0,0,0,0,0,0,410,84,17,157,22,46,9,21,12,8,12,16,0,3,1,1
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Buurthuis 't Wilgegat,0331::SB7,3411 NC,243,148,0,0,0,0,0,137,11,0,0,0,0,0,0,148,14,5,63,19,9,1,1,10,10,3,11,0,2,0,0
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Dorpshuis  XXL Benschop,0331::SB8,3405 XJ,2013,1249,7,5,0,0,0,1121,140,0,0,0,0,0,0,1261,205,45,285,76,163,18,49,165,149,41,34,2,9,1,7
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Buurthuis de Triangel,0331::SB9,3405 CE,643,378,2,1,0,0,0,323,58,0,0,0,0,0,0,381,59,11,121,11,32,3,7,63,56,6,9,0,0,0,0
,Lopik,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Dorpshuis Polsbroek,0331::SB10,3415 PE,803,540,1,2,0,0,0,494,49,0,0,0,0,0,0,543,74,17,106,19,35,7,12,110,141,5,12,0,1,0,1
