contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Kerk Het Kruispunt,0626::SB1,2251 BH,1070,646,7,10,0,3,1,610,49,0,0,3,0,0,0,660,145,54,71,93,45,104,55,14,4,22,26,2,2,8,1
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zorgcentr. Topaz,0626::SB2,2251 VG,1608,764,6,6,0,0,0,713,64,0,0,0,1,0,1,777,113,72,93,122,83,99,71,7,7,40,46,6,2,1,2
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gymnastiek Ver.,0626::SB3,2252 KZ,715,422,1,2,0,0,1,375,47,0,0,2,0,2,0,423,156,53,14,50,7,74,40,9,2,8,7,0,0,1,1
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau School Het Kompas,0626::SB4,2253 VW,1381,618,1,1,0,0,0,555,65,0,0,0,0,0,0,620,164,62,39,78,24,123,68,12,4,15,24,1,0,2,2
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Florence Adegeest,0626::SB5,2253 XL,1336,653,0,2,0,1,0,597,57,0,0,1,0,0,0,654,119,69,47,96,47,106,85,17,2,21,39,3,0,2,0
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Alettahof,0626::SB6,2253 RP,1445,1141,2,1,0,0,0,1039,105,0,0,0,0,0,0,1144,199,132,113,105,76,186,175,38,13,36,55,5,2,4,2
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Seniorenflat Rossini,0626::SB7,2253 GA,1121,668,3,1,0,0,0,621,51,0,0,0,0,0,0,672,149,80,41,94,30,135,61,11,3,22,39,1,0,1,1
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Cult. Centrum,0626::SB8,2252 HH,962,723,3,2,0,0,0,683,45,0,0,0,0,0,0,728,165,92,56,76,45,127,82,17,3,19,34,0,0,3,4
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Boschbloem,0626::SB9,2252 EA,1413,1015,1,3,0,1,0,938,80,0,0,1,0,0,0,1018,262,99,75,139,50,181,107,21,0,35,39,1,0,6,0
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Brandweerkazerne,0626::SB10,2251 CT,1212,1008,6,2,0,0,0,927,89,0,0,0,0,0,0,1016,254,105,93,174,74,150,59,19,2,37,32,4,1,3,1
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Bondsgebouw,0626::SB11,2251 LG,1100,668,2,0,0,0,0,605,65,0,0,0,0,0,0,670,171,52,58,104,32,114,74,13,1,8,38,0,2,1,0
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Taxi Avance,0626::SB12,2252 TW,1180,592,3,1,0,0,1,525,70,0,0,0,0,0,0,596,150,48,40,56,25,138,63,15,5,23,24,3,0,2,0
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Bibliotheek,0626::SB13,2252 XN,1288,469,3,2,0,0,1,423,50,0,0,0,0,0,0,474,105,50,38,68,31,93,39,7,0,9,23,0,0,4,2
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau School Starrenburg,0626::SB14,2251 DM,1603,771,1,2,0,0,0,688,86,0,0,0,0,0,0,774,242,83,95,59,48,151,42,9,2,14,20,4,1,1,0
Leiden,Voorschoten,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Sportzaal de Vos,0626::SB15,2251 ZM,1164,676,0,0,0,0,0,605,71,0,0,0,0,0,0,676,243,64,43,69,32,143,47,2,1,9,20,2,0,1,0
