contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP),STERK LOKAAL,Senioren Belang Noord
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Het Raadhuis,0118::SB1,,1527,867,2,1,0,0,0,777,94,0,1,0,1,0,0,871,96,113,226,102,107,62,79,25,25,10,15,7
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Westerkim,0118::SB2,,1473,671,2,1,0,0,0,623,51,0,0,0,0,0,0,674,56,51,234,70,80,37,73,11,24,18,9,8
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau J. v.d. Sleedenhuis,0118::SB3,,1298,560,1,1,0,0,0,520,42,0,0,0,0,0,0,562,64,75,129,74,47,44,47,22,21,15,19,3
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Het Knooppunt,0118::SB4,,1296,614,0,4,0,0,0,565,53,0,0,0,0,0,0,618,74,50,162,90,88,31,57,10,18,20,8,6
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau WZC De Meteoor,0118::SB5,,1977,522,3,4,0,0,0,485,44,0,0,0,0,0,0,529,62,60,89,73,96,29,61,6,14,18,12,2
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Schoolwoning Erflanden,0118::SB6,,2040,986,1,2,0,0,0,885,104,0,0,0,0,0,0,989,95,188,164,109,89,130,100,35,20,19,32,5
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau MFC De Magneet,0118::SB7,,1963,1134,0,0,0,0,0,1048,86,0,0,0,0,0,0,1134,133,100,194,193,186,74,111,32,44,18,19,30
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Oosterkerk,0118::SB8,,1555,916,2,0,0,0,0,837,81,0,0,0,0,0,0,918,89,91,229,77,101,60,132,43,29,32,19,14
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau WZC Wolfsbos,0118::SB9,,1643,637,3,0,0,0,0,586,54,0,0,0,0,0,0,640,94,31,118,115,100,43,61,14,19,17,18,7
,Hoogeveen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Buurthuis DES-gebouw,0118::SB10,,1611,557,4,2,0,0,0,528,35,0,0,0,0,0,0,563,65,25,89,112,101,24,53,16,24,18,20,10
