contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Stadskantoor Voorburg,1916::SB1,2271 DG,1234,873,2,4,0,0,1,793,85,0,0,0,0,0,0,879,236,88,83,105,52,170,51,19,3,23,38,1,1,1,2
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Professor Casimirschool,1916::SB2,2271 VC,1862,1152,2,5,0,0,0,1014,145,0,0,0,0,0,0,1159,372,115,63,122,47,266,66,10,8,33,40,1,2,6,1
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Verzorgingshuis Het Anker,1916::SB3,2273 AG,1069,869,0,2,0,0,0,779,92,0,0,0,0,0,0,871,202,86,83,161,51,160,36,16,6,34,28,2,0,4,0
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Basisschool Sint Maarten,1916::SB4,2271 EP,1769,1091,1,2,0,0,1,933,160,0,0,0,0,0,0,1094,315,91,106,135,53,254,36,9,7,36,37,6,0,3,3
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,"Stembureau Wijkgebouw ""De Boot""",1916::SB5,2272 AN,1850,1204,0,6,0,0,0,1058,152,0,0,0,0,0,0,1210,372,141,53,151,55,240,70,28,5,32,46,4,2,5,0
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijkcentrum Agora,1916::SB6,2275 CZ,1484,907,0,3,0,0,0,803,111,0,0,0,0,0,0,914,295,92,55,83,43,192,63,26,3,17,30,0,2,6,0
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijkcentrum Agora,1916::SB7,2275 CZ,1854,1160,0,2,0,0,0,1003,159,0,0,0,0,0,0,1162,326,153,82,131,41,263,67,22,14,18,34,2,1,6,0
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Bedrijfsverzamelgebouw,1916::SB8,2274 AX,1726,283,0,2,0,0,0,258,27,0,0,0,0,0,0,285,54,27,31,14,25,67,19,9,0,3,28,1,2,2,1
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Basisschool De Parachute,1916::SB9,2274 TZ,1677,929,6,1,0,0,0,848,91,0,0,0,0,0,0,939,189,88,112,54,85,214,66,22,5,23,63,0,1,7,0
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Basisschool De Parachute,1916::SB10,2274 TZ,1587,666,2,3,0,0,0,612,59,0,0,0,0,0,0,671,126,63,96,61,72,111,51,6,7,14,53,2,0,2,2
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Maartenshal,1916::SB11,2274 XL,1580,923,3,1,0,0,2,827,98,0,0,0,0,0,0,927,215,107,86,105,53,172,58,23,4,21,66,5,1,4,3
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Corbulocollege,1916::SB12,2273 CB,2030,956,4,6,0,0,0,866,100,0,0,0,0,0,0,966,233,83,118,116,75,161,44,20,11,36,49,3,2,4,1
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Koningkerk,1916::SB13,2273 KR,1824,1130,4,5,0,0,1,1063,75,0,0,0,0,0,0,1139,171,121,168,116,117,181,77,32,5,32,87,3,3,11,6
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Wijkcentrum de Groene Loper,1916::SB14,2273 VD,2392,909,3,2,0,0,0,827,87,0,0,0,0,0,0,914,147,95,155,93,85,138,51,33,8,39,58,0,0,3,4
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Basisschool Dijsselbloem,1916::SB15,2273 CS,2197,1051,4,14,3,0,0,973,93,0,0,0,0,0,0,1066,170,116,168,150,121,129,32,38,9,57,52,1,4,4,0
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Sporthal Essesteijn,1916::SB16,2272 CB,1698,857,5,1,0,0,0,781,82,0,0,0,0,0,0,863,193,85,90,107,59,164,47,24,3,31,39,2,5,5,3
Leiden,Leidschendam-Voorburg,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Sporthal Essesteijn,1916::SB17,2272 CB,1295,879,0,1,0,0,0,786,94,0,0,0,0,0,0,880,237,109,80,95,57,147,47,28,6,25,38,2,1,5,2
