contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,FNP,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Democraten 66 (D66),Friese Koers,Partij voor de Dieren,50PLUS,Verenigd Links-Feriene Lofts,Libertarische Partij (LP)
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Het gemeentehuis (Trouwzaal),0090::SB1,9203 RM,1045,996,4,4,0,0,0,908,96,0,0,0,0,0,0,1004,195,209,141,62,54,108,72,35,75,0,23,20,0,2
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkcentrum De Utwyk,0090::SB2,9201 XE,1888,987,2,2,0,0,0,926,65,0,0,0,0,0,0,991,135,185,59,66,97,161,162,22,40,3,26,25,2,4
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau SBO school It Heechhôf,0090::SB3,9201 XZ,1684,720,4,3,0,0,0,669,58,0,0,0,0,0,0,727,100,88,16,39,121,175,110,7,34,1,20,6,0,3
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkcentrum De Waring,0090::SB4,9207 DD,971,902,0,0,0,0,0,823,79,0,0,0,0,0,0,902,141,144,72,47,67,150,140,33,60,6,16,25,0,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Kantine vv ONB,0090::SB5,9201 KK,1152,795,3,0,1,0,0,732,67,0,0,0,1,0,0,799,125,204,107,46,48,64,89,22,52,2,12,24,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkcentrum De Kouwe,0090::SB6,9201 TE,1975,659,8,2,0,0,0,616,53,0,0,0,0,0,0,669,88,68,19,57,108,168,78,10,26,5,16,15,0,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Chr.Ger. Kerk,0090::SB7,9203 AN,1814,749,3,1,0,0,0,678,75,0,0,0,0,0,0,753,106,127,46,34,95,125,114,26,43,4,10,18,0,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Basisschool Eben Haëzer,0090::SB8,9202 AN,1343,563,5,4,0,0,1,521,50,0,0,0,0,0,0,572,69,79,20,32,67,121,108,11,24,1,17,13,0,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijk- en Zorgcentrum De Wiken,0090::SB9,9202 CA,1795,828,1,7,0,0,0,778,58,0,0,0,0,0,0,836,134,137,23,45,79,184,123,20,36,1,20,24,2,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Sportcentrum Drachten,0090::SB10,9202 LC,1772,807,3,2,0,0,1,736,75,0,0,0,0,0,0,812,117,153,35,33,76,121,173,23,32,2,10,29,1,2
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau MF wijkcentrum De Barte,0090::SB11,9202 LM,1745,829,3,6,0,0,1,764,73,0,0,0,0,0,0,838,146,132,49,44,92,158,113,10,51,0,19,14,0,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Verzorgingscentrum Rispinge,0090::SB12,9203 ZG,1805,823,4,1,0,0,0,774,54,0,0,0,0,0,0,828,158,176,45,54,92,121,95,15,26,5,11,25,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Verzorgingscentrum De Warrenhove,0090::SB13,9203 HT,1363,677,1,3,0,0,1,636,44,0,0,0,0,0,0,681,114,165,51,37,51,74,107,11,32,0,17,18,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Buurthuis De Skûle,0090::SB14,9203 ND,1553,1085,1,2,0,0,1,1018,69,0,0,0,0,0,0,1088,171,205,131,55,88,102,147,35,88,3,32,27,0,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Voormalige basisschool Hunze,0090::SB15,9204 BN,1585,688,3,1,0,0,0,644,48,0,0,0,0,0,0,692,121,115,53,20,63,98,85,36,53,1,20,23,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau MOS - Brede School De Drait,0090::SB16,9204 JT,854,1235,4,2,0,0,6,1136,99,0,0,0,0,0,0,1241,218,211,153,56,91,149,131,53,109,4,33,25,0,2
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Tienersoos Place 2 B (Dr.vaart),0090::SB17,9204 LM,1461,680,0,1,0,0,1,609,71,0,0,0,0,0,0,681,95,118,169,19,39,62,59,14,87,1,8,8,0,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkcentrum De Skammel,0090::SB18,9205 DE,1724,782,0,2,0,3,0,746,44,0,3,0,6,0,0,790,128,87,51,35,85,143,98,30,73,3,29,19,1,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Basisschool 't Tweespan,0090::SB19,9205 BN,1948,987,1,0,0,0,4,886,98,0,0,0,0,0,0,988,180,151,105,26,72,110,136,45,100,4,26,32,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis 't Bynt Boornbergum,0090::SB20,9212 PK,1406,809,0,0,0,0,0,735,74,0,0,0,0,0,0,809,124,128,53,88,67,82,148,25,47,1,26,17,2,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Lokaliteit De Nije Kompe Dr.comp.,0090::SB21,9222 NA,871,492,0,1,0,0,0,446,47,0,0,0,0,0,0,493,61,108,30,48,37,76,75,11,22,0,14,10,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Huchte Houtigehage,0090::SB22,9223 LB,715,389,0,0,0,0,0,344,45,0,0,0,0,0,0,389,63,35,17,46,91,95,15,6,10,0,7,4,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Op 'e Jister Nijega,0090::SB23,9217 RL,345,206,1,4,0,0,0,189,22,0,0,0,0,0,0,211,22,80,10,21,12,13,27,2,6,0,3,8,0,2
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Wringe Opeinde,0090::SB24,9218 PP,1312,767,1,0,0,0,0,701,67,0,0,0,0,0,0,768,94,203,60,53,71,61,108,21,47,1,14,32,0,2
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""De Skippersseal"" Oudega",0090::SB25,9216 WP,1303,739,0,1,0,1,0,672,69,0,0,0,1,0,0,741,73,259,58,98,40,67,63,19,29,4,11,14,0,4
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis It Tiksel Rottevalle,0090::SB26,9221 TG,1075,668,0,1,0,0,0,610,59,0,0,0,0,0,0,669,116,120,46,125,29,71,58,24,54,0,16,9,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Galerie Buitengewoon De Wilgen,0090::SB27,9213 VG,589,410,0,1,0,0,0,374,37,0,0,0,0,0,0,411,57,95,99,30,6,14,30,19,43,0,11,6,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau De Naturij,0090::SB28,9204 WS,1252,515,0,1,0,0,0,487,29,0,0,0,0,0,0,516,80,87,54,19,28,63,76,28,56,3,12,8,0,1
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Tike,0090::SB29,9219 WM,256,146,0,0,0,0,0,133,13,0,0,0,0,0,0,146,18,47,15,18,4,10,16,3,7,0,1,7,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau It Polderhûs,0090::SB30,9215 VZ,230,155,0,0,0,0,1,135,19,0,0,0,0,0,0,155,31,29,25,23,8,7,18,2,10,0,2,0,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Vitalis,0090::SB31,9207 GL,1255,488,3,0,0,0,0,435,56,0,0,0,0,0,0,491,55,104,82,13,47,33,98,7,32,1,3,11,0,2
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Sporthal De Drait,0090::SB32,9204 CM,828,500,2,0,0,0,1,464,37,0,0,0,0,0,0,502,100,66,42,36,48,72,60,14,39,1,4,17,1,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gemeentehuis (Raadzaal),0090::SB33,9203 RM,919,459,0,2,0,0,2,421,38,0,0,0,0,0,0,461,76,86,50,20,23,42,69,15,51,1,15,11,0,0
,Smallingerland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau PCBO Het Anker,0090::SB34,9207 CZ,990,377,1,2,0,0,0,347,33,0,0,0,0,0,0,380,44,70,23,16,35,48,60,24,37,3,11,4,0,2
