contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis Hasselt,1896::SB1,8061 CB,1523,744,0,0,0,0,0,664,80,0,0,0,0,0,0,744,152,64,58,55,75,48,185,9,62,16,8,12
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Teeuwland Hasselt,1896::SB2,8061 JR,1421,782,1,1,0,0,0,707,77,0,0,0,0,0,0,784,160,65,49,53,75,32,214,18,68,25,9,14
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Baak Hasselt,1896::SB3,8061 DA,1155,782,0,2,0,1,2,695,88,0,0,0,1,0,0,785,148,55,53,56,51,43,285,15,47,19,7,3
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis Hasselt,1896::SB4,8061 CB,1134,753,1,2,0,0,0,678,78,0,0,0,0,0,0,756,136,53,85,62,70,32,211,16,42,26,6,14
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Olde Staduus Genemuiden,1896::SB5,8281 EV,1383,764,1,3,0,0,0,652,112,0,0,4,0,0,0,764,81,33,56,56,20,12,124,8,347,12,11,4
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Schakel Genemuiden,1896::SB6,8281 AB,1768,766,1,1,1,0,0,646,121,0,0,1,0,0,0,767,90,31,34,63,21,13,118,2,383,7,2,2
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Driester Kamperzeedijk,1896::SB7,8281 PG,561,410,0,1,0,0,1,358,52,0,0,0,0,0,0,411,124,4,19,13,3,6,93,0,144,2,2,0
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Meente Genemuiden,1896::SB8,8281 DG,1729,892,2,1,0,7,2,777,109,0,0,7,0,7,0,888,138,45,26,56,35,17,170,5,386,8,4,2
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Eben Haëzerschool Genemuiden,1896::SB9,8281 EK,1748,1069,1,1,0,0,0,907,165,0,0,0,1,0,0,1072,106,35,54,49,19,9,152,2,626,10,4,3
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Arembergschool Zwartsluis,1896::SB10,8064 CD,1272,629,0,0,0,0,0,574,55,0,0,0,0,0,0,629,174,59,101,59,59,37,81,10,14,17,8,10
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Toesebolte Zwartsluis,1896::SB11,8064 DC,1048,620,0,0,0,0,0,561,59,0,0,0,0,0,0,620,189,66,48,62,63,29,112,3,9,22,9,8
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Hotel Zwartewater Zwartsluis,1896::SB12,8064 PC,1235,443,1,0,0,0,0,398,46,0,0,0,0,0,0,444,141,28,45,40,45,19,62,8,25,15,7,8
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau mobiel bureau De Schakel Genemuiden,1896::SB13,8281 AB,0,241,0,0,0,0,0,213,28,0,0,0,0,0,0,241,36,16,13,27,9,5,35,2,97,1,0,0
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau mobiel bureau De Meente Genemuiden,1896::SB14,8281 DG,0,236,0,0,0,0,0,208,28,0,0,0,0,0,0,236,15,5,7,18,7,2,49,0,131,2,0,0
,Zwartewaterland,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau mobiel bureau Hotel Zwartewater Zwartsluis,1896::SB15,8064 PC,0,150,0,0,0,0,0,142,8,0,0,0,0,0,0,150,37,18,15,14,15,8,27,4,6,4,1,1
