contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Hotel Flora,0534::SB1,2181 EB,1621,1101,2,5,0,1,0,1020,89,0,0,0,1,0,0,1109,228,93,139,175,88,136,51,12,7,96,48,6,0,17,5
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Verenigingsgebouw De Drempel,0534::SB2,2182 EM,1703,645,0,1,0,0,0,571,75,0,0,0,0,0,0,646,128,48,66,104,75,59,36,9,15,60,36,2,0,7,0
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Basisschool Hilmare,0534::SB3,2181 SB,1481,622,4,2,0,1,4,570,55,0,0,0,1,0,0,629,112,58,102,101,64,80,31,9,2,38,23,0,0,2,0
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Hoeksteen,0534::SB4,2182 XC,1352,855,1,3,0,0,0,775,84,0,0,0,0,0,0,859,219,62,95,156,55,121,39,19,13,42,14,1,2,16,1
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zorgcentrum Parkwijk,0534::SB5,2181 DB,1328,641,4,2,0,2,0,592,57,0,0,0,2,0,0,649,172,41,80,85,69,82,25,4,3,50,22,1,2,5,0
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dienstencentrum Elsbroek,0534::SB6,2182 TX,1375,701,3,1,0,0,0,646,59,0,0,0,0,0,0,705,118,64,89,124,61,100,26,8,5,71,14,3,0,15,3
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Basisschool De Leerwinkel,0534::SB7,2181 VD,838,465,0,2,0,0,0,451,16,0,0,0,0,0,0,467,100,39,70,68,41,47,8,5,10,38,33,1,0,3,2
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Basisschool De Giraf,0534::SB8,2182 WB,2375,1173,3,5,28,0,0,1104,106,0,1,0,29,0,0,1210,213,124,147,151,131,143,52,12,6,106,60,4,1,21,2
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Basisschool De Tourmalijn,0534::SB9,2182 TZ,1523,850,0,1,0,0,0,769,82,0,0,0,0,0,0,851,177,65,92,152,77,114,30,19,8,58,48,1,1,7,1
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Squash Hillegom,0534::SB10,2181 HG,1063,411,0,1,0,0,0,354,58,0,0,0,0,0,0,412,94,19,65,39,29,37,54,12,2,37,14,1,1,7,0
Leiden,Hillegom,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Skicentrum Hillegom,0534::SB11,2181 CD,1320,662,1,3,0,0,0,585,81,0,0,0,0,0,0,666,190,55,90,85,47,86,28,6,6,38,25,1,1,4,0
