contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gemeentehuis,0018::SB1,,1125,861,0,3,0,0,0,775,88,0,0,1,0,1,0,863,151,117,119,63,67,89,56,30,11,11,23,102,3,3,5,0,1,1,9
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Reensche Compagnie,0018::SB2,,1135,519,1,3,0,1,0,485,37,0,0,1,0,0,0,522,117,14,109,41,15,58,29,19,8,16,23,38,2,6,8,2,3,0,11
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Woonzorgcentrum Voor Anker,0018::SB3,,1339,718,1,1,0,1,1,664,54,0,0,1,0,0,0,719,103,78,132,68,56,68,36,16,15,19,18,72,2,3,6,2,1,0,23
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Basisschool De Schakel,0018::SB4,,1233,438,1,0,0,0,0,389,50,0,0,0,0,0,0,439,65,20,87,25,28,69,18,13,15,6,16,45,1,8,12,1,0,1,8
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis Westerbroek,0018::SB5,,669,390,0,0,0,0,2,359,29,0,0,0,0,0,0,390,49,39,81,19,32,41,12,14,16,20,14,30,2,11,6,1,0,0,3
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau MFC Foxhol,0018::SB6,,905,394,0,0,0,0,0,355,39,0,0,0,0,0,0,394,35,12,110,22,20,58,20,7,7,9,27,42,3,5,5,3,0,0,9
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis Kropswolde,0018::SB7,,1422,898,5,0,0,1,0,801,101,0,0,1,0,0,0,902,85,245,75,59,112,72,33,41,13,28,28,77,2,9,7,0,2,2,8
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Woldhuus Kiel-Windeweer,0018::SB8,,699,393,1,0,0,0,0,353,41,0,0,0,0,0,0,394,50,49,61,34,36,36,9,19,7,16,3,49,1,4,8,1,2,0,8
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Wijkcentrum Spokie,0018::SB9,,1143,476,1,8,0,1,0,443,41,0,0,1,0,0,0,484,78,26,107,28,32,75,21,26,4,13,11,37,3,0,5,4,0,0,6
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Centrum De Stijgbeugel,0018::SB10,,1214,565,2,2,0,2,0,521,46,0,0,2,0,0,0,567,112,49,99,42,18,56,48,25,12,9,24,48,1,4,8,0,0,1,9
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Wijkcentrum De Kern,0018::SB11,,1405,579,0,1,0,0,0,539,41,0,0,0,0,0,0,580,86,28,164,36,14,84,28,10,16,13,32,50,0,5,4,1,2,0,6
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Wijkcentrum ""'t Spinneweb""",0018::SB12,,1303,526,0,0,0,0,0,474,52,0,0,0,0,0,0,526,73,24,117,40,22,66,34,15,10,17,24,50,3,7,12,0,0,2,10
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Basisschool Heidemeer,0018::SB13,,1109,522,1,3,0,0,0,481,45,0,0,0,0,0,0,526,64,42,98,26,32,72,39,32,12,11,16,52,1,8,5,0,0,0,12
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Verenigingsgebouw NH-Koepelkerk,0018::SB14,,1466,687,1,1,0,0,0,637,52,0,0,0,0,0,0,689,86,65,109,68,52,57,56,29,15,24,20,70,0,14,10,5,1,0,6
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Woonzorgcentrum Sint Jozef,0018::SB15,,1726,776,2,4,0,0,1,717,64,0,0,0,0,0,0,782,105,64,147,71,65,52,53,28,16,17,14,102,0,5,11,4,5,0,17
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Van Heemskerckschool,0018::SB16,,1470,675,0,0,0,0,0,628,47,0,0,0,0,0,0,675,93,58,134,51,48,72,31,29,16,22,18,81,2,0,7,3,3,0,7
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Basisschool De Tweemaster,0018::SB17,,1032,278,2,5,0,0,0,248,37,0,0,0,0,0,0,285,55,4,73,8,7,45,10,20,1,3,11,33,0,0,6,0,0,0,2
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Woonzorgcentrum ""De Burght""",0018::SB18,,1274,515,4,1,0,0,0,485,36,0,0,0,1,0,0,521,64,22,120,51,20,46,44,18,16,13,13,61,2,6,6,4,1,0,8
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Wijkcentrum Woldwijck,0018::SB19,,1297,543,0,2,0,1,0,506,40,0,0,0,1,0,0,546,72,20,155,28,18,70,32,12,6,18,36,36,1,12,10,3,3,0,11
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Basisschool Het Ruimteschip,0018::SB20,,1291,619,0,1,0,0,0,556,64,0,0,0,0,0,0,620,78,48,112,39,50,67,30,27,10,28,12,82,0,4,11,3,6,3,9
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Theo Thijssenschool,0018::SB21,,1186,499,4,5,0,1,0,465,42,0,0,1,0,0,0,507,49,21,135,29,24,52,35,36,5,23,11,51,0,4,9,2,0,1,12
,Hoogezand-Sappemeer,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Activiteitencentrum ""Suranti""",0018::SB22,,1457,628,5,1,0,1,2,555,78,0,0,0,1,0,0,635,59,111,80,65,51,44,43,25,15,13,4,97,0,1,8,1,1,0,10
