_id,Gemeente,CBS gemeentecode,Stembureau of Afgiftepunt,Nummer stembureau of afgiftepunt,Naam stembureau of afgiftepunt,Gebruikersdoel het gebouw,Website locatie,Wijknaam,CBS wijknummer,Buurtnaam,CBS buurtnummer,BAG referentienummer,Straatnaam,Huisnummer,Huisletter,Huisnummertoevoeging,Postcode,Plaats,Extra adresaanduiding,X,Y,Longitude,Latitude,Openingstijden 10-03-2021,Openingstijden 11-03-2021,Openingstijden 12-03-2021,Openingstijden 13-03-2021,Openingstijden 14-03-2021,Openingstijden 15-03-2021,Openingstijden 16-03-2021,Openingstijden 17-03-2021,Mindervaliden toegankelijk,Akoestiek,Auditieve hulpmiddelen,Visuele hulpmiddelen,Mindervalide toilet aanwezig,Kieskring ID,Hoofdstembureau,Tellocatie,Contactgegevens,Beschikbaarheid,Verkiezingen,ID,UUID
32940,Rotterdam,GM0599,Stembureau,40,Pompgebouw De Esch,bijeenkomstfunctie,,,,,,599200000435177,Rijnwaterstraat,11.0,,,3063HC,Rotterdam,,95406.7584123161,436448.767093444,4.521067,51.9133365,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,29a319ad2b834b4882fde5384389ad98
32941,Rotterdam,GM0599,Stembureau,719,Tijdelijke locatie Limbrichthoek,,,,,,,0,,,,,,,Limbrichthoek,99072.8498080371,434670.485720475,4.574634041803,51.897734690041,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,5eb1f0140643433d87de686bd91df665
32942,Rotterdam,GM0599,Stembureau,41,Gymzaal Ben Websterstraat,sportfunctie,,,,,,599200000195974,Ben Websterstraat,9.0,,,3069XJ,Rotterdam,,99127.2561378418,442562.885301138,4.5741417,51.9686731,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,0a4fd7d98eaa4c4898214d75b406a0d4
32943,Rotterdam,GM0599,Stembureau,347,Gymzaal Laantjesweg,sportfunctie,,,,,,599200100017977,Laantjesweg,230.0,,,3074SZ,Rotterdam,,94847.1358551703,434747.746557456,4.5132315,51.8979885,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,2b7d1e523f544406b53c83c14e413eba
32944,Rotterdam,GM0599,Stembureau,727,Tijdelijke locatie Schuttersweg,,,,,,,0,,,,,,,Schuttersweg,93472.8250566135,438802.611368329,4.4925411028957,51.934280858285,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,883ebebc6d9d466eabc52925f9e6f454
32945,Rotterdam,GM0599,Stembureau,520,Wereldmuseum,bijeenkomstfunctie,,,,,,599200000522523,Willemskade,25.0,,,3016DM,Rotterdam,,92601.1173185126,435879.149835858,4.4803975,51.907909599999996,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,ea39a8a4b8cb45939c0d22164b06728a
32946,Rotterdam,GM0599,Stembureau,536,Gymzaal Kolkmanstraat,sportfunctie,,,,,,599200000335289,Kolkmanstraat,8.0,,,3039PH,Rotterdam,,91454.9974549183,438337.994736542,4.4632895,51.9298783,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,N,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,914a481eef07424c9353825bee738d9d
32947,Rotterdam,GM0599,Stembureau,728,Tijdelijke locatie Linker Rottekade,,,,,,,0,,,,,,,Linker Rottekade,93304.6489600296,438804.997270388,4.4900955255754,51.934283668599,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,b6b77a55fb3b4570949654ca81c1edbd
32948,Rotterdam,GM0599,Stembureau,43,De Buurvrouw,bijeenkomstfunctie,,,,,,599200000349514,Larikslaan,200.0,,,3053LG,Rotterdam,,92078.2358310769,441839.277859555,4.4717087,51.9614162,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,e2b603ff33eb4cccae1517d6db3a1901
32949,Rotterdam,GM0599,Stembureau,44,Ontmoetingscentrum Prinsenhof,sportfunctie,,,,,,599200100021222,Bramanteplein,2.0,,,3066BH,Rotterdam,,97528.1820361668,439006.666825124,4.5514694,51.9365487,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,Leesloep,,13,Rotterdam,,"verkiezingen@rotterdam.nl, telefoon: 14010",https://www.rotterdam.nl/wonen-leven/verkiezingen/,,NLODSGM0599stembureaus20210317008,5fa95d3688b7485d8c209e2ab44936b9
