_id,Gemeente,CBS gemeentecode,Stembureau of Afgiftepunt,Nummer stembureau of afgiftepunt,Naam stembureau of afgiftepunt,Gebruikersdoel het gebouw,Website locatie,Wijknaam,CBS wijknummer,Buurtnaam,CBS buurtnummer,BAG referentienummer,Straatnaam,Huisnummer,Huisletter,Huisnummertoevoeging,Postcode,Plaats,Extra adresaanduiding,X,Y,Longitude,Latitude,Openingstijden 10-03-2021,Openingstijden 11-03-2021,Openingstijden 12-03-2021,Openingstijden 13-03-2021,Openingstijden 14-03-2021,Openingstijden 15-03-2021,Openingstijden 16-03-2021,Openingstijden 17-03-2021,Mindervaliden toegankelijk,Akoestiek,Auditieve hulpmiddelen,Visuele hulpmiddelen,Mindervalide toilet aanwezig,Kieskring ID,Hoofdstembureau,Tellocatie,Contactgegevens,Beschikbaarheid,Verkiezingen,ID,UUID
54692,Amsterdam,GM0363,Stembureau,1.0,Stadhuis,"bijeenkomstfunctie, kantoorfunctie",,,,,,363200012145295,Amstel,1,,,1011PN,Amsterdam,,121833.654059225,486763.089734338,4.9002346,52.367748,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,Voorzieningen voor slechthorenden/doven,Voorzieningen voor slechtzienden/blinden,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,120f042135984412ad2326b58555741f
54693,Amsterdam,GM0363,Stembureau,4.0,Leger des Heils,industriefunctie,,,,,,363200000453949,Oudezijds Achterburgwal,45,,H,1012DB,Amsterdam,,121780.883477487,487406.807886662,4.8993962,52.373530099999996,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,95bed7f4e2b945dcb6591c722763f80f
54694,Amsterdam,GM0363,Stembureau,5.0,The Hoxton Hotel,logiesfunctie,,,,,,363200003683702,Herengracht,255,,,1016BJ,Amsterdam,,120963.543038336,487227.538239298,4.8874125,52.3718689,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,db07f6f50e044fbbaf4a4062746498bc
54695,Amsterdam,GM0363,Stembureau,6.0,Hotel V,logiesfunctie,,,,,,363200000419166,Weteringschans,136,,,1017XV,Amsterdam,,121680.410797079,485809.999038252,4.8980791,52.359173,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,N,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,40eb4b3168694634bafeb079464b77c1
54696,Amsterdam,GM0363,Stembureau,7.0,Voormalige Stadstimmertuin,"bijeenkomstfunctie, kantoorfunctie",,,,,,363200012077592,Voormalige Stadstimmertuin,6,,,1018ET,Amsterdam,,122200.995591543,486042.000423378,4.9056983,52.3612894,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,65e6b90842564146937deee65623e176
54697,Amsterdam,GM0363,Stembureau,8.0,OBS De Witte Olifant,woonfunctie,,,,,,363200000179884,Lastageweg,18,,,1011DB,Amsterdam,,122006.995651129,487392.995967015,4.9027178,52.3734196,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,3ed0b5f792f24c2e9ff967ddc785258d
54698,Amsterdam,GM0363,Stembureau,10.0,WeWork,kantoorfunctie,,,,,,363200000450939,Weesperstraat,105,A,,1018VN,Amsterdam,,122233.677698145,486459.427260172,4.9061374,52.3650429,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,77d72aa224114760bd397a593fa9fe1e
54699,Amsterdam,GM0363,Stembureau,12.0,Gymzaal Theo Thijssen,onderwijsfunctie,,,,,,363200000477633,Westerstraat,202,,,1015MS,Amsterdam,,120530.997916987,487924.999997027,4.8809897,52.3781102,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,N,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,24f9a9dc0ef84801be73378f72c24933
54700,Amsterdam,GM0363,Stembureau,13.0,Korfbalvereniging Swift,sportfunctie,,,,,,363200000402353,Plantage Parklaan,20,A,,1018ST,Amsterdam,,122480.088546252,486805.999515655,4.9097215,52.3681723,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,3b4eeb8697da40ae98bd6f3f375d6da5
54701,Amsterdam,GM0363,Stembureau,14.0,Sporthal Oostenburg,sportfunctie,,,,,,363200000410417,Oostenburgergracht,151,,,1018ND,Amsterdam,,123531.995476956,486784.994742942,4.9251679,52.3680448,,,,,,,,2021-03-17T07:30:00 tot 2021-03-17T21:00:00,Y,,,,,9,Amsterdam,,"Bureau Verkiezingen, verkiezingen@amsterdam.nl, telefoon: 14020",https://www.amsterdam.nl/bestuur-organisatie/verkiezingen/,,NLODSGM0363stembureaus20210317008,0821706554684941bfcf8631a999b1a5
