contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Grote Kerk (1),0361::SB1,1811 GP,85247,1252,11,1,0,0,3,1185,76,0,0,0,0,0,1264,220,91,55,313,122,44,57,17,96,8,2,7,72,17,27,7,68,0,4,5,6,3,0,1,1,0,0,1,0,7,1,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Grote Kerk (2),0361::SB2,1811 GP,0,1391,3,4,0,2,4,1322,74,0,0,2,0,0,1400,264,78,49,354,127,62,67,12,118,6,2,2,104,13,29,13,66,1,3,2,3,9,4,2,0,0,0,0,0,1,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tent Parkeerterrein Labotheek NWZ,0361::SB3,1814 HA,0,861,2,3,0,1,2,793,72,0,0,1,0,0,867,200,52,59,216,73,36,60,2,55,8,1,5,32,3,9,1,25,0,4,1,2,4,4,3,2,0,0,1,0,3,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Kapelkerk,0361::SB4,1811 EK,0,1360,0,0,0,1,6,1273,80,0,1,0,0,0,1359,243,72,56,344,139,61,58,33,112,7,2,1,82,12,34,9,58,2,10,0,2,10,1,2,0,1,1,0,0,8,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Doopsgezinde Gemeente,0361::SB5,1811 LM,0,832,2,2,0,0,3,780,53,0,0,0,0,0,836,176,58,39,181,62,33,43,11,62,3,2,4,45,9,33,8,36,1,4,2,4,12,2,0,0,0,0,0,0,0,2,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Oosterhout (1),0361::SB6,1813 AA,0,636,1,2,0,0,1,579,59,0,0,0,0,0,639,113,61,27,111,57,42,38,6,35,9,0,26,43,9,16,4,16,10,2,0,0,4,2,2,0,1,0,1,0,1,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Oosterhout (2),0361::SB7,1813 AA,0,564,0,0,0,1,0,520,45,0,0,1,0,0,565,114,57,23,114,41,44,29,6,28,1,0,4,52,2,12,1,22,7,2,0,0,1,0,0,0,0,0,2,0,2,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkboerderij Alkmaar,0361::SB8,1813 AA,0,1200,4,4,0,1,3,1108,96,0,1,0,0,0,1207,266,74,46,259,92,62,47,15,97,8,2,22,80,12,27,0,46,8,4,2,3,11,5,2,1,1,3,1,0,2,2,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Thuis in Overdie (1),0361::SB9,1813 BH,0,587,0,0,0,0,1,534,52,0,0,0,0,0,587,88,70,30,79,48,42,25,8,30,5,4,59,37,6,16,2,15,8,6,0,2,3,1,0,0,0,0,2,0,0,1,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Thuis in Overdie (2),0361::SB10,1813BH,0,708,0,4,0,2,5,631,74,0,2,0,0,0,710,105,77,34,105,61,49,38,7,36,6,0,73,47,4,20,3,11,6,0,0,2,10,4,3,2,0,0,3,0,2,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Oud Overdie,0361::SB11,1813 VZ,0,784,2,4,0,1,4,701,86,0,0,1,0,0,791,90,171,21,71,56,72,46,3,53,8,0,35,81,4,22,7,13,13,4,1,0,0,3,1,4,0,0,0,0,1,4,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tent Parkeerplaats AH XL (1),0361::SB12,1814 GR,0,973,1,8,0,0,0,899,83,0,0,0,0,0,982,247,78,40,232,47,52,46,10,34,7,0,40,62,5,32,7,19,1,3,2,0,2,1,1,0,0,0,2,1,0,0,2,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Regionaal Archief/Kunstuitleen Alkmaar,0361::SB13,1815 AC,0,955,2,2,0,0,2,898,59,0,0,0,0,0,959,145,58,45,207,105,74,69,9,79,8,3,1,49,11,18,8,32,0,6,0,1,8,4,0,2,0,2,6,0,5,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tent Stationsplein NS,0361::SB14,1815 CB,0,1244,4,8,0,0,1,1186,69,0,0,0,0,0,1256,127,78,41,298,144,97,71,5,126,15,0,16,71,15,22,15,43,7,10,1,4,13,3,1,3,0,0,4,2,8,4,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sociëteit K.B.O.,0361::SB15,1815 HA,0,920,1,0,1,0,4,835,83,0,0,1,0,0,922,187,55,55,264,70,43,38,13,65,5,1,1,41,5,15,1,50,0,2,3,0,1,0,2,0,0,0,2,0,0,1,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Drafcentrum Alkmaar,0361::SB16,1815 LW,0,702,0,1,0,0,1,644,58,0,0,0,0,0,703,211,43,36,174,51,28,39,3,50,3,0,2,19,1,12,1,21,0,2,0,0,2,3,1,0,0,0,0,0,0,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Vrijheidskerk,0361::SB17,1816 GD,0,1167,0,5,0,0,4,1072,96,0,0,0,0,0,1172,189,58,66,304,108,64,82,7,73,9,1,13,76,7,20,10,47,0,5,0,0,10,5,0,1,1,0,1,0,10,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal G. Metsulaan (1),0361::SB18,1816 EP,0,501,2,0,0,0,1,465,37,0,0,0,0,0,503,96,41,18,103,29,37,29,6,29,4,0,6,40,0,13,2,19,3,6,1,2,5,4,5,0,0,0,1,0,2,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal G. Metsulaan (2),0361::SB19,1816 EP,0,417,3,2,0,0,0,403,19,0,0,0,0,0,422,59,36,30,96,28,26,27,4,20,3,3,6,35,4,8,8,11,1,0,0,2,0,4,4,0,0,0,0,0,1,1,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Alkenhorst,0361::SB20,1816 LG,0,986,2,1,0,0,0,922,66,0,1,0,1,0,988,166,88,46,155,69,75,57,12,51,17,4,88,57,11,27,3,22,20,1,0,2,3,0,2,3,0,0,6,0,0,1,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gasfabriek,0361::SB21,1817 BA,0,387,0,0,0,0,3,352,32,0,0,0,0,0,387,36,25,12,103,70,25,15,4,36,2,0,3,17,4,5,0,17,1,3,0,0,4,3,0,0,0,0,0,0,1,1,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Beethovensingel (1),0361::SB22,1817 HJ,0,849,1,3,0,0,3,784,66,0,0,0,0,0,853,201,65,43,203,64,37,58,12,39,5,1,2,39,2,27,0,35,0,3,1,1,6,2,1,0,0,0,1,0,1,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Beethovensingel (2),0361::SB23,1817 HJ,0,789,0,0,0,0,0,739,50,0,0,0,0,0,789,183,55,50,190,73,33,55,9,34,4,1,0,43,1,6,4,26,1,5,2,1,4,6,0,0,0,0,1,2,0,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurthuis de Wachter,0361::SB24,1821 AP,0,978,1,1,0,0,2,888,90,0,0,0,0,0,980,168,141,38,158,69,63,45,12,82,14,0,8,91,6,30,5,22,0,2,0,2,4,4,0,0,0,2,5,0,6,1,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tent Vroonermeer (1),0361::SB25,1822 RP,0,1056,1,2,0,0,3,960,96,0,0,0,0,0,1059,310,74,59,204,82,37,54,12,45,10,2,9,63,6,31,4,23,4,2,2,3,7,4,1,0,2,1,2,0,3,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tent Vroonermeer (2),0361::SB26,1822 RP,0,1016,0,2,0,0,4,936,78,0,0,0,0,0,1018,296,67,50,243,61,41,45,16,37,6,2,12,47,10,18,7,26,4,4,1,2,10,1,0,0,2,2,3,0,1,1,1,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Speeltuin OKB,0361::SB27,1823 DD,0,984,1,3,0,1,1,909,77,0,1,0,0,0,987,262,63,52,175,94,51,69,10,56,4,1,7,39,8,29,5,36,3,5,0,0,2,4,2,0,1,0,6,0,0,0,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Clubhuis DAW,0361::SB28,1823 DL,0,538,0,1,0,0,0,497,42,0,0,0,0,0,539,158,37,28,125,51,27,24,5,24,2,1,0,20,4,8,4,11,0,0,0,1,1,5,0,0,0,0,0,0,0,2,0,,
Den Helder,Alkmaar,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum De Oever (1),0361::SB29,1823 EV,0,778,0,3,0,0,1,695,85,0,0,0,0,0,781,129,77,35,120,67,46,44,8,57,8,0,34,70,3,22,4,25,10,5,1,0,3,6,0,0,1,1,0,1,1,0,0,,
