contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis De Goorn,1598::SB1,1648 JG,1655,1357,5,1,0,0,1,1202,160,0,0,0,0,0,1363,444,131,159,179,44,62,38,6,43,11,0,1,106,4,39,9,22,1,7,1,2,7,34,3,0,0,0,3,0,0,1,0
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau verenigingsgebouw De Mantel,1598::SB2,1641 LZ,1249,855,5,1,0,0,1,774,86,0,0,0,0,0,861,259,102,119,92,26,37,19,7,22,9,2,1,49,1,44,3,7,0,2,0,3,2,39,1,3,0,0,3,0,3,0,0
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café De Ridder,1598::SB3,1647 ME,927,745,0,1,0,0,2,669,77,0,0,0,0,0,748,198,84,43,105,24,40,43,8,29,6,1,0,53,6,21,2,14,0,2,0,0,2,58,0,0,0,0,5,0,0,1,0
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Batter,1598::SB4,1645 PN,980,952,0,0,0,0,1,852,99,0,0,0,0,0,952,270,95,126,119,34,37,24,6,33,0,0,0,96,3,37,10,17,0,2,0,1,4,31,3,0,0,0,3,0,0,1,0
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Dorpshuis, Zuidermeer",1598::SB5,1652 CV,508,406,0,0,0,0,0,356,50,0,0,0,0,0,406,116,39,71,46,8,12,5,2,16,3,0,1,10,4,14,3,8,0,0,0,1,0,44,0,0,0,0,1,0,2,0,0
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voetbalvereniging Kwiek '78,1598::SB6,1633 HE,1584,971,5,0,0,0,0,855,121,0,0,0,0,0,976,295,97,91,134,33,40,42,3,39,20,0,3,65,2,45,5,13,2,4,0,2,0,25,2,0,0,0,8,0,1,0,0
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Meerzicht Scharwoude,1598::SB7,1634 EE,599,411,0,0,0,0,1,370,40,0,0,0,0,0,411,124,48,33,60,10,24,20,3,17,2,4,0,18,4,16,1,8,0,2,1,2,2,8,0,0,0,0,2,0,0,1,1
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau NH Kerk Oudendijk,1598::SB8,1631 DE,556,396,2,0,0,0,1,371,26,0,0,0,0,0,398,102,50,26,62,16,16,19,1,16,3,0,0,25,1,13,4,11,0,2,0,0,3,22,0,0,0,1,1,0,1,1,0
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Koggenhal,1598::SB9,1648 JM,1893,844,1,2,0,0,0,763,84,0,0,0,0,0,847,302,83,86,116,32,34,17,4,29,8,2,1,42,2,30,3,15,0,1,0,5,1,24,1,0,0,0,4,0,1,1,0
Den Helder,Koggenland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau de Caegh,1598::SB10,1713 BM,1434,864,0,0,0,0,0,790,74,0,0,0,0,0,864,326,82,78,160,26,21,14,12,26,6,2,0,48,3,23,3,11,0,2,0,1,0,16,1,0,1,0,0,0,1,1,0
