contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP)
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café van Kempen,1684::SB4,5433 KA,345,280,0,0,0,0,0,263,17,0,0,0,0,0,280,69,26,35,59,14,16,19,1,6,4,0,0,11,0,8,2,5,0,0,0,1,0,2,0,0,0,0,0,2,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA De Agaat,1684::SB5,5435 XJ,419,334,1,1,0,0,0,299,37,0,0,0,0,0,336,93,29,46,55,15,21,15,2,12,2,1,0,11,3,8,0,7,0,4,0,1,2,4,1,0,0,0,1,0,0,1
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA De Valuwe,1684::SB6,5431 AV,1191,820,1,2,1,0,4,722,96,0,1,0,0,0,822,114,128,26,109,38,101,28,9,21,9,4,123,52,3,12,0,9,7,4,1,2,1,6,0,2,5,0,4,0,2,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Doehuis,1684::SB8,5431 JR,2245,1355,3,3,0,0,3,1211,147,0,0,0,0,0,1361,216,174,90,218,92,165,69,13,57,13,0,15,124,11,21,6,29,1,10,0,6,6,6,1,1,1,1,7,1,0,1
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkaccommodatie De Nielt,1684::SB10,5432 DW,2576,2038,4,3,0,0,3,1821,221,0,0,0,0,0,2045,610,225,121,391,105,131,74,8,67,17,0,41,92,8,70,4,32,0,2,3,3,10,7,4,2,4,1,5,0,0,1
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Burcht,1684::SB13,5439 ND,230,213,0,0,0,0,5,192,16,0,0,0,0,0,213,52,18,21,42,12,9,17,1,11,1,0,0,7,0,7,1,9,0,0,0,0,1,4,0,0,0,0,0,0,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Evenemententent parkeerterrein Zwaanplein,1684::SB101,,1137,1410,1,4,0,1,8,1298,111,1,0,2,0,0,1417,336,170,115,219,78,140,41,6,59,5,1,64,85,1,29,4,20,6,6,1,1,5,9,1,0,1,0,4,0,0,3
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Schouwburg Cuijk,1684::SB102,5431 DL,1352,598,0,2,0,0,2,556,42,0,0,0,0,0,600,141,60,53,137,33,53,25,4,31,4,2,0,22,2,8,2,11,0,1,0,1,3,0,0,1,1,0,1,2,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cafézaal de Hei,1684::SB103,5434 SJ,1032,796,0,0,0,0,0,707,89,0,0,0,0,0,796,255,92,98,115,20,79,23,4,20,11,2,0,18,0,26,2,8,0,0,0,0,1,16,0,1,0,0,5,0,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Het Kristal,1684::SB107,5431 ZN,1255,562,0,4,0,1,1,495,71,0,0,1,0,0,567,97,86,35,57,22,55,20,1,10,8,1,94,34,6,7,0,6,13,2,0,0,2,3,0,1,0,0,1,0,1,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Partycentrum De Bond,1684::SB111,5431 SH,2504,805,3,2,0,1,2,724,85,0,0,1,0,0,811,200,118,67,107,37,72,36,1,22,12,0,11,59,5,26,2,13,1,0,0,1,3,6,2,0,2,0,1,1,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Wapen van Beers,1684::SB112,5437 AS,1430,1069,1,0,0,0,3,948,119,0,0,0,0,0,1070,348,103,163,152,30,87,26,4,16,4,1,0,38,0,23,4,17,0,0,1,1,4,39,0,1,0,1,2,0,0,4
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Posthoorn (Haps),1684::SB114,5443 AB,2359,1799,0,3,0,3,1,1619,179,0,3,0,0,0,1799,532,216,257,208,27,168,43,11,40,12,0,0,92,1,67,3,32,0,3,0,6,5,63,2,0,1,0,8,1,0,1
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Doehuis maandag,1684::SB115,5431 JR,241,240,0,1,0,0,0,221,20,0,0,0,0,0,241,49,26,29,38,12,30,21,4,17,2,0,0,6,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Doehuis dinsdag,1684::SB116,5431 JR,229,226,2,0,0,1,0,209,20,0,0,1,0,0,229,33,21,17,28,20,40,14,3,11,6,0,3,12,0,5,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,1
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Nielt maandag,1684::SB117,5432 DW,294,296,1,0,0,3,1,271,22,0,3,0,0,0,294,75,40,31,37,7,26,20,3,17,2,0,7,13,2,11,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Nielt dinsdag,1684::SB118,5432 DW,296,295,0,0,0,1,0,267,29,0,0,1,0,0,296,77,19,36,59,11,31,13,6,10,4,2,7,7,2,6,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Evenemententent parkeerterrein Zwaanplein maandag,1684::SB119,,422,421,0,1,0,0,3,375,44,0,0,0,0,0,422,80,60,62,57,18,50,26,2,18,6,0,17,12,2,1,0,4,0,0,0,0,0,1,1,3,0,0,1,0,0,0
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Evenemententent parkeerterrein Zwaanplein dinsdag,1684::SB120,,548,542,2,2,0,2,0,497,51,0,0,2,0,0,548,126,71,71,52,12,67,28,2,16,8,3,43,18,1,17,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstemmen (overdag) 08.30 uur,1684::SB201,5431 BV,0,1654,1,2,19,0,0,1638,0,0,19,0,0,0,1638,412,123,381,136,34,245,168,26,31,37,0,4,7,1,14,5,12,0,1,2,1,0,5,1,4,1,1,0,1,0,1
's-Hertogenbosch,Cuijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstemmen woensdag (avond) 21.00 uur,1684::SB202,5431 BV,0,27,0,0,0,0,0,27,0,0,0,0,0,0,27,11,2,4,3,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
