contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Wij zijn Nederland,Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0599::SB1,3011 AD,1259,1492,4,4,0,0,16,1382,102,0,0,0,0,0,1500,233,73,38,410,153,42,68,30,59,8,6,33,56,74,41,6,128,12,3,2,3,9,0,1,0,0,0,0,3,0,1,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Vier Leeuwen,0599::SB2,3031 XH,1357,942,6,8,0,4,2,820,138,0,0,4,0,0,960,90,97,11,142,65,66,48,6,38,5,3,192,25,35,25,8,33,38,2,5,1,4,0,0,0,0,0,2,0,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Raampoortstraat,0599::SB3,3032 AH,1176,243,1,1,0,0,1,215,29,0,0,0,0,0,245,23,13,5,46,28,13,15,4,23,4,1,22,10,12,2,0,9,6,0,1,1,3,0,0,0,0,2,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Brandaris,0599::SB4,3024 TA,913,323,2,3,0,0,3,298,27,0,0,0,0,0,328,18,21,7,64,36,19,13,13,16,0,1,35,18,28,2,2,23,2,2,0,0,2,0,0,0,0,1,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Multifunctioneel Centrum De Kristal,0599::SB6,3059 XA,1225,792,1,0,0,0,0,704,89,0,0,0,0,0,793,226,90,43,149,25,36,30,19,31,6,2,24,26,13,44,2,12,9,1,0,1,0,1,1,0,0,0,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sophiahof,0599::SB7,3038 SX,1277,793,4,6,0,0,1,749,54,0,0,2,0,0,804,103,49,17,173,84,57,45,11,56,6,7,31,29,30,19,5,41,12,3,0,2,6,1,0,2,0,1,2,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bergsingelkerk,0599::SB8,3037 GM,1173,1520,1,2,0,1,6,1369,147,0,1,0,0,0,1522,159,59,47,360,228,73,75,32,115,8,10,60,43,63,30,4,111,17,6,0,2,8,0,3,1,0,2,0,4,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Volkstuinvereniging De Tochten,0599::SB9,3069 ZD,1241,746,1,0,0,1,0,678,68,0,1,0,0,0,746,189,103,29,119,44,40,40,16,25,6,0,7,47,8,47,3,8,3,1,0,1,3,0,3,0,1,0,0,3,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Vliegerstraat,0599::SB13,3021 ZN,1187,888,2,8,0,0,2,811,85,0,0,0,0,0,898,86,27,16,244,98,41,50,15,63,5,3,71,27,63,15,1,34,14,3,1,0,3,1,0,0,0,2,0,5,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk Schiemond,0599::SB15,3029 CL,832,724,4,8,0,1,0,603,132,0,1,0,0,0,735,45,35,8,67,47,30,72,11,11,2,3,201,23,62,7,0,4,83,3,1,0,1,1,1,0,0,2,4,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Spartastadion,0599::SB16,3027 ER,1577,712,2,4,0,2,4,600,116,0,0,2,0,0,720,45,35,14,125,71,35,43,15,25,0,1,172,11,38,8,8,29,31,1,1,0,1,0,0,0,0,1,1,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Rotterdam,0599::SB20,3011 PV,1185,1081,3,4,0,2,5,1015,70,0,0,2,0,0,1090,235,52,45,275,89,45,45,13,56,6,3,18,33,36,44,2,53,13,4,2,3,6,1,0,0,0,0,1,0,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Pluspunt,0599::SB21,3065 GA,1247,780,0,0,0,1,2,688,89,0,1,0,0,0,779,191,75,36,163,41,38,37,15,28,8,1,13,37,16,41,0,25,6,1,0,1,4,0,0,0,2,0,0,0,0,1,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk Mozaïek,0599::SB22,3035 CG,1226,1029,1,8,0,0,2,927,109,0,0,0,0,0,1038,85,80,15,207,98,65,35,18,59,4,2,149,50,48,15,5,58,21,7,0,1,1,0,2,2,0,0,1,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Noorderhavenkade,0599::SB24,3038 XG,1230,670,1,1,0,1,0,628,43,0,1,0,0,0,671,87,21,19,189,84,23,34,8,67,7,6,10,25,16,21,5,39,0,2,1,2,3,0,0,0,0,0,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Meidoornstraat,0599::SB25,3036 WC,1178,919,2,19,0,1,3,768,170,0,0,1,0,0,941,54,53,10,125,86,55,49,19,36,4,2,261,23,54,6,1,24,48,5,0,0,0,1,0,0,1,1,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Pergolesilaan,0599::SB26,3055 SK,1068,591,1,0,0,0,2,538,52,0,0,0,0,0,592,221,24,34,149,25,12,16,14,18,1,0,3,10,2,26,1,33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk Het Klooster Oude Noorden,0599::SB28,3036 DD,1209,1074,4,11,0,10,3,952,144,0,0,10,0,0,1099,97,54,18,187,113,48,50,14,47,2,1,196,49,65,8,3,38,64,3,1,1,5,0,1,0,0,1,4,4,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymnastieklokaal Bulgaarsestraat,0599::SB29,3028 CH,1600,898,5,7,0,0,2,797,111,0,0,0,0,0,910,82,112,22,108,84,51,64,30,43,9,3,109,52,42,18,6,32,10,4,0,3,4,3,0,1,2,2,1,0,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Theater Rotterdam Schouwburg,0599::SB33,3012 CL,1324,1035,6,12,0,0,3,963,87,0,0,0,0,0,1053,160,55,22,245,122,48,67,10,56,2,2,14,39,77,31,4,65,4,1,3,5,0,1,0,0,0,2,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpskerk - Kleine Schoolstraat,0599::SB34,3151 AD,848,440,0,3,0,5,1,387,50,0,5,0,0,0,438,72,62,32,47,10,33,15,10,27,8,0,5,39,2,34,27,7,0,2,0,1,5,2,0,0,0,0,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Pluspunt,0599::SB35,3065 GA,1257,741,0,0,0,1,0,666,76,0,0,1,0,0,742,171,90,56,143,34,22,43,11,28,2,3,17,32,12,44,3,20,5,0,0,0,4,0,1,0,0,0,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Scheepsbrug,0599::SB36,3011 XZ,1239,576,2,4,0,0,4,538,40,0,0,0,0,0,582,144,29,24,149,42,17,24,6,31,5,0,6,21,5,24,1,37,1,1,3,0,4,1,0,0,0,0,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wooncomplex De Sevencamp,0599::SB37,3069 XZ,1141,601,0,2,0,2,1,533,71,0,0,2,0,0,605,86,100,13,77,43,53,45,19,33,9,3,23,35,15,28,2,6,2,1,0,1,1,0,1,0,0,1,0,4,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Snelleman,0599::SB39,3035 VL,1213,548,1,5,0,0,1,472,81,0,0,0,0,0,554,38,34,6,103,53,34,23,7,32,2,1,94,16,34,4,1,28,30,3,0,0,2,2,0,0,0,1,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Pompgebouw De Esch,0599::SB40,3063 HC,1283,889,6,6,0,7,0,845,63,0,0,7,0,0,908,131,69,27,184,79,52,61,14,60,7,5,42,47,42,11,2,28,14,3,0,2,2,0,0,1,1,0,0,5,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymnastieklokaal Ben Websterstraat,0599::SB41,3069 XJ,1260,800,2,1,0,1,2,726,76,0,0,1,0,0,804,138,106,23,121,61,58,31,33,33,6,2,13,69,25,42,8,15,4,1,0,1,1,2,0,3,1,0,0,3,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Buurvrouw,0599::SB43,3053 LG,1171,1552,0,9,0,1,0,1421,141,0,0,1,0,0,1562,288,78,68,437,147,59,64,33,109,9,4,22,71,22,45,3,64,0,3,0,1,10,1,1,2,0,2,0,6,0,3,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum Prinsenhof,0599::SB44,3066 BH,1236,774,3,4,0,1,0,708,72,0,1,0,0,0,780,107,109,30,107,36,70,48,19,36,13,46,23,43,21,40,9,10,1,0,0,0,3,0,1,0,0,0,0,0,2,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Noen,0599::SB45,3034 SL,1280,1057,0,4,0,3,4,919,141,0,0,3,0,0,1064,133,55,30,216,81,42,36,13,55,6,0,139,42,46,19,4,66,59,4,0,0,4,2,2,0,0,2,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Parkflat Arcadia,0599::SB46,3054 TC,1160,687,2,0,0,1,2,613,75,0,0,1,0,0,690,160,108,30,106,38,38,24,11,38,3,2,19,42,9,34,2,15,2,0,0,0,2,1,1,0,1,1,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk De Nieuwe Branding,0599::SB47,3034 CS,1413,800,0,9,0,2,0,674,137,0,0,2,0,0,811,35,107,3,92,65,55,36,6,21,5,0,220,48,32,6,3,11,43,2,1,0,0,0,1,1,2,0,3,2,0,0,,
