contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)"
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,1859::SB1,7271 AX,1184,898,2,4,0,0,15,814,75,0,0,0,0,0,904,226,85,74,120,32,72,54,14,32,11,0,6,58,3,18,4,29,0,5,1,5,5,36,2,0,0,0,4,0,2
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportaccommodatie ‘t Timpke stembureau 1,1859::SB2,7271 BT,1265,479,0,0,0,0,1,446,32,0,0,0,0,0,479,135,37,47,75,15,43,27,3,8,2,0,2,27,2,15,2,11,1,1,0,2,5,18,0,0,0,0,1,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Noord,1859::SB3,7271 XH,1498,1040,0,5,0,0,2,962,80,0,1,0,0,0,1044,256,138,95,144,30,79,59,10,13,4,0,11,84,2,31,2,18,5,3,0,2,2,48,0,0,0,0,2,0,2
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw De Koppel,1859::SB4,7271 GN,1484,1129,2,2,0,0,1,1032,100,0,0,0,0,0,1133,254,128,115,165,42,78,63,13,20,7,1,15,82,0,40,9,14,0,1,0,1,2,75,0,0,0,1,2,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportaccommodatie 't Timpke stembureau 2,1859::SB5,7272 BT,753,397,0,0,0,0,0,363,34,0,0,0,0,0,397,101,35,39,67,6,32,21,3,7,9,0,3,23,0,10,3,13,0,1,0,0,1,18,0,0,0,1,3,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Zunnekamp,1859::SB6,7274 AX,1069,806,0,3,0,0,4,736,69,0,0,0,0,0,809,214,54,124,104,19,31,35,13,21,1,0,0,27,2,20,3,10,0,0,0,1,3,120,0,0,1,0,2,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshoes Gelster,1859::SB7,7275 AH,518,404,0,1,0,0,1,367,37,0,0,0,1,0,405,84,23,80,51,17,12,30,3,11,5,1,0,12,1,9,3,8,0,0,1,0,0,51,0,0,0,0,1,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kulturhus 't Stieltjen,1859::SB8,7273 SL,581,489,1,0,0,0,6,442,42,0,0,0,0,0,490,98,32,68,60,15,27,36,14,18,2,2,0,15,0,20,1,4,0,0,0,1,1,72,0,0,0,0,0,0,3
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal bij de Kerst Zwartschool,1859::SB9,7261 GH,1222,814,0,0,0,0,3,745,66,0,0,0,0,0,814,214,77,85,117,32,77,45,8,23,7,1,5,40,0,15,4,13,4,0,0,2,2,42,1,0,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal 't Rikkenhage stembureau 1,1859::SB10,7261 NL,1191,651,0,0,0,0,3,585,63,0,0,0,0,0,651,195,40,69,87,22,51,31,10,26,3,0,0,35,1,13,0,13,0,0,0,0,4,48,0,0,1,0,0,0,2
