contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis 15-3,0439::SB1,1441 DM,0,526,0,6,0,0,1,478,53,0,0,0,0,0,532,131,77,49,61,15,41,57,7,27,1,1,2,18,1,27,0,4,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Purmerend 15-3,0439::SB2,1441 MP,0,444,0,2,0,1,0,410,37,0,0,1,0,0,447,80,70,36,58,19,55,40,2,17,4,0,0,17,12,22,1,4,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Taborkerk 15-3,0439::SB3,1442 RV,0,296,0,1,0,0,0,269,28,0,0,0,0,0,297,49,50,45,30,13,18,31,10,12,6,0,2,5,1,8,1,8,0,2,0,0,0,0,2,1,0,0,2,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Inval 15-3,0439::SB4,1444 HV,0,390,0,0,0,0,0,346,44,0,0,0,0,0,390,88,68,53,40,15,23,36,7,17,6,0,3,15,3,11,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkplein Where 15-3,0439::SB5,1443 BM,0,392,0,2,0,1,0,356,39,0,0,1,0,0,395,87,67,44,37,12,36,36,13,11,8,7,3,6,1,13,0,5,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtcentrum Gildeplein 15-3,0439::SB6,1445 CW,0,479,1,1,0,1,0,445,37,0,0,1,0,0,482,106,104,27,39,12,45,50,10,15,8,2,1,23,6,11,0,9,0,1,0,1,4,2,0,0,0,0,0,0,1,1,1,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentewerf Koggenland 15-3,0439::SB7,1447 CP,0,309,1,1,0,1,0,286,26,0,0,1,0,0,312,91,46,25,30,7,20,33,3,12,5,1,0,3,1,12,0,11,0,0,0,0,3,0,0,5,0,0,0,1,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Club Welzijn - locatie Woonstate 15-3,0439::SB8,1448 PJ,0,306,0,1,0,0,2,277,28,0,0,0,0,0,307,85,43,32,40,10,20,27,6,11,5,1,2,7,5,7,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Walk-in evenemententerrein 15-3,0439::SB9,1445 AA,0,368,0,0,0,1,1,323,45,0,0,1,0,0,369,107,53,26,48,11,28,40,5,24,1,0,0,14,0,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis 16-3,0439::SB11,1441 DM,0,505,0,4,0,0,2,451,56,0,0,0,0,0,509,123,91,28,67,22,26,37,4,28,7,0,1,27,5,20,2,11,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Purmerend 16-3,0439::SB12,1441 MP,0,405,1,0,0,3,0,359,50,0,0,3,0,0,409,110,61,26,31,24,37,26,6,16,7,0,4,24,5,18,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Taborkerk 16-3,0439::SB13,1442 RV,0,288,3,0,0,0,1,264,26,0,0,0,0,0,291,68,38,16,33,17,27,25,4,10,9,0,0,16,1,11,1,3,0,5,0,0,0,1,0,1,0,1,1,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Inval 16-3,0439::SB14,1444 HV,0,320,0,2,0,0,0,287,35,0,0,0,0,0,322,61,60,28,27,17,20,31,6,18,2,0,2,17,3,18,1,4,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkplein Where 16-3,0439::SB15,1443 BM,0,368,0,1,0,1,0,335,33,0,1,0,0,0,368,83,66,30,41,14,29,29,7,16,3,0,13,14,5,9,0,2,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtcentrum Gildeplein 16-3,0439::SB16,1445 CW,0,546,0,2,0,3,0,484,67,0,0,3,0,0,551,100,112,23,51,18,57,38,7,26,15,3,7,40,7,18,2,8,2,1,2,2,1,3,0,0,0,1,0,2,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentewerf Koggenland 16-3,0439::SB17,1447 CP,0,400,0,0,0,0,0,360,40,0,0,0,0,0,400,89,75,24,41,11,39,42,3,23,8,0,0,13,4,13,1,4,0,2,0,1,2,1,0,4,0,0,0,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clup Welzijn - locatie Woonstate 16-3,0439::SB18,1448 PJ,0,299,0,1,0,0,0,265,35,0,0,0,0,0,300,86,50,23,30,8,22,31,3,15,3,1,4,11,1,6,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Walk-in evenemententerrein 16-3,0439::SB19,1445 AA,0,430,0,0,0,2,0,370,62,0,0,2,0,0,432,115,47,42,53,11,34,24,12,16,11,0,3,19,2,22,1,14,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0439::SB21,1441 DM,1806,763,4,1,0,0,2,681,85,0,0,0,0,0,768,181,115,32,105,42,42,33,14,29,8,2,10,61,17,21,5,16,5,4,1,4,7,4,0,1,0,0,2,1,0,1,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Purmerend,0439::SB22,1441 MP,1795,1381,3,6,0,2,2,1233,157,0,0,2,0,0,1392,241,219,60,217,83,87,70,14,84,30,2,32,107,36,36,8,16,3,8,2,2,4,5,1,0,0,0,6,0,3,5,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Taborkerk,0439::SB23,1442 RV,1952,1229,3,5,0,7,0,1106,124,0,7,0,0,0,1230,236,172,44,153,56,107,52,17,81,15,2,45,116,18,37,8,16,11,7,0,4,4,7,1,2,1,0,9,2,3,2,1,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Inval,0439::SB24,1444 HV,2052,1135,1,0,1,0,1,1020,116,0,0,1,0,0,1137,228,171,62,148,56,74,61,11,52,18,3,16,98,25,44,2,26,3,10,1,2,3,7,2,1,1,0,7,0,2,1,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkplein Where,0439::SB25,1443 BM,1956,1021,3,6,0,2,6,920,106,0,0,2,0,0,1032,152,142,54,124,70,92,54,16,55,16,2,34,96,29,19,8,16,6,9,1,5,3,3,2,0,0,1,4,1,5,2,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtcentrum Gildeplein,0439::SB26,1445 CW,2440,1752,6,3,0,0,2,1575,184,0,0,0,0,0,1761,269,391,58,164,83,135,85,23,64,16,8,40,201,49,57,13,27,5,11,3,3,15,7,2,2,1,3,12,2,1,2,0,,
Den Helder,Purmerend,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentewerf Koggenland,0439::SB27,1447 CP,2036,1388,2,3,0,19,1,1255,156,0,0,19,0,0,1412,367,210,64,215,65,101,47,9,53,19,0,14,83,11,66,6,24,7,6,0,6,3,6,1,0,0,0,4,0,1,0,0,,
