contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP)
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Huis van Waalre,0866::SB1,5582 JV,0,1579,2,0,0,0,,,,,0,0,,,1581,0,0,456,97,365,189,41,128,124,40,44,38,3,0,4,0,14,6,16,0,0,0,1,4,0,1,4,0,0,0,0,2,2
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Huis van Waalre 1 (15-03),0866::SB2,5582 JV,0,389,0,0,0,0,2,352,37,0,0,2,0,0,391,,,106,24,57,71,16,33,26,9,13,5,0,0,6,0,10,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Huis van Waalre 2 (15-03),0866::SB3,5582 JV,0,260,0,0,0,0,0,239,21,0,0,0,0,0,260,,,73,16,40,54,18,16,15,3,7,0,0,0,1,0,8,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Huis van Waalre 1 (16-03,0866::SB4,5582 JV,0,326,0,0,0,0,0,302,24,0,0,0,0,0,326,,,95,33,48,57,10,19,14,3,8,8,0,0,9,0,11,0,8,0,0,0,0,0,0,0,2,0,0,1,0,0,0
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Huis van Waalre 2 (16-03,0866::SB5,5582 JV,0,240,1,0,0,0,0,216,25,0,0,0,0,0,241,,,54,27,31,59,10,15,12,2,14,0,0,0,1,2,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Huis van Waalre 1 (17-03),0866::SB6,5582 JV,941,598,1,1,0,0,2,525,73,0,0,0,0,0,600,,,232,45,48,128,23,14,7,4,22,2,0,1,18,0,21,1,24,1,2,1,1,1,0,0,1,0,0,0,0,0,1
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Huis van Waalre 2 (17-3),0866::SB7,5582 JV,605,570,0,0,0,0,3,504,63,0,0,0,0,0,570,,,216,30,47,136,29,7,11,4,19,2,0,2,14,1,12,1,30,0,2,1,0,2,2,1,1,0,0,0,0,0,0
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum Het Klooster,0866::SB8,5581 BK,1542,1195,6,2,0,0,2,1084,117,0,0,0,0,0,1203,,,318,111,108,248,67,60,49,10,47,8,0,0,74,3,28,5,45,0,3,1,1,2,3,0,1,1,0,0,0,1,1
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Hoeveland,0866::SB9,5581 AS,2770,1566,1,8,0,0,2,1432,150,0,0,0,0,0,1575,,,478,137,106,339,80,88,46,9,54,23,1,3,65,7,33,6,57,0,1,2,3,7,11,1,2,0,0,6,0,1,0
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal 't Hazzo,0866::SB10,5582 GM,3136,1760,9,4,0,0,4,1602,167,0,0,0,0,0,1773,,,488,161,117,361,102,108,57,14,60,15,6,5,85,8,35,6,88,8,6,0,5,10,3,1,3,1,0,6,1,0,0
's-Hertogenbosch,Waalre,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Pracht,0866::SB11,5583 CW,4267,2721,1,6,0,0,5,2457,266,0,0,0,0,0,2728,,,709,231,160,629,160,166,101,37,118,33,10,11,106,8,49,11,119,0,11,0,6,14,7,4,5,0,2,8,2,0,4
