contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Schouwburg Lochem,0262::SB1,7241 AR,1564,801,1,1,0,0,4,775,24,0,0,0,0,0,803,184,68,54,144,53,72,47,12,34,6,0,1,38,3,15,5,23,1,5,0,3,4,25,1,1,0,0,0,0,2,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Lochem,0262::SB2,7241 CR,1052,703,1,0,0,0,8,621,75,0,0,0,0,0,704,141,52,52,98,50,41,40,15,31,2,0,40,57,2,17,0,13,3,5,0,0,0,38,1,0,0,0,3,0,2,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Jan Wissinkhal LTTC de Toekomst,0262::SB3,7241 VE,1652,1208,5,1,0,1,5,1099,109,0,1,0,0,0,1213,318,89,118,230,50,82,91,24,31,8,0,10,46,1,32,4,29,2,3,1,3,1,33,2,0,0,0,0,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubhuis ’t Overschotje,0262::SB4,7241 RX,1478,624,0,0,0,0,2,562,60,0,0,0,0,0,624,129,45,53,137,37,38,62,4,29,4,0,6,20,1,5,1,18,1,0,0,1,6,26,0,0,0,0,1,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Beemd,0262::SB5,7241 SG,1192,746,0,1,0,0,4,671,72,0,0,0,0,0,747,183,47,59,117,47,65,54,8,18,6,0,26,31,2,12,6,11,4,0,0,5,6,37,1,0,0,0,1,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau RK Kerk Hoofdingang,0262::SB6,7241 ET,1092,633,1,1,0,0,2,576,57,0,0,0,0,0,635,145,22,58,161,41,21,36,18,27,9,2,0,25,0,21,4,13,0,0,2,1,0,25,2,0,0,0,0,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hotel Hof van Gelre,0262::SB7,7241 EW,1614,917,1,4,0,0,4,834,84,0,0,0,0,0,922,270,27,70,253,51,29,49,13,32,3,1,1,37,2,15,3,25,0,1,0,2,3,29,0,0,0,0,1,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CR Bousema,0262::SB8,7241 KP,1014,857,1,2,0,0,2,791,67,0,0,0,0,0,860,204,74,83,165,31,46,49,13,35,8,1,5,37,3,20,3,26,4,0,2,3,6,34,1,0,0,0,4,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brandweerkazerne,0262::SB9,7245 BL,1666,1276,4,1,0,0,2,1155,124,0,0,0,0,0,1281,376,54,159,164,25,36,50,23,20,4,2,0,68,0,47,3,22,0,1,0,2,6,205,1,1,1,1,4,0,1,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Branink Sportzaal,0262::SB10,7245 AH,1186,911,1,1,0,0,3,811,99,0,0,0,0,0,913,229,39,120,123,10,27,39,11,22,3,3,0,70,1,22,3,23,0,1,0,1,6,152,0,1,0,0,5,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Lu-Lin,0262::SB11,7245 VJ,906,603,0,0,0,0,1,534,68,0,0,0,0,0,603,130,25,78,68,19,15,32,9,25,6,2,2,25,2,15,1,12,8,0,0,0,0,129,0,0,0,0,0,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapscentrum 't Onderschoer,0262::SB12,7244 BB,1493,1083,1,0,0,0,4,971,109,0,0,0,0,0,1084,305,63,102,139,49,49,71,16,43,9,0,1,38,5,24,1,22,1,2,0,1,1,135,2,1,0,0,1,1,1,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Protestantse kerk,0262::SB13,7213 CN,1680,863,0,0,0,0,2,791,70,0,0,0,0,0,863,240,35,75,207,55,38,35,19,36,6,1,0,33,2,7,2,30,1,2,0,0,0,33,0,1,1,1,1,1,1,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel Centrum 't Trefpunt,0262::SB14,7213 XD,1774,1036,0,1,0,1,17,952,67,0,1,0,0,0,1036,295,57,64,233,46,58,51,18,45,5,5,0,57,4,23,5,35,0,0,0,1,2,28,0,0,0,0,1,0,3,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Steunpunt 't Wansinkhof,0262::SB15,7214 AH,893,665,1,0,0,0,5,592,69,0,0,0,0,0,666,172,57,53,125,36,27,24,6,25,4,1,14,27,0,22,7,16,3,3,2,2,1,37,0,0,0,0,1,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine SV Epse,0262::SB16,7214 AA,851,517,0,1,0,0,1,481,36,0,0,0,0,0,518,159,33,40,122,22,16,15,9,24,1,0,5,18,1,12,0,14,1,0,0,2,4,18,0,0,0,0,0,0,1,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ons Gebouw,0262::SB17,7217 TN,814,668,1,1,0,0,3,615,52,0,0,0,0,0,670,189,27,92,96,20,21,28,10,25,2,2,0,25,0,7,4,10,0,2,0,0,0,106,0,0,1,0,1,0,0,,
Arnhem,Lochem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hoeflo Harfsen,0262::SB18,7217 SZ,776,505,1,0,0,0,2,469,35,0,0,0,0,0,506,127,40,54,85,21,17,24,6,20,3,0,0,11,3,13,0,16,0,2,0,0,0,60,1,0,0,0,1,0,1,,
