contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0222::SB1,7001 EW,1528,1359,5,3,0,0,3,1246,118,0,0,0,0,0,1367,280,155,91,225,72,106,73,21,65,16,8,36,107,5,33,5,35,2,3,0,1,9,6,1,0,0,2,1,0,1,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Terborgseweg 27A,0222::SB2,7001 GM,0,470,1,1,0,0,0,434,38,0,0,0,0,0,472,135,45,27,92,25,26,16,6,19,0,3,8,37,1,7,2,14,1,2,0,0,1,2,1,0,0,0,0,0,0,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum De Daele,0222::SB3,7002 HC,1690,1061,0,3,0,0,2,962,106,0,0,6,0,6,1070,186,144,98,144,61,93,85,54,27,13,15,12,72,1,18,1,7,5,1,1,0,2,18,0,0,0,1,0,0,2,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Trefcentrum Het Trommelslag,0222::SB4,7002 AZ,1646,819,6,0,0,0,0,752,73,0,0,0,0,0,825,142,118,75,92,25,83,70,27,30,5,14,29,60,4,13,1,6,3,7,0,1,2,10,0,0,0,2,0,0,0,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS Hogenkamp dep Overstegen,0222::SB5,7002 AK,1241,762,7,0,0,0,15,650,104,0,0,0,0,0,769,116,155,41,89,27,76,48,12,34,4,5,32,81,2,7,1,12,4,1,0,2,2,8,0,0,2,0,1,0,0,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubhuis speeltuinvereniging Schöneveld,0222::SB6,7003 BK,1413,1298,3,0,0,1,1,1188,113,0,0,1,0,0,1302,221,208,66,181,68,127,77,43,36,15,4,49,94,1,25,6,28,4,9,2,2,6,10,2,0,0,5,6,0,3,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Lyceum Panora,0222::SB7,7001 EK,0,496,2,0,0,0,3,455,40,0,0,0,0,0,498,141,35,37,129,28,24,23,7,16,5,1,0,15,2,10,1,17,0,1,1,0,2,1,0,0,0,0,0,0,0,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ondernemerscentrum De Achterhoek,0222::SB8,7005 BK,1562,303,0,0,0,0,2,250,51,0,0,0,0,0,303,88,17,18,59,12,17,17,4,11,3,8,1,17,0,5,1,16,0,1,1,0,1,3,0,2,1,0,0,0,0,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA De Zonneboom,0222::SB9,7004 EL,1551,1311,4,2,0,0,3,1188,126,0,0,0,0,0,1317,310,222,81,206,76,90,69,27,36,12,7,17,64,3,21,5,17,6,5,1,3,6,23,1,0,0,1,2,0,0,,
Arnhem,Doetinchem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool te IJzevoorde,0222::SB10,7004 HT,514,449,0,0,0,2,4,399,44,0,2,0,0,0,447,120,32,62,64,12,13,18,26,22,3,8,0,14,0,6,0,7,0,1,0,0,4,36,0,0,0,0,0,0,1,,
