contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Omnium,0664::SB1,4463 AB,1601,874,0,1,0,0,3,781,91,0,0,0,0,0,875,234,76,73,142,42,39,24,38,26,2,46,7,54,4,31,4,16,1,2,0,1,3,7,2,0,0,0,0,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bethelkerk,0664::SB2,4461 NZ,1344,631,2,2,0,0,2,570,63,0,0,0,0,0,635,124,32,74,97,31,32,26,40,23,5,65,0,32,3,22,2,10,0,2,0,1,2,5,0,1,0,2,0,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal de Krul,0664::SB3,4464 JA,1509,1078,4,0,0,4,2,967,109,0,4,0,0,0,1078,256,59,97,146,39,18,30,141,41,10,150,4,37,5,25,2,10,0,0,0,1,2,4,1,0,0,0,0,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Jan Ligthart,0664::SB4,4461 NB,1370,607,3,6,0,0,1,562,53,0,0,0,0,0,616,111,52,45,105,27,38,42,26,32,10,40,0,34,3,25,4,3,1,1,1,0,2,2,0,1,1,0,1,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadskantoor,0664::SB5,4461 GE,1505,1279,0,2,0,0,4,1184,93,0,0,0,0,0,1281,271,146,104,197,81,87,78,41,39,11,34,12,82,7,44,6,20,2,4,0,0,3,7,0,1,0,0,2,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau de Zuidwester,0664::SB6,4461 ET,1504,366,0,1,0,0,3,327,37,0,0,0,0,0,367,54,42,30,58,13,23,28,23,21,8,19,1,24,5,4,1,6,0,1,0,1,1,3,0,0,0,0,0,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de Spinne 1,0664::SB7,4463 CV,1853,625,1,2,0,0,0,561,67,0,0,0,0,0,628,83,80,33,83,42,40,44,38,25,9,11,12,69,7,18,4,12,6,1,0,3,0,4,0,1,0,0,0,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wooncentrum Erasmuspark,0664::SB8,4463 XZ,1530,1117,4,0,0,4,3,972,150,0,0,4,0,0,1125,176,111,81,133,51,109,96,55,45,13,54,32,83,11,22,4,6,6,2,0,1,4,11,4,2,2,0,3,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de Spinne 2,0664::SB9,4463 CV,1447,856,4,7,0,0,3,759,105,0,0,0,0,0,867,112,116,63,104,37,62,65,44,34,10,34,25,95,4,11,6,15,3,5,0,1,3,6,0,0,0,0,1,0,,
Middelburg,Goes,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de Pit,0664::SB10,4462 TL,1370,1982,4,3,0,0,1,1790,198,0,0,0,0,0,1989,422,213,166,292,85,152,132,65,68,36,60,25,133,14,41,10,28,1,10,2,3,5,13,1,1,1,0,3,0,,
