contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis 'De Groenlandsvaarder',0072::SB1,8861 BD,1308,760,1,0,0,0,2,698,61,0,0,0,0,0,761,193,81,60,113,26,41,62,15,48,7,4,1,62,3,23,3,9,0,1,0,1,1,1,1,1,1,0,2,0,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Grote Kerk,0072::SB2,8861 ES,1574,776,2,2,0,0,4,710,66,0,0,0,0,0,780,160,69,66,137,36,59,49,19,45,7,3,1,62,2,21,2,22,0,4,0,0,3,9,0,0,0,0,0,0,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Scholengemeenschap Simon Vestdijk,0072::SB3,8862 TA,1360,562,1,0,0,0,2,518,42,0,0,0,0,0,562,93,90,43,58,31,48,54,20,35,3,5,0,45,1,14,0,8,0,1,1,0,1,5,0,0,2,2,1,1,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFC Het Vierkant,0072::SB4,8862 BB,1725,1066,2,1,0,0,4,956,109,0,0,0,0,0,1069,201,216,100,99,29,95,63,39,31,11,4,2,102,5,27,6,9,5,4,0,2,1,9,0,0,2,2,2,0,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS Prins Johan Friso,0072::SB5,8862 ZA,1638,1003,4,1,0,0,0,908,100,0,0,0,0,0,1008,171,120,129,93,38,90,75,36,52,10,8,1,122,1,16,5,12,2,2,0,3,0,12,1,0,1,0,2,1,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Spil,0072::SB6,8872 NR,505,362,0,1,0,0,1,335,27,0,0,0,0,0,363,59,56,45,42,14,28,28,11,17,3,1,0,39,0,4,1,7,0,0,0,0,1,5,0,0,0,0,0,0,1,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stedelijk Muziekvereniging  Harlingen,0072::SB7,8861 AE,1429,870,0,0,0,0,5,781,84,0,0,0,0,0,870,181,104,92,124,35,73,84,19,45,9,4,0,37,4,27,2,8,0,3,0,0,10,2,0,1,1,1,4,0,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau ZMVV Zeerobben,0072::SB8,8862 AJ,1086,632,1,0,0,0,1,559,73,0,0,0,0,0,633,157,93,68,76,20,30,40,29,32,9,5,4,32,2,21,0,6,0,0,1,0,1,5,0,0,0,0,1,0,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis de Bijekoer,0072::SB9,8857 BT,372,278,1,1,0,0,0,261,19,0,0,0,0,0,280,52,27,24,28,10,42,34,4,11,3,3,0,18,0,5,0,4,0,0,0,0,3,8,1,0,0,0,1,0,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS Noorderlicht,0072::SB10,8862 WC,1201,785,0,0,0,0,2,703,81,0,0,0,0,0,786,178,124,78,100,18,68,38,23,30,6,4,0,76,0,11,4,7,0,6,1,0,1,5,1,1,0,2,1,2,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stationsrestauratie Harlingen,0072::SB11,8861 GA,0,210,4,0,0,0,6,186,22,0,0,0,0,0,214,30,20,23,24,11,20,18,5,14,2,2,0,17,0,5,3,11,0,3,0,1,0,1,0,0,0,0,0,0,0,0,,
Leeuwarden,Harlingen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bijzonder stembureau in De Spiker,0072::SB12,8861 VD,103,35,0,0,0,0,0,32,3,0,0,0,0,0,35,6,4,4,4,1,3,5,0,2,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,
