contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het gemeentehuis (Trouwzaal),0090::SB1,9203 RM,0,1817,8,5,3,0,2,1661,171,1,0,4,0,0,1834,280,226,158,239,102,127,145,121,67,10,22,12,211,8,31,2,17,0,7,0,3,4,11,2,0,1,4,7,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Utwyk,0090::SB2,9201 XE,0,1814,6,3,0,15,1,1683,154,0,0,15,0,0,1838,186,276,163,142,79,208,105,166,67,28,31,9,211,5,36,10,21,6,7,0,6,4,30,2,2,0,3,10,1,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Kouwe,0090::SB6,9201 TE,0,1573,9,0,20,0,0,1447,155,0,0,20,0,0,1602,112,341,99,108,61,186,102,86,62,12,29,23,252,6,25,8,11,3,7,0,5,9,10,0,0,1,1,13,1,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Chr.Ger. Kerk,0090::SB7,9203 AN,0,1225,0,1,0,0,0,1118,108,0,0,0,0,0,1226,180,139,138,122,68,118,63,120,33,8,29,4,127,5,16,1,12,1,8,1,3,5,8,4,1,2,2,7,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijk- en Zorgcentrum De Wiken,0090::SB9,9202 CA,0,15,0,0,0,0,0,14,1,0,0,0,0,0,15,1,1,2,0,1,3,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum Drachten,0090::SB10,9202 LC,0,1906,2,4,0,0,3,1731,178,0,0,0,0,0,1912,257,288,153,231,78,150,109,195,32,19,45,25,193,6,42,8,20,1,7,1,2,11,17,1,1,2,5,7,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verzorgingscentrum Rispinge,0090::SB12,9203 ZG,0,19,0,0,0,0,0,17,2,0,0,0,0,0,19,3,3,1,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verzorgingscentrum De Warrenhove,0090::SB13,9203 HT,0,19,0,0,0,0,0,19,0,0,0,0,0,0,19,2,1,3,0,1,2,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis De Skûle,0090::SB14,9203 ND,0,1187,4,1,0,0,0,1084,108,0,0,0,0,0,1192,207,101,129,167,42,86,101,132,54,3,18,0,81,2,18,5,21,0,3,3,1,1,5,1,0,1,0,4,1,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MOS - Brede School De Drait (A),0090::SB15,9204 JT,0,1617,2,5,0,0,2,1480,142,0,0,0,0,0,1624,291,170,155,264,83,103,98,117,80,11,16,4,148,2,31,7,13,1,2,0,0,6,12,0,0,1,0,2,0,0,0
