contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadskantoor Sittard,1883::SB1,6131 LB,1906,869,1,3,0,1,11,783,80,0,0,1,0,0,874,178,87,123,153,52,38,37,9,35,9,2,15,64,5,18,1,22,0,5,2,0,7,2,0,0,0,0,3,0,2,0,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Schouwburg De Domijnen,1883::SB2,6131 AJ,1720,849,0,1,0,0,3,771,76,0,0,0,0,0,850,148,118,73,156,56,69,45,3,42,4,0,3,62,3,11,6,29,1,1,2,3,4,5,2,0,1,1,1,0,0,0,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Multifuntioneel Centrum Sanderbout,1883::SB3,6134 TZ,1743,903,1,0,0,0,2,756,146,0,0,0,0,0,904,86,351,19,65,31,68,62,1,23,9,0,23,114,4,11,1,7,7,5,0,5,2,2,0,2,1,2,0,0,2,0,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis de Landjwaer,1883::SB4,6133 AJ,1667,1441,6,4,0,2,0,1274,175,0,2,0,0,0,1449,258,199,100,226,103,127,113,8,88,29,2,4,92,3,26,8,26,3,6,0,0,4,9,0,1,0,4,1,0,1,0,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Fanfarezaal St. Jan,1883::SB5,6132 CD,2039,1068,1,1,0,1,1,936,134,0,0,1,0,0,1071,360,76,111,210,47,37,41,8,43,12,0,0,47,3,31,3,28,0,4,1,1,1,1,0,0,0,0,3,0,0,0,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Voormalig Dacapo college,1883::SB6,6137 AC,1032,386,0,1,0,0,4,352,31,0,0,0,0,0,387,66,49,34,66,33,28,11,5,18,6,0,0,33,2,7,1,13,4,0,2,0,3,1,0,0,0,2,1,0,0,1,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tafeltennis Vereniging Sittard,1883::SB7,6137 PE,1630,927,4,4,0,0,6,830,99,0,0,0,0,0,935,127,180,49,97,46,91,51,12,50,19,2,9,121,8,11,3,15,1,0,1,4,4,6,3,3,0,10,3,0,1,0,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis Broeksittard,1883::SB8,6137 SR,1639,856,0,3,0,1,5,747,109,1,0,2,0,0,861,88,259,53,84,45,65,23,5,29,11,4,27,114,2,9,1,6,4,1,3,2,3,5,1,1,3,5,1,0,1,1,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Zuyd Hogeschool,1883::SB9,6131 MT,1334,817,2,1,0,0,3,760,57,0,0,0,0,0,820,141,71,59,151,95,46,50,2,48,2,0,3,75,11,21,3,25,1,1,1,0,5,0,0,0,0,2,2,1,1,0,,
Maastricht,Sittard-Geleen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Xonar,1883::SB10,6137 LN,1346,247,0,0,0,0,3,223,21,0,0,0,0,0,247,53,25,24,44,17,13,14,2,8,2,0,0,26,0,4,2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
