contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportdentrum De Mencke 1,1966::SB1,,960,546,0,1,0,0,1,488,58,0,0,0,0,0,547,86,76,71,52,15,55,60,22,20,4,6,4,44,0,8,2,9,0,1,1,0,0,7,1,1,0,1,0,0,0,0,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Vincentiusgebouw 17-03-2021,1966::SB2,,1131,547,2,4,0,0,2,508,43,0,0,0,0,0,553,79,62,69,42,20,61,43,46,28,4,3,0,48,2,5,8,7,0,3,0,1,1,13,0,0,0,0,0,0,2,0,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ability,1966::SB3,,1140,717,4,2,0,0,1,656,66,0,0,0,0,0,723,105,90,69,50,34,86,74,34,26,9,14,0,59,0,14,3,3,0,2,0,0,7,33,0,1,0,2,1,0,1,0,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum De Mencke 2,1966::SB4,,1015,554,0,2,0,0,1,501,54,0,0,0,0,0,556,92,75,57,63,19,43,61,37,19,2,6,4,41,0,11,2,3,0,1,1,1,5,11,0,0,0,0,0,0,0,0,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bommelhoes,1966::SB5,,852,544,1,0,0,0,1,498,48,2,0,2,0,0,547,83,57,92,29,8,37,27,108,8,5,12,0,32,2,7,6,3,0,0,0,0,2,20,2,0,0,2,0,0,1,1,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Scherphorn,1966::SB6,,933,632,3,0,0,0,0,577,58,0,0,0,0,0,635,62,84,127,38,17,79,34,95,14,1,10,2,38,2,4,0,3,0,0,0,3,1,13,1,2,0,1,0,0,0,1,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Anker,1966::SB7,,792,520,2,2,0,0,0,470,54,0,0,0,0,0,524,91,44,122,48,19,38,12,58,13,1,9,0,34,0,8,0,5,0,3,0,0,0,12,0,0,1,0,0,0,2,0,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Nieuw Calvaria,1966::SB8,,868,652,0,1,0,0,3,613,37,0,0,0,0,0,653,71,90,85,40,15,55,35,137,19,3,17,0,36,5,3,1,11,0,0,0,0,0,24,1,0,0,0,1,0,3,0,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Diggelschip,1966::SB9,,274,178,1,0,0,0,0,179,0,0,0,0,0,0,179,37,23,20,14,7,14,7,6,11,3,3,1,14,1,2,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,,
Groningen,Het Hogeland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gebouw Irene,1966::SB10,,566,399,0,0,0,0,0,358,41,0,0,0,0,0,399,41,61,54,49,12,39,32,18,14,2,0,0,22,2,7,2,4,0,2,0,0,7,26,0,0,0,1,1,0,2,1,,
