contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gemeentehuis, Harmen Visserplein 1",0171::SB1,,1375,1132,4,3,0,0,4,1014,121,0,0,0,0,0,1139,236,138,101,136,36,64,56,65,46,3,30,37,93,2,23,1,12,11,4,0,6,4,21,2,0,1,4,0,0,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gymzaal De Zeevaarder, Skagerrak 3",0171::SB2,,2045,936,3,1,0,0,1,823,117,0,0,1,0,0,941,125,118,100,92,27,60,55,108,19,9,37,25,89,0,24,5,13,2,5,0,3,0,16,0,0,2,2,0,0,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gymzaal De Erven Oost, Espelerlaan 71",0171::SB3,,1201,777,0,1,0,0,0,682,96,0,0,0,0,0,778,201,84,146,86,22,31,24,47,11,12,24,3,38,3,18,2,8,0,0,0,1,2,12,0,1,0,1,0,0,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Bosbadhal, Boslaan 28",0171::SB4,,1432,952,2,0,0,0,1,838,115,0,0,0,0,0,954,235,137,132,105,30,46,34,30,21,5,15,29,66,6,23,3,7,7,0,1,2,0,18,0,0,0,0,0,0,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau MFC Nieuw Jeruzalemkerk, Cornelis Dirkszplein 10",0171::SB5,,1238,754,1,2,0,0,1,689,67,0,0,0,0,0,757,141,98,97,72,21,72,36,39,19,9,8,16,70,0,16,2,15,3,2,1,4,1,7,0,2,0,3,0,0,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau De Hoeksteen, Nagelerstraat 2",0171::SB6,,958,341,0,0,0,0,0,313,28,0,0,0,0,0,341,69,30,47,40,16,22,18,31,6,0,19,2,28,0,5,0,2,0,0,1,1,1,1,1,1,0,0,0,0,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Buurthuis Revelsant, Pallasstraat 65 A",0171::SB7,,1342,777,0,7,0,0,0,690,94,0,0,0,0,0,784,100,145,43,82,19,58,37,31,22,12,25,32,100,4,18,2,12,18,2,0,1,3,8,0,2,0,1,0,0,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau ""Gereformeerde Kerk""""Pro Rege"",	Revelsant 86",0171::SB8,,996,683,1,0,0,0,0,621,63,0,0,0,0,0,684,101,69,61,57,20,41,47,83,19,2,37,25,89,1,13,4,2,0,2,0,0,0,9,0,1,0,0,0,0,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Buurth.Espelervaart, Atlantischestr. 18",0171::SB9,,1510,1072,0,2,0,0,4,938,132,0,0,0,0,0,1074,164,119,116,139,38,69,42,137,20,8,37,19,101,2,23,7,10,1,1,2,0,3,13,0,0,0,0,0,1,,
Lelystad,Noordoostpolder,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Buurthuis de Brulboei, Markenstraat 1",0171::SB10,,1198,841,3,1,0,0,3,766,76,0,0,0,0,0,845,144,112,112,91,21,73,27,64,19,2,17,3,88,3,19,8,6,0,1,2,2,6,13,0,0,1,7,0,0,,
