contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP)
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Oss,0828::SB1,5341 GM,1164,1889,6,8,0,4,3,1706,190,0,4,0,0,0,1899,373,289,97,316,105,217,63,9,53,13,4,70,140,10,38,8,43,4,9,0,7,3,5,1,0,2,2,5,0,1,2
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Schadewijk,0828::SB2,5348 XA,1164,1058,2,1,2,0,0,971,88,0,2,0,0,0,1059,163,217,36,89,44,157,32,5,36,6,0,103,101,7,10,4,15,9,4,0,1,2,5,1,0,6,3,1,0,0,1
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Korenaer,0828::SB3,5345 TA,1164,1910,3,1,0,2,3,1719,194,0,0,2,0,0,1916,458,283,153,257,103,261,82,7,49,11,3,25,94,4,35,5,29,5,5,1,4,9,19,0,0,1,0,4,2,0,1
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café Zaal 't Haasje,0828::SB4,5386 AM,1164,1010,0,2,0,1,0,890,123,0,0,1,0,0,1013,332,173,107,102,12,81,23,3,11,7,1,1,68,1,41,2,11,1,2,1,2,2,22,0,0,0,0,4,0,0,0
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Ontmoetingscentrum Meteoor,0828::SB5,5346 RT,1164,1677,3,0,0,3,0,1472,205,0,3,0,0,0,1677,318,297,108,230,72,215,49,11,37,17,5,82,117,10,40,9,23,7,6,0,3,4,7,1,1,1,0,2,3,1,1
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Gemeenschapshuis Acropolis,0828::SB6,5366 BE,1164,756,0,0,0,0,1,681,74,0,0,0,0,0,756,207,72,77,141,28,66,32,6,22,6,0,0,31,0,23,4,22,0,1,3,0,0,7,2,2,0,0,1,0,0,3
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Bongerd,0828::SB7,5367 AA,1164,468,2,1,0,0,3,414,54,0,0,0,0,0,471,134,54,56,50,14,64,11,1,9,10,3,0,19,3,13,2,9,0,0,0,1,2,11,0,0,0,0,0,1,0,1
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Hart van Oijen,0828::SB8,5394 AK,1164,777,1,0,0,1,2,686,89,0,1,0,0,0,777,266,105,93,55,19,85,23,4,20,5,1,1,37,1,35,0,5,0,0,1,2,4,14,0,0,0,0,0,0,0,1
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Avanti,0828::SB9,5396 PN,1164,632,0,0,0,0,0,542,90,0,0,0,0,0,632,187,87,135,46,8,41,18,6,11,3,1,0,29,1,25,0,12,0,0,0,0,0,21,1,0,0,0,0,0,0,0
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Verdistraat,0828::SB10,5343 VC,1164,730,4,0,0,4,1,659,78,0,0,4,0,0,738,118,120,37,77,33,129,22,5,12,4,1,77,62,3,4,2,12,4,1,0,2,0,0,0,0,2,0,2,0,0,1
's-Hertogenbosch,Oss,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau ROC De Leijgraaf,0828::SB11,5344 CS,1164,979,1,2,0,4,0,885,101,0,0,4,0,0,986,193,134,60,174,60,95,35,11,13,7,3,42,70,4,25,8,15,3,2,1,3,8,9,1,1,0,0,2,0,0,0
