contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP)
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis (ontmoetingsruimte),0798::SB1,5081 CA,1211,1471,0,1,0,1,16,1309,148,0,0,1,0,0,1473,446,95,135,334,83,78,47,10,51,14,0,2,57,6,32,7,40,0,3,1,2,7,14,1,1,0,0,0,3,0,2
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau The Box Hilvarenbeek,0798::SB2,5081 CT,1027,494,0,1,0,1,0,451,45,0,0,1,0,0,496,213,38,36,95,10,20,14,1,15,6,0,1,9,2,11,2,7,0,1,0,1,2,7,0,0,0,0,0,0,0,3
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Herberg Den Hemel,0798::SB3,5081 HG,1212,623,1,4,0,0,8,567,53,0,0,0,0,0,628,228,45,75,118,22,34,13,1,11,2,1,0,23,0,14,1,17,0,2,0,2,2,12,0,0,0,0,0,0,0,0
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cafe-Zaal Schuttershof Esbeek,0798::SB4,5085 EG,990,798,3,1,1,1,3,741,56,0,2,0,0,0,800,256,56,143,120,31,40,18,7,27,10,0,0,23,0,21,5,17,0,1,0,2,0,16,0,1,0,0,0,3,0,1
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpsgebouw 't Gebint,0798::SB5,5084 HG,869,618,0,0,0,0,2,560,56,0,0,0,0,0,618,186,57,106,85,22,34,22,3,16,5,2,0,16,1,21,2,9,0,2,0,4,3,18,1,0,1,0,0,0,0,2
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Starrebos,0798::SB6,5081 VH,1899,978,0,0,0,0,0,890,88,0,0,0,0,0,978,291,81,97,194,44,66,40,7,20,14,0,0,41,6,32,1,20,0,0,0,0,5,9,3,2,0,0,0,2,2,1
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Doelakkers,0798::SB7,5081 XM,1537,847,0,0,0,0,2,765,80,0,0,0,0,0,847,244,63,67,206,42,65,27,4,18,11,0,0,36,0,26,5,19,0,0,0,2,2,4,3,0,0,1,0,1,0,1
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Partycentrum Hercules Diessen,0798::SB8,5087 BJ,1478,953,2,1,0,0,5,845,106,0,0,0,0,0,956,326,95,127,147,32,46,33,9,23,16,2,1,31,0,20,2,10,1,1,0,5,1,24,0,0,0,0,0,0,0,1
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zaal Den Horst,0798::SB9,5089 NK,766,497,0,0,0,1,1,450,47,0,0,1,0,0,498,158,46,95,60,17,26,13,1,12,2,0,0,20,1,17,1,4,0,0,2,1,0,17,0,2,0,0,0,0,0,2
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Partycentrum  Hercules Diessen,0798::SB10,5087 BJ,1574,1051,3,0,0,1,9,953,93,0,0,1,0,0,1055,366,94,144,148,32,60,30,7,37,9,4,1,21,2,25,3,15,0,0,1,4,1,44,1,0,0,0,0,1,0,1
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis (ontmoetingsruimte),0798::SB11,5081 CA,0,403,1,0,0,0,1,366,37,0,0,0,0,0,404,106,28,45,83,15,31,27,6,15,5,0,0,12,0,13,0,8,0,0,0,0,0,5,0,1,0,0,0,2,1,0
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis (ontmoetingsruimte),0798::SB12,5081 CA,0,434,0,0,0,0,3,390,41,0,0,0,0,0,434,114,44,59,74,15,45,33,2,14,5,0,0,8,1,9,2,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zaal Den Horst,0798::SB13,5089 NK,0,110,0,0,0,0,0,101,9,0,0,0,0,0,110,42,8,18,12,3,12,6,1,3,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zaal Den Horst,0798::SB14,5089 NK,0,119,0,0,0,0,2,108,9,0,0,0,0,0,119,27,9,21,21,3,7,7,1,1,6,0,0,3,0,4,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau tellen briefstemmen op woensdag,0798::SB20,,0,1064,1,2,0,0,0,0,0,0,0,0,0,0,1067,312,53,325,112,22,88,83,9,24,19,0,0,2,0,7,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Tilburg,Hilvarenbeek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tellen briefstemmen op woensdagavond na 21.00 uur,0798::SB22,,0,158,1,0,0,0,0,0,0,0,0,0,0,0,159,32,7,43,21,6,15,16,2,7,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
