contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Trefcentrum Nuth,1954::SB1,6361 CA,1574,1096,3,2,0,2,3,968,132,0,0,2,0,0,1103,186,205,94,105,57,108,96,4,43,9,0,2,106,6,21,3,21,5,2,1,1,6,6,0,0,0,6,1,0,1,1,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brasserie/B&B De Pletsmolen,1954::SB2,6361 EN,1455,506,1,0,0,1,8,437,61,0,1,0,0,0,506,91,89,49,74,27,31,32,1,36,6,0,0,32,0,15,0,4,0,1,1,2,2,8,2,0,0,1,1,0,1,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Gitek,1954::SB4,6361 VM,1477,808,5,1,0,0,0,718,96,0,0,0,0,0,814,179,163,61,87,42,61,36,5,37,9,0,1,78,0,16,4,10,1,1,0,0,2,7,1,2,0,1,4,0,0,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau voormalige Servatiusschool Vaesrade,1954::SB5,6361 JE,851,565,0,1,0,0,1,503,62,0,0,0,0,0,566,100,154,57,50,23,42,22,0,18,14,2,0,52,1,11,1,6,0,3,0,1,2,0,1,2,2,1,0,0,0,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Wijnandsrade,1954::SB6,6363 BV,1346,926,1,1,0,1,0,819,110,0,0,1,0,0,929,239,117,113,117,34,67,74,8,42,7,3,2,39,3,25,0,16,0,0,1,2,5,4,0,3,0,3,1,0,1,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Schimmert,1954::SB7,6333 BD,1072,1001,3,1,0,0,2,888,115,0,0,0,0,0,1005,277,140,145,113,40,43,62,5,31,7,0,0,68,2,23,2,9,0,1,1,0,4,22,0,1,0,4,0,0,1,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zaal 't Weverke Schimmert,1954::SB8,6333 BG,1546,881,1,0,0,0,1,767,114,0,0,0,0,0,882,227,94,130,130,45,40,61,5,46,8,0,0,45,1,13,3,8,0,3,0,0,1,17,1,1,0,1,1,0,0,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Lange Berg,1954::SB9,6336 AH,1559,1369,4,2,0,0,2,1191,182,0,0,0,0,0,1375,290,213,122,179,43,82,109,9,59,24,5,0,140,4,38,1,21,0,3,0,4,1,14,0,3,0,3,1,0,1,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hoeskamer Arensgenhout,1954::SB10,6336 VW,1705,798,1,1,0,0,0,715,85,0,0,0,0,0,800,202,134,90,104,27,45,41,9,25,5,1,1,44,1,38,3,4,0,5,0,3,2,11,0,1,0,2,0,0,0,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Noeber Beemden 2,1954::SB11,6365 CG,1137,599,0,2,0,2,3,538,62,0,0,2,0,0,603,147,91,52,82,25,39,22,4,22,5,1,0,61,2,20,4,7,0,1,0,1,4,3,0,1,0,2,3,0,0,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Noeber Beemden,1954::SB12,6365 CG,1135,582,2,0,0,0,0,516,68,0,0,0,0,0,584,143,102,65,67,23,40,32,7,16,3,1,0,50,2,8,2,9,0,0,1,0,2,3,1,1,0,3,0,0,1,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Trefputh,1954::SB13,6155 KL,1625,1059,1,2,0,0,4,939,116,0,3,0,3,0,1059,262,150,148,128,39,62,73,3,34,13,1,0,74,1,26,1,15,0,2,1,2,1,12,1,2,3,1,3,0,1,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rector Raevenhuis,1954::SB14,6174 RT,498,378,0,3,1,0,5,330,45,0,1,0,0,0,380,98,35,39,65,20,20,22,1,24,3,0,0,18,1,2,3,17,0,1,0,1,4,0,1,0,0,0,0,0,3,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Partycentrum de Oirsprong,1954::SB15,6438 GG,1498,625,5,0,0,0,0,550,80,0,0,0,0,0,630,143,91,59,98,25,39,43,8,23,12,1,1,43,2,13,2,10,0,0,0,2,0,2,1,5,0,0,0,0,2,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Schepenbank Oirsbeek,1954::SB16,6438 HC,1432,1285,0,1,0,0,1,1122,163,0,0,0,0,0,1286,257,226,115,186,64,99,76,7,43,17,2,3,100,1,21,10,30,0,3,1,1,5,6,1,4,0,4,2,0,1,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gasterie Dobbelsteyn Doenrade,1954::SB17,6439 AN,1037,768,1,0,0,0,2,683,85,1,0,1,0,0,770,167,93,119,129,28,49,57,3,17,12,1,0,40,0,16,1,13,0,1,0,1,1,18,0,0,0,2,0,0,0,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kasteel Amstenrade,1954::SB18,6436 CR,1092,888,0,4,0,1,4,780,107,0,1,0,0,0,891,181,132,71,134,40,60,63,23,44,9,6,0,65,2,15,3,15,0,4,1,2,6,2,0,2,0,5,1,0,2,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Koeteleboet,1954::SB19,6436 AT,1009,634,1,2,0,1,0,565,71,0,1,0,0,0,636,126,143,65,79,19,62,28,4,17,8,2,1,43,1,4,3,13,0,1,0,0,6,2,0,2,0,2,2,0,1,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cafe ’t Baekske,1954::SB20,6451 CC,1215,974,5,1,0,2,1,851,130,0,0,2,0,0,982,134,271,42,81,31,95,46,1,41,8,5,3,143,1,23,5,11,0,5,0,4,5,15,0,0,0,3,1,0,0,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel centrum Fasila,1954::SB21,6451 CE,1577,657,0,1,0,0,2,582,74,0,0,0,0,0,658,113,140,57,68,38,73,48,5,24,8,0,1,47,0,13,4,6,1,2,1,1,1,3,1,1,0,1,0,0,0,0,,
Maastricht,Beekdaelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau VV. Olympia,1954::SB22,6451 EG,1009,471,1,0,0,0,2,416,54,0,0,0,0,0,472,82,104,36,57,9,50,31,2,13,3,0,5,44,1,9,0,8,0,1,0,3,2,3,0,1,2,0,2,0,3,0,,
