contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0037::SB1,9501 SZ,1244,615,2,1,0,0,5,563,53,3,0,3,0,0,621,94,132,51,55,7,67,53,24,15,5,8,1,76,0,7,1,7,0,1,0,1,1,6,0,2,0,0,0,0,0,1,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Margrietlaan,0037::SB2,9503 KA,1399,725,0,4,0,0,0,649,80,0,0,0,0,0,729,120,93,52,80,23,94,62,62,12,8,12,0,65,0,14,3,5,0,0,0,1,2,12,2,0,2,0,0,0,0,1,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Rank Oosterkade 5,0037::SB3,9503 HN,1363,689,3,5,0,0,1,611,85,0,0,0,0,0,697,83,145,50,34,24,73,33,53,17,7,16,0,110,0,9,6,5,0,4,0,1,1,10,2,0,2,0,4,0,0,0,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gossen dans- en partycentrum,0037::SB4,9501 CR,1084,554,0,1,0,0,2,496,57,0,0,0,0,0,555,76,118,48,46,15,78,40,36,12,4,5,3,42,3,11,2,3,0,3,0,1,0,4,0,0,0,0,2,0,1,1,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Aziëlaan,0037::SB5,9501 EB,1206,490,1,0,0,0,4,443,44,0,0,0,0,0,491,108,58,47,49,9,48,49,52,9,3,5,0,31,1,7,3,5,0,1,0,0,1,3,0,0,0,0,1,0,0,0,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Lichtbron,0037::SB6,9501 VJ,1462,851,2,0,0,0,0,768,85,0,0,0,0,0,853,129,108,80,96,29,88,58,120,24,12,17,0,56,1,9,3,5,1,0,0,1,3,5,0,0,3,0,3,0,0,0,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Spont,0037::SB7,9501 DB,1828,838,3,2,0,0,2,761,80,0,0,0,0,0,843,76,206,43,72,25,118,56,33,20,13,6,6,118,2,14,4,2,0,2,0,2,2,11,1,1,0,2,1,0,2,0,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Mr. Neuteboomstraat,0037::SB8,9502 CR,1309,1025,1,3,0,1,1,944,85,0,0,1,0,0,1030,129,173,76,91,23,144,86,75,33,15,16,0,113,2,12,5,5,0,3,0,0,2,6,1,1,4,0,8,0,1,1,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging Stadskanaal,0037::SB9,9502 WB,1235,632,2,1,0,0,0,578,57,0,0,0,0,0,635,133,61,76,99,18,59,47,39,14,4,3,0,47,0,14,0,5,0,0,0,2,0,7,0,0,2,1,1,0,0,0,,
Groningen,Stadskanaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA Noordstee,0037::SB10,9501 HN,1414,1058,3,2,0,0,0,967,97,1,0,1,0,0,1064,218,123,127,132,37,104,47,71,14,10,4,0,92,6,19,2,14,0,3,0,2,4,24,1,0,1,0,2,0,1,0,,
