contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis SB 1 15-03,0785::SB1,5051 LT,0,661,1,3,0,0,4,611,51,1,0,1,0,0,666,170,65,95,103,24,64,65,6,23,4,0,1,16,0,11,0,11,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis SB 2 16-03,0785::SB2,5051 LT,0,649,1,2,0,0,3,581,68,0,0,0,0,0,652,147,78,69,99,29,73,49,1,24,10,0,3,27,1,18,4,6,0,1,0,2,0,4,2,0,0,0,0,0,0,2,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis SB 3 17-03,0785::SB3,5051 LT,0,1633,5,3,0,1,7,1458,177,0,0,1,0,0,1642,422,198,122,279,93,122,76,8,67,17,0,24,100,6,25,17,33,1,2,3,0,4,8,0,2,1,0,0,2,0,1,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum De Leybron SB 1 15-03,0785::SB4,5133 AM,0,157,0,1,0,0,0,154,4,0,0,0,0,0,158,50,14,21,25,5,12,9,0,8,2,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum De Leybron SB 2 16-03,0785::SB5,5133 AM,0,168,0,0,0,0,0,158,10,0,0,0,0,0,168,51,20,19,32,1,14,8,1,6,1,0,0,4,1,1,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum De Leybron SB 3 17-03,0785::SB6,5133 AM,0,902,4,0,0,1,0,905,2,0,0,1,0,0,907,287,118,96,138,29,48,27,5,36,8,0,0,38,1,25,5,11,0,1,2,3,5,12,2,0,0,0,0,2,0,3,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Haspel SB 1 15-03,0785::SB7,5051 KR,0,185,0,0,0,0,0,174,11,0,0,0,0,0,185,41,17,26,39,6,28,11,2,5,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Haspel SB 2 15-03,0785::SB8,5051 KR,0,119,0,0,0,0,0,111,8,0,0,0,0,0,119,29,11,14,18,5,11,15,5,5,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Haspel SB 3 16-03,0785::SB9,5051 KR,0,132,0,0,0,0,0,118,14,0,0,0,0,0,132,37,16,7,18,8,21,7,1,1,1,0,2,4,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Tilburg,Goirle,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Haspel SB 4 16-03,0785::SB10,5051 KR,0,108,0,0,0,0,0,101,7,0,0,0,0,0,108,24,11,9,27,4,15,5,0,3,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
