contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Wij zijn Nederland,Modern Nederland
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS Nicolaas Beets,0603::SB1,2281 TH,1543,1089,1,2,0,0,3,1016,73,0,0,0,0,0,1092,188,90,36,273,130,43,52,28,62,13,4,6,43,9,26,7,54,0,2,0,5,10,4,1,0,0,0,3,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Amicitia,0603::SB2,2281 GA,1769,1182,0,1,0,1,5,1095,82,0,1,0,0,0,1182,287,47,66,361,98,21,45,31,54,2,3,3,35,3,23,6,80,1,0,9,0,3,0,0,1,0,0,3,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tent voor Dienstencentrum Het Oude Raadhuis,0603::SB3,2282 AL,1324,1071,1,2,0,1,3,993,79,0,0,1,0,0,1075,219,169,42,173,76,59,42,23,64,9,7,12,58,18,40,13,34,0,3,1,1,5,0,0,1,0,0,1,1,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Oud Rijswijk,0603::SB4,2282 RZ,2038,1473,2,3,0,6,1,1358,125,0,0,6,0,0,1484,317,166,62,364,107,57,50,28,74,16,1,15,69,9,33,10,70,2,8,0,2,4,3,2,0,3,0,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum De Schilp,0603::SB5,2285 SP,1613,1202,1,2,0,4,7,1070,132,0,0,4,0,0,1209,349,163,67,189,43,39,52,23,49,9,5,23,73,8,49,12,26,4,1,0,3,3,2,0,0,1,0,9,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Woonzorgcentrum Vredenburch,0603::SB6,2282 SK,74,12,0,0,0,0,0,11,1,0,0,0,0,0,12,2,2,1,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau speeltuinvereniging Inter Amicos,0603::SB7,2282 KV,1672,1100,5,5,0,0,0,1002,108,0,0,0,0,0,1110,229,163,33,230,61,45,50,27,52,9,2,31,79,4,23,8,34,3,1,6,2,5,0,0,0,0,2,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Amateurspalet,0603::SB8,2282 HM,1613,882,2,2,0,0,3,821,62,0,0,0,0,0,886,150,146,49,143,48,54,47,24,53,10,2,12,45,5,29,17,29,1,5,0,2,3,2,2,2,1,0,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0603::SB9,2284 DP,679,795,3,7,0,0,8,718,79,0,0,0,0,0,805,173,106,35,110,33,49,38,9,31,8,7,51,70,19,13,9,18,7,0,0,1,3,1,1,1,0,0,2,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Belvédère Rijswijk,0603::SB10,2283 XM,1951,1046,2,3,0,0,2,981,68,0,0,0,0,0,1051,206,185,39,130,63,60,33,19,56,18,1,62,75,15,33,16,17,1,2,0,2,7,2,1,0,0,1,2,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Nieuwe Kerk,0603::SB12,2284 EH,1883,1044,2,6,0,0,7,968,77,0,0,0,0,0,1052,242,188,57,121,48,69,44,34,49,10,0,23,78,5,26,9,19,4,4,1,2,2,2,1,1,0,0,4,1,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau sportcentrum De Schilp,0603::SB15,2285 SP,1851,926,1,6,0,0,1,838,94,0,0,0,0,0,933,243,128,48,172,40,22,38,11,47,11,0,15,61,4,26,18,23,0,2,1,1,3,9,1,0,0,0,1,1,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Centrum voor Jeugd en gezin,0603::SB16,2285 XM,897,506,3,0,0,0,2,468,39,0,0,0,0,0,509,95,76,43,67,31,33,25,12,27,6,2,16,28,5,9,6,11,4,1,1,1,3,1,0,0,2,0,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Steenvoorde (gymzaal),0603::SB17,2285 VD,1996,615,2,3,0,0,1,562,57,0,0,0,0,0,620,95,123,31,72,23,48,19,15,30,7,4,44,42,6,12,19,8,4,1,1,1,2,3,0,1,0,1,2,1,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Wethouder Brederode,0603::SB18,2286 MV,1284,738,0,4,0,0,3,678,64,3,0,3,0,0,745,163,135,52,95,38,51,31,16,18,4,1,33,40,2,26,14,11,2,0,1,0,4,0,0,0,0,1,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Petrusschool,0603::SB19,2286 RL,1448,694,1,5,0,0,2,605,93,0,0,0,0,0,700,142,101,40,93,35,46,32,9,23,4,6,55,41,5,21,16,3,9,2,0,1,3,3,1,1,0,1,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Kristal (vh Shalomschool),0603::SB20,2286 GE,1489,647,3,5,0,0,0,582,73,0,0,0,0,0,655,101,120,25,77,29,37,34,4,20,7,3,86,23,7,29,16,5,11,6,0,1,1,0,2,0,0,1,1,0,1
