contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Wij zijn Nederland,Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0642::SB1,,1665,1127,1,0,0,0,9,976,143,0,0,0,0,0,1128,237,139,77,128,48,68,38,73,27,11,85,40,85,5,36,2,9,4,2,0,2,5,4,0,1,0,1,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Spektakel Zwijndrecht,0642::SB2,,1262,527,1,0,0,0,1,470,57,0,0,0,0,0,528,93,77,29,76,28,28,25,15,25,8,20,10,44,6,17,3,9,5,1,0,2,2,0,1,0,0,2,1,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw 'P.V. Steeds Sneller',0642::SB3,,984,634,1,0,0,2,0,579,58,0,0,2,0,0,637,160,134,53,56,9,24,19,28,15,14,16,1,36,2,42,5,4,0,1,0,5,0,5,1,0,0,2,2,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkgebouw de Hoeksteen,0642::SB4,,1214,912,2,0,0,0,0,841,73,0,0,0,0,0,914,193,95,95,120,39,41,46,76,28,11,72,7,41,4,22,3,6,1,2,0,1,2,5,1,0,0,1,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw 't Klankbord,0642::SB5,,1811,1189,2,0,0,0,0,1045,146,0,0,0,0,0,1191,362,148,93,188,30,55,35,41,30,11,12,10,75,4,45,7,20,5,2,0,0,9,3,1,2,1,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Welhorst,0642::SB6,,1794,852,0,1,0,1,2,753,97,0,1,0,0,0,852,209,68,71,105,20,23,22,89,16,8,118,4,36,3,32,1,15,0,1,0,1,4,3,1,1,0,1,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Capital Sports 'Rob Sterkenzaal',0642::SB7,,1745,893,0,4,0,0,5,793,99,0,0,0,0,0,897,175,126,90,77,17,55,53,61,23,16,59,21,73,1,19,4,15,1,1,0,1,1,0,1,2,1,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Develhal,0642::SB8,,1358,1120,5,2,0,0,2,1007,118,0,0,0,0,0,1127,273,176,66,108,34,89,42,59,40,9,29,29,84,0,38,8,14,5,4,0,4,2,1,1,2,2,0,0,1,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau NS Station Zwijndrecht,0642::SB9,,1800,1137,2,3,0,1,3,1018,122,0,0,1,0,0,1143,188,146,55,118,45,87,44,59,39,16,56,45,105,17,47,9,16,16,5,0,2,7,7,0,2,0,4,2,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Xiejezo,0642::SB10,,807,564,1,6,0,0,0,495,76,0,0,0,0,0,571,69,70,27,49,16,30,14,35,10,4,29,114,42,4,11,5,2,21,2,0,0,2,3,0,1,1,2,1,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Nederburgh / Lunenburg,0642::SB11,,868,626,1,0,0,0,0,555,72,0,0,0,0,0,627,125,96,35,80,26,41,35,40,19,7,16,19,41,0,23,2,10,5,1,0,1,3,0,0,0,0,0,1,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw Hart van Meerdervoort,0642::SB12,,1670,888,6,6,0,0,1,794,105,0,0,0,0,0,900,115,141,37,73,46,73,36,51,18,14,28,88,100,10,20,3,8,15,5,0,0,1,0,2,2,0,1,0,1,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Heerjansdam,0642::SB13,,1756,961,2,1,0,0,0,889,75,0,0,0,0,0,964,295,126,86,126,30,38,30,34,35,10,13,0,48,1,47,2,19,1,2,2,4,4,5,1,0,0,2,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Den Dam Heerjansdam,0642::SB14,,1306,803,1,1,0,5,0,729,81,0,0,5,0,0,810,207,131,53,111,29,34,36,30,25,6,21,1,48,2,42,5,12,0,2,0,0,2,0,0,0,1,0,3,0,2,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Kubiek,0642::SB15,,1636,726,2,0,0,2,1,664,65,0,0,2,0,0,730,150,126,28,88,25,57,27,42,36,7,20,16,52,0,21,7,3,5,3,0,0,4,6,0,0,1,1,1,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkgebouw Develhof,0642::SB16,,1656,831,2,1,0,0,1,740,93,0,0,0,0,0,834,195,117,63,84,25,46,32,74,19,10,17,7,67,6,38,8,9,0,3,1,2,2,1,0,0,2,0,3,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal 'Ons Blije Honck',0642::SB17,,1543,540,1,1,0,0,0,487,55,0,0,0,0,0,542,110,71,29,76,23,30,27,41,16,4,13,7,42,2,28,2,6,2,2,0,1,3,3,1,0,0,0,1,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Lunenburg,0642::SB18,,867,465,1,1,0,0,0,424,43,0,0,0,0,0,467,131,64,43,65,12,16,17,29,11,5,7,3,23,3,22,4,5,0,1,0,0,1,1,1,1,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis 2,0642::SB19,,1664,873,2,4,0,3,1,797,84,0,0,3,0,0,882,199,125,63,117,29,38,26,45,23,6,40,23,79,9,22,8,8,2,3,1,1,1,1,0,3,0,1,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Spektakel Zwijndrecht 2,0642::SB20,,1262,453,0,3,0,1,2,415,40,0,0,1,0,0,457,94,79,17,58,16,31,23,20,20,6,12,8,30,6,18,2,1,2,1,0,0,5,1,1,0,0,0,2,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Xiejezo 2,0642::SB21,,806,555,2,3,0,0,3,495,62,0,0,0,0,0,560,60,67,27,62,27,42,18,23,11,8,20,112,36,2,11,5,5,12,2,0,1,0,3,0,0,0,1,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw Hart van Meerdervoort 2,0642::SB22,,1669,574,3,0,0,0,2,506,68,0,1,0,1,0,576,75,79,56,52,23,54,18,37,17,5,14,52,52,4,9,1,3,11,3,0,1,3,1,1,0,0,0,1,1,1,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Kubiek 2,0642::SB23,,1636,798,4,3,0,0,0,738,68,0,0,1,0,0,806,174,120,45,85,25,65,43,38,33,11,18,16,66,3,21,8,9,7,2,0,1,0,2,0,1,1,4,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw 't Klankbord 2,0642::SB24,,1810,1266,3,1,0,2,1,1123,148,0,0,2,0,0,1272,374,172,80,166,31,68,43,56,28,14,25,12,94,5,55,9,17,2,2,0,0,3,4,0,3,1,0,2,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Locatie ""Nebo""",0642::SB25,,0,17,0,1,0,0,0,17,1,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Locatie ""Swinhove/Ambachtstaete""",0642::SB26,,0,40,0,1,0,0,0,37,4,0,0,0,0,0,41,7,4,3,4,0,5,3,5,2,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau A,0642::SB27,,0,2017,0,1,0,1,,,,,0,1,,,2019,443,188,398,131,24,137,212,162,52,67,123,8,7,0,49,3,6,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis maandag,0642::SB28,,0,427,0,2,0,0,0,386,43,0,0,0,0,0,429,87,57,62,25,5,40,31,37,12,6,35,1,2,1,14,2,4,4,0,0,1,0,0,0,1,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Spektakel Zwijndrecht maandag,0642::SB29,,0,353,1,0,0,0,2,325,27,0,0,0,0,0,354,109,40,42,25,3,34,24,24,11,4,10,0,9,0,10,0,4,0,0,0,1,0,0,0,2,1,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Develhal maandag,0642::SB30,,0,506,1,0,0,0,2,460,45,0,0,0,0,0,507,156,51,47,65,14,25,40,38,12,5,14,1,14,1,15,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Den Dam Heerjansdam maandag,0642::SB31,,0,252,0,0,0,0,1,225,26,0,0,0,0,0,252,73,19,35,26,7,23,28,14,6,1,7,0,3,0,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis dinsdag,0642::SB32,,0,510,0,1,0,0,3,451,57,0,0,0,0,0,511,116,59,46,51,11,40,30,24,14,10,40,18,16,2,15,0,8,3,2,0,1,0,1,0,2,0,0,0,1,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Spektakel Zwijndrecht dinsdag,0642::SB33,,0,315,0,0,0,0,0,282,33,0,0,0,0,0,315,89,39,28,30,4,36,21,25,7,7,7,2,5,0,6,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Develhal dinsdag,0642::SB34,,0,502,0,0,0,0,0,443,59,0,0,0,0,0,502,121,64,50,55,5,45,30,29,10,9,21,6,30,0,14,3,6,3,0,0,0,1,0,0,0,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Den Dam Heerjansdam dinsdag,0642::SB35,,0,276,0,0,0,2,0,250,28,0,0,2,0,0,278,85,41,30,27,2,13,12,10,11,6,5,0,13,1,10,2,5,0,1,0,0,0,2,0,0,0,0,0,0,0,,
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau B,0642::SB36,,0,974,0,2,0,0,,,,,0,0,,,976,213,96,233,52,12,63,91,73,22,31,50,1,3,1,19,3,4,0,2,0,0,3,0,0,1,0,1,0,0,0,0,0
Dordrecht,Zwijndrecht,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau C,0642::SB37,,0,430,0,1,0,0,,,,,0,0,,,431,83,35,73,47,7,14,42,53,8,4,42,3,4,2,8,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
