contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Lossers hoes,0168::SB1,7581 AG,1689,1491,2,2,0,2,8,1331,158,0,0,2,0,0,1497,315,279,224,186,47,80,64,11,33,13,1,7,104,3,47,5,20,0,0,1,0,7,36,1,1,1,1,2,0,2,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zwembad Brilmansdennen,0168::SB6,7581 BB,1556,934,1,1,0,0,0,868,67,0,1,0,0,0,935,226,157,140,131,32,63,35,8,30,6,1,2,42,1,21,3,10,1,3,1,2,1,15,0,1,0,0,2,0,0,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Woonzorgcentrum De Driehoek,0168::SB7,7586 BL,1398,535,0,0,0,0,0,469,67,0,0,1,0,0,536,108,124,99,32,8,41,17,4,11,6,0,0,43,0,4,4,4,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kulturhus,0168::SB8,7586 BG,1779,1093,3,2,0,0,7,981,111,0,0,1,0,0,1099,208,272,124,81,20,88,55,5,23,16,5,2,123,0,15,4,13,0,3,0,0,4,26,2,0,0,1,1,1,1,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Glaan,0168::SB9,7585 PE,413,328,0,0,0,0,1,286,41,0,0,0,0,0,328,69,56,63,31,2,8,3,1,9,3,0,0,43,0,6,4,1,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Erve Boerrigter,0168::SB11,7587 AM,1556,1606,0,2,0,0,18,1446,144,0,0,0,0,0,1608,468,196,404,140,24,53,29,11,36,8,1,0,73,1,44,4,22,0,0,0,1,1,83,1,0,1,0,5,0,0,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Sterrebos,0168::SB12,7588 RG,816,638,0,0,0,0,10,565,63,0,0,0,0,0,638,137,48,233,52,14,9,10,5,14,1,1,0,25,0,22,0,14,0,1,0,0,1,50,0,0,0,0,1,0,0,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De LosserHof,0168::SB13,7581 KA,665,208,0,0,0,0,0,187,21,0,0,0,0,0,208,42,44,49,20,3,3,4,2,7,1,1,0,7,0,3,0,0,0,1,0,2,0,16,1,0,0,0,0,0,2,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Fakkel,0168::SB16,7581 CE,1961,1569,4,6,0,0,12,1440,120,0,7,0,0,0,1572,370,277,222,197,36,91,52,16,29,20,1,14,114,2,51,5,24,0,1,1,4,3,31,1,0,0,0,6,1,0,0,0,,
Zwolle,Losser,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SV De Lutte,0168::SB18,7587 AP,1317,229,0,0,0,0,2,207,20,0,0,0,0,0,229,73,41,65,16,1,4,2,0,1,0,0,0,8,0,4,1,2,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,,
