contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkgebouw Open Haven Oostburg,1714::SB1,4501 CH,1648,768,4,2,0,1,15,684,76,0,0,1,0,0,775,151,123,81,80,23,52,35,25,20,11,9,4,72,4,24,8,7,0,2,1,3,2,26,1,1,0,0,3,0,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Parochiecentrum H. Eligiuskerk Oostburg,1714::SB2,4501 CS,1862,850,0,3,0,0,6,749,98,0,0,0,0,0,853,197,124,103,107,42,57,38,10,42,13,4,2,59,2,16,1,8,0,3,0,0,2,13,0,2,2,1,1,1,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Achteringang Dorpshuis Zuidzande,1714::SB3,4501 AP,387,271,1,0,0,0,2,249,21,0,0,0,0,0,272,77,22,39,24,7,15,17,4,14,3,1,0,24,0,7,0,6,0,2,1,0,0,7,0,0,1,0,0,0,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw Cadzand,1714::SB4,4506 AG,533,408,0,1,0,0,38,325,46,0,0,0,0,0,409,152,48,28,41,11,17,26,3,19,3,1,0,28,0,11,1,8,0,0,0,1,3,6,0,0,0,0,1,0,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Nieuwvliet,1714::SB5,4504 AK,305,251,1,0,0,0,29,193,30,0,0,0,0,0,252,68,28,30,24,12,5,19,8,13,2,1,0,12,0,9,3,6,0,0,0,0,0,10,1,0,0,0,0,0,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Multifunctioneel centrum 't Torentje Groede,1714::SB6,4503 AT,745,558,3,1,0,0,13,494,55,0,0,0,0,0,562,139,77,42,59,28,37,33,9,21,3,4,0,61,3,10,0,10,0,3,0,2,4,12,1,0,0,0,0,0,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Multifunctioneel centrum De Korre Breskens,1714::SB7,4511 JB,1792,1091,1,2,0,0,10,951,133,0,0,0,0,0,1094,296,230,88,92,30,63,52,10,19,19,2,0,103,2,38,9,8,0,2,0,2,8,16,1,0,1,0,0,0,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine V.V. Breskens,1714::SB8,4511 HW,1943,732,0,1,0,0,4,626,102,0,1,0,1,0,732,203,148,55,68,27,43,35,7,12,14,0,0,56,2,35,5,8,0,2,0,1,0,8,0,1,1,0,1,0,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Hoofdplaat,1714::SB9,4513 AR,581,326,0,0,0,1,5,290,32,0,0,1,0,0,327,64,62,31,33,7,41,20,0,9,5,4,0,26,1,8,1,5,0,0,0,1,1,6,0,0,0,1,0,0,,
Middelburg,Sluis,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau O.L. Vrouw ten Hemelopneming Kerk IJzendijke,1714::SB10,4515 CH,1850,1237,2,1,0,0,11,1069,160,0,0,0,0,0,1240,362,135,118,124,51,69,68,14,44,17,20,1,73,2,54,1,31,0,0,1,2,7,39,2,1,1,0,0,0,,
