contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis Soest,0342::SB1,3762 AV,36070,1384,7,8,0,0,2,1232,165,0,0,0,0,0,1399,338,111,86,239,82,36,44,30,53,7,11,144,85,8,40,3,37,2,2,2,6,9,2,1,0,1,0,5,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Paulus Potter,0342::SB2,3761 AT,0,1184,1,1,0,0,7,1179,0,0,0,0,0,0,1186,360,64,78,252,66,28,36,27,50,4,17,66,37,5,32,2,37,8,3,1,1,2,3,1,0,1,0,1,0,2,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Residence Souveraine,0342::SB3,3761 XD,0,978,2,2,0,0,3,884,95,0,0,0,0,0,982,322,44,105,229,34,25,38,35,43,4,6,2,28,3,19,0,31,1,0,0,3,2,3,0,0,0,1,0,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tennis LTC Soestdijk,0342::SB4,3762 TA,0,546,0,0,0,0,1,487,58,0,0,0,0,0,546,153,41,48,127,20,13,21,18,36,5,5,0,17,1,19,2,16,0,1,0,1,1,0,0,0,0,0,1,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Emmakerk stemlocatie A,0342::SB5,3762 DS,0,923,1,2,0,0,1,838,87,0,0,0,0,0,926,240,87,58,174,51,24,34,49,42,5,18,5,49,6,24,5,28,0,2,0,2,4,5,1,0,0,3,4,0,0,3,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau OBS Prins Willem-Alexander,0342::SB6,3762 CG,0,953,1,0,0,0,3,878,73,0,0,0,0,0,954,227,87,70,198,56,34,28,38,51,1,18,7,51,3,34,2,27,0,2,2,4,3,5,3,1,0,0,1,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Zorgcentrum Molenschot,0342::SB7,3762 BP,0,22,0,0,0,0,0,22,0,0,0,0,0,0,22,8,0,1,1,4,0,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Emmakerk stemlocatie B,0342::SB8,3762 DS,0,572,2,0,0,0,0,518,56,0,0,0,0,0,574,180,44,44,113,25,19,13,22,29,4,10,8,17,3,21,1,13,0,0,0,0,3,3,0,0,0,0,0,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Rank,0342::SB9,3768 ED,0,1399,3,2,0,0,12,1268,123,0,1,0,0,0,1403,426,71,137,294,60,24,46,50,82,6,11,13,54,9,36,2,50,1,3,0,3,5,11,2,0,0,0,2,0,0,1,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau RK basisschool Ludgerus,0342::SB10,3768 GM,0,1129,2,4,0,0,9,1002,124,0,0,0,0,0,1135,376,48,93,275,58,8,15,33,52,2,5,5,45,0,37,2,55,0,2,5,0,2,6,3,0,0,0,2,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Heilige Familiekerk,0342::SB11,3768 CP,0,1235,2,0,0,2,4,1127,108,0,0,2,0,0,1239,387,67,111,272,86,39,38,45,56,1,12,4,27,5,32,4,37,0,2,0,3,3,1,2,0,0,0,0,0,1,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Smitsweg stemlocatie A,0342::SB12,3765 CT,0,682,2,1,0,0,0,600,84,0,1,0,1,0,684,90,73,23,88,48,21,44,47,42,0,7,115,29,8,9,1,12,8,2,0,3,4,0,6,0,1,0,1,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Smitsweg stemlocatie B,0342::SB13,3765 CT,0,454,4,6,0,0,1,419,44,0,0,0,0,0,464,66,54,19,60,23,12,45,12,13,4,5,88,28,3,4,2,11,3,0,0,0,1,1,0,0,0,0,0,0,0,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Beukendal,0342::SB14,3762 AG,0,567,0,0,0,0,2,497,68,0,0,0,0,0,567,165,57,46,81,25,20,16,12,24,4,5,20,37,3,24,3,15,1,1,0,1,1,0,0,2,0,0,2,0,2,0,,
Utrecht,Soest,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Open Hof,0342::SB15,3765 BA,0,1217,2,0,0,2,2,1118,101,0,0,2,0,0,1221,296,152,97,229,35,43,39,43,45,11,12,34,69,4,47,4,32,0,4,2,2,5,3,3,1,1,0,3,0,1,0,,
