contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0355::SB1,3701 HS,1000,1099,4,2,0,0,12,1007,86,0,0,0,0,0,1105,283,46,81,279,88,25,44,43,44,3,6,23,46,7,17,2,42,4,3,0,1,6,1,0,0,1,0,2,0,2,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maria Oord,0355::SB2,3702 VG,1920,740,1,2,0,1,2,678,64,0,0,1,0,0,744,132,68,41,132,64,40,25,38,35,6,17,22,44,6,13,3,28,8,3,1,2,6,1,2,0,0,0,3,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek,0355::SB3,3701 JZ,1727,1235,2,2,0,0,1,1138,100,0,0,0,0,0,1239,240,114,62,256,113,77,61,39,69,9,12,11,56,13,29,6,41,3,5,0,1,7,0,1,1,0,2,4,0,2,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Boskapel,0355::SB4,3701 AK,1437,736,0,0,0,0,4,732,0,0,0,0,0,0,736,215,17,48,220,56,11,26,17,34,1,8,3,22,3,13,1,35,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zeister vrije school locatie van Tuyllaan,0355::SB5,3707 CV,1241,533,0,1,0,0,2,482,50,0,0,0,0,0,534,86,17,21,146,68,13,33,18,59,4,13,1,15,0,11,1,19,0,0,0,0,5,3,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dijnselburg A,0355::SB6,3705 GK,1331,615,1,1,0,0,1,541,75,0,0,0,0,0,617,105,71,25,93,45,19,34,18,30,9,8,69,39,4,7,4,22,3,2,0,1,2,3,0,0,0,0,0,0,2,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dijnselburg B,0355::SB7,3705 GK,1819,611,4,1,0,0,1,544,71,0,0,0,0,0,616,132,61,28,103,40,29,19,21,27,2,16,38,38,11,9,3,16,4,2,0,3,4,2,1,0,0,0,2,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Binnenbos,0355::SB8,3708 DL,1212,1361,4,2,0,0,1,1233,133,0,0,0,0,0,1367,283,88,73,372,92,40,43,52,72,5,14,43,55,16,30,4,50,8,7,0,1,5,3,1,1,0,1,0,0,1,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Oude voedselbank,0355::SB9,3703 AJ,1292,376,0,0,0,0,1,338,37,0,0,0,0,0,376,102,21,21,102,31,8,12,19,16,2,1,4,9,0,2,3,20,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau vv Jonathan,0355::SB10,3703 DX,1791,387,5,0,0,0,1,347,44,0,0,0,0,0,392,94,10,22,118,34,9,13,9,10,2,8,7,14,1,5,2,20,0,1,0,1,2,4,0,1,0,0,0,0,0,0
