contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Muzenval 1,0770::SB1,5521 AW,1393,882,2,1,0,0,6,786,93,0,0,0,0,0,885,277,65,94,158,40,47,33,7,23,12,1,0,37,0,38,1,25,0,1,2,3,5,6,1,3,0,0,0,2,0,1,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Wereldwijs,0770::SB2,5521 VA,1305,706,4,2,0,0,2,632,78,0,0,0,0,0,712,207,94,49,82,38,42,31,6,25,8,0,0,56,1,19,10,9,2,4,2,1,6,3,2,0,1,1,3,1,0,3,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis de Smis,0770::SB3,5525 AN,1635,957,0,0,0,0,0,871,87,1,0,1,0,0,958,298,108,86,173,41,39,25,4,38,15,0,6,35,2,22,5,23,0,0,1,0,4,24,1,1,0,0,2,2,1,1,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Höllekes,0770::SB4,5524 AX,1304,912,2,0,0,0,0,817,97,0,0,0,0,0,914,275,100,93,152,33,52,34,5,38,6,1,0,34,0,21,4,34,0,2,1,5,3,11,2,2,2,0,1,0,0,1,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubhuis Eresloch,0770::SB5,5521 TP,1211,869,4,1,0,0,2,791,81,0,0,0,0,0,874,305,67,88,176,38,35,23,7,19,7,3,0,20,1,18,1,39,0,4,0,1,2,7,3,2,0,0,3,0,0,0,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Muzenval 2,0770::SB6,5521 AW,1186,899,2,0,0,0,779,23,99,0,0,0,0,0,901,267,106,106,150,18,60,33,3,21,11,2,1,43,1,21,5,26,0,2,2,1,6,8,4,1,0,0,1,0,0,0,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Muzenval 3,0770::SB7,5521 AW,1484,751,0,2,0,0,5,684,64,0,0,0,0,0,753,224,72,95,113,29,48,25,10,15,10,0,2,28,0,21,3,31,0,3,0,3,0,8,2,2,1,0,4,1,0,1,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis D'n Boogerd,0770::SB8,5512 AJ,1741,1005,0,0,0,1,0,898,108,0,0,1,0,0,1006,311,108,167,142,31,44,13,8,23,6,0,0,45,0,21,3,29,0,1,0,3,0,43,0,0,1,0,3,0,1,2,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Rosdoek,0770::SB9,5513 AR,1616,1186,1,0,0,0,4,1060,123,0,0,0,0,0,1187,415,88,231,128,32,76,23,5,23,13,2,0,41,0,24,8,28,0,1,2,5,2,34,1,0,0,0,4,0,0,0,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Leenhoef,0770::SB10,5511 AG,1149,846,1,0,0,0,1,768,78,0,0,0,0,0,847,254,70,87,110,33,46,17,7,22,9,0,0,30,2,16,3,112,0,1,1,3,2,18,0,0,0,0,1,2,0,0,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum 't Stökske,0770::SB11,5521 WG,1570,684,1,0,0,0,0,623,63,1,0,1,0,0,686,217,52,74,122,27,46,30,6,16,7,0,1,25,0,20,1,14,2,1,0,1,1,16,2,0,0,0,1,0,0,2,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Receptie,0770::SB12,5521 AW,0,1507,2,0,0,0,,,,,0,0,,,1509,418,84,503,127,30,104,112,24,36,28,2,1,1,0,4,1,18,0,0,0,0,0,2,1,7,0,0,0,2,0,2,0,0
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Muzenval 15 maart 2021,0770::SB13,5521 AW,0,608,4,1,0,0,1,570,42,0,0,0,0,0,613,175,41,109,85,21,50,47,6,24,10,1,0,7,0,9,1,15,0,0,0,0,1,3,1,1,0,0,1,0,0,0,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis D'n Boogerd 15 maart 2021,0770::SB14,5512 AJ,0,182,2,1,0,0,1,172,12,0,0,0,0,0,185,58,17,32,34,5,8,4,2,5,3,0,0,3,0,3,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Muzenval 16 maart 2021,0770::SB15,5521 AW,0,474,0,2,0,0,3,433,40,0,0,0,0,0,476,128,50,48,77,18,53,28,5,16,9,0,0,15,1,8,1,12,0,1,0,0,0,3,0,0,0,0,1,0,0,0,,
's-Hertogenbosch,Eersel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis D'n Boogerd 16 maart 2021,0770::SB16,5512 AJ,0,192,0,0,0,0,0,175,17,0,0,0,0,0,192,57,17,42,24,3,12,12,3,4,1,0,0,5,0,2,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,
