contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Bocholtz maandag 15 maart,0965::SB1,6351 HJ,0,330,0,0,0,0,0,277,53,0,0,0,0,0,330,78,73,47,19,2,33,42,4,6,0,2,0,13,0,2,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurcentrum de Klimboom maandag 15 maart,0965::SB2,6369 VP,0,265,2,0,0,0,2,235,30,0,0,0,0,0,267,50,43,51,25,6,20,40,1,8,6,0,0,7,0,1,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Bocholtz dinsdag 16 maart,0965::SB3,6351 HJ,0,306,0,1,0,0,0,272,35,0,0,0,0,0,307,60,60,34,15,14,40,31,2,9,14,0,0,10,0,3,0,5,0,0,0,1,0,5,0,3,0,0,0,0,0,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurcentrum de Klimboom dinsdag 16 maart,0965::SB4,6369 VP,0,259,0,1,0,0,1,239,20,0,0,0,0,0,260,50,39,52,35,4,24,23,7,7,4,1,0,6,0,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Markt,0965::SB5,6369 AH,2110,1525,1,1,0,0,11,1226,291,0,0,0,0,0,1528,293,312,165,168,57,105,110,7,66,22,0,3,123,1,42,1,11,0,5,0,1,6,18,1,2,0,0,4,0,2,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurcentrum de Klimboom Noord,0965::SB6,6369 VP,1216,542,3,0,0,0,3,491,51,0,0,0,0,0,545,107,84,62,68,18,42,33,2,30,5,3,0,51,1,14,1,9,0,0,0,0,1,7,2,1,0,0,1,0,0,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurcentrum de Klimboom Zuid,0965::SB7,6369 VP,1350,452,1,1,0,0,0,393,61,0,0,0,0,0,454,81,83,58,57,17,29,29,4,19,4,0,0,39,1,6,2,5,0,1,1,1,0,14,0,0,0,0,0,1,0,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine Sportclub 25 Bocholtz,0965::SB8,6351 JN,631,311,0,0,0,0,0,285,26,0,0,0,0,0,311,74,65,47,17,7,23,23,1,6,5,0,0,18,2,7,1,1,0,1,0,2,1,8,1,0,0,0,1,0,0,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Bocholtz noord,0965::SB9,6351 HJ,1500,876,1,4,0,0,3,799,79,0,0,0,0,0,881,158,201,93,75,21,79,53,6,35,9,0,0,83,0,24,6,11,0,0,0,2,3,9,3,1,0,2,1,0,1,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Bocholtz zuid,0965::SB10,6351 HJ,1500,857,1,2,0,0,1,764,95,0,0,0,0,0,860,156,165,105,93,28,61,60,4,40,15,2,2,87,1,8,4,10,0,2,0,1,3,4,1,1,0,0,4,0,0,0,,
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau tot en met dinsdag,0965::SB11,6369 AH,0,775,1,1,0,0,,,,,0,0,,,770,160,92,221,46,24,64,128,5,15,8,0,0,5,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Maastricht,Simpelveld,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau woensdag,0965::SB12,6369 AH,0,44,0,1,0,0,,,,,0,0,,,45,11,6,5,6,1,3,5,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
