contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CCK2 ingang Pastorielaan,1700::SB1,7671 HG,1362,634,0,3,0,0,3,576,58,0,0,0,0,0,637,117,51,156,41,7,25,22,75,8,4,71,3,21,0,4,6,3,0,1,2,1,1,12,0,0,0,1,1,0,0,0,1,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Kooykershuus,1700::SB2,7671 AK,871,647,0,2,0,0,0,572,77,0,0,0,0,0,649,110,88,157,26,4,22,12,33,2,3,85,1,42,0,9,4,6,0,0,0,0,3,38,0,0,0,0,2,0,0,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 1LIFE (voorheen zalencentrum Zandwijk),1700::SB3,7671 GD,2416,1614,0,0,0,3,1,1468,148,0,0,3,0,0,1617,262,192,332,118,28,55,29,146,22,2,150,1,115,3,33,6,21,0,4,3,2,8,75,0,1,0,2,4,0,0,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mobiel Stembureau,1700::SB6,7675 TC,0,54,0,0,0,0,1,49,4,0,0,0,0,0,54,10,6,12,3,0,4,2,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hervormd Centrum Hoofdweg,1700::SB7,7676 AK,2245,1224,6,2,0,4,2,1064,170,0,0,4,0,0,1236,193,413,124,32,7,75,46,54,11,5,28,0,137,1,22,9,3,0,0,0,2,0,52,0,0,0,2,7,0,0,0,1,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau NH Kerk Oude Hoevenweg 40,1700::SB8,7671 PJ,644,404,0,0,0,0,34,343,27,0,0,0,0,0,404,81,60,85,26,5,18,10,26,1,0,14,0,24,0,4,0,4,0,2,0,0,2,42,0,0,0,0,0,0,0,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal De Weemelanden,1700::SB10,7672 GD,1297,943,0,1,0,0,0,849,95,0,0,0,0,0,944,215,93,230,65,14,38,17,71,12,7,71,2,47,0,16,0,14,0,0,0,0,1,28,0,0,0,0,2,0,0,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Baptistenkerk,1700::SB11,7676 AC,1287,854,1,2,0,1,1,743,112,0,1,0,0,0,856,150,175,152,36,6,42,29,37,14,5,57,1,50,1,19,4,5,0,0,0,3,1,64,0,0,1,1,1,0,0,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Vriezenveen,1700::SB12,7671 GS,885,816,0,1,0,0,2,744,71,0,0,0,0,0,817,144,113,140,51,18,47,24,50,21,5,75,2,60,5,27,3,10,0,2,0,1,2,12,0,1,0,0,3,0,0,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal De Stamper,1700::SB14,7671 GT,1573,857,1,1,0,0,0,794,65,0,0,0,0,0,859,215,83,206,68,15,44,23,55,7,7,47,4,41,0,19,2,2,0,2,0,0,0,15,0,0,0,0,0,0,2,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Chr.BS Shalom,1700::SB16,7671 ND,1649,1298,1,0,0,0,3,1183,113,0,0,0,0,0,1299,297,120,324,90,25,58,30,110,12,8,70,0,63,1,37,3,16,0,2,0,0,0,28,1,0,0,1,1,1,0,0,0,,
Zwolle,Twenterand,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hervormd Centrum De Rank,1700::SB17,7683 BN,952,656,4,0,0,0,7,583,70,0,0,0,0,0,660,117,93,199,34,8,16,11,66,2,4,11,0,28,0,17,1,3,0,0,0,0,0,44,0,1,0,0,1,0,0,0,0,,
