contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Schans,0889::SB1,5953 BW,1604,987,3,0,0,1,2,886,103,0,0,1,0,0,991,212,177,86,135,43,82,49,4,28,14,1,3,79,1,24,4,10,7,0,0,1,5,13,0,2,1,5,0,0,1,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Nester,0889::SB2,5953 CP,1497,578,1,1,0,0,2,517,61,0,0,0,0,0,580,133,88,65,90,17,39,31,5,18,13,2,12,32,0,14,1,5,4,1,0,0,2,4,0,0,0,0,0,0,2,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum De Schakel,0889::SB3,5953 NB,1230,1031,4,1,0,0,2,916,118,0,0,0,0,0,1036,182,217,70,114,46,78,62,2,22,14,0,28,110,3,23,3,14,5,1,1,3,2,15,0,1,1,6,3,0,3,2,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Paerssjtal,0889::SB4,5953 HG,1525,1211,2,4,0,0,4,1069,143,0,1,0,1,0,1216,243,277,104,141,36,96,57,5,29,24,2,29,73,2,30,5,13,0,2,2,6,2,18,0,2,1,9,2,0,1,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Troubadour,0889::SB5,5954 BH,985,873,1,0,0,0,6,787,81,0,0,0,0,0,874,263,111,89,138,35,37,37,6,27,14,1,0,34,0,21,6,22,0,2,3,2,2,15,1,3,0,4,0,0,0,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau basisschool De Triolier,0889::SB6,5953 LS,1804,458,1,0,0,0,0,413,46,0,0,0,0,0,459,123,65,51,60,21,33,17,0,11,7,2,5,23,1,15,2,8,0,0,0,1,3,4,0,0,2,3,1,0,0,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau basisschool 't Spick,0889::SB7,5954 BC,1011,286,1,2,0,0,0,255,34,0,0,0,0,0,289,68,46,19,46,11,22,15,3,6,1,0,0,17,1,10,1,6,0,0,0,2,1,9,0,1,0,1,0,0,0,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Grescollege,0889::SB8,5953 HL,1058,351,1,0,0,0,0,313,39,0,0,0,0,0,352,64,75,11,57,11,25,14,1,8,3,0,9,43,0,11,0,3,0,1,0,2,0,9,1,0,0,3,0,0,0,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1,0889::SB9,5953 AL,0,787,0,0,0,4,,,,,4,0,,,783,191,111,200,54,14,55,93,8,13,25,0,0,5,0,4,0,5,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 2,0889::SB10,5953 AL,0,134,0,0,0,1,,,,,1,0,,,133,33,19,27,9,5,16,14,0,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum de Schakel,0889::SB31,5953 NB,0,492,0,1,0,0,0,441,52,0,0,0,0,0,493,99,102,76,56,11,48,39,1,7,13,0,6,14,0,9,2,3,1,0,0,2,0,2,0,0,0,0,1,0,0,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum De Schakel,0889::SB32,5953 NB,0,508,0,1,0,0,1,465,43,0,0,0,0,0,509,105,128,57,43,18,37,46,8,14,11,0,1,18,0,10,0,5,0,0,0,2,1,1,0,0,0,1,2,0,0,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Troubadour,0889::SB51,5954 BH,0,169,0,0,0,10,1,149,9,0,10,0,0,0,159,44,13,37,21,4,6,21,1,13,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Maastricht,Beesel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Troubadour,0889::SB52,5953 BH,0,142,1,0,0,0,0,133,10,0,0,0,0,0,143,40,14,18,18,4,6,18,2,3,2,0,0,4,0,4,2,2,0,0,0,1,0,1,0,2,0,0,1,0,0,0,,
