contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Wij zijn Nederland,Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Trouwzaal  Gemeentehuis,0523::SB1,3371 AS,1206,1049,0,6,0,0,1,911,143,0,0,0,0,0,1055,199,101,77,74,25,50,28,143,21,4,194,11,66,0,31,1,4,4,3,0,1,2,6,1,1,0,1,1,0,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gereformeerde Kerk De Bron,0523::SB2,3371 SJ,1232,412,0,0,0,0,0,357,55,0,0,0,0,0,412,42,13,53,16,6,5,10,128,6,5,76,9,28,0,8,1,2,0,1,0,0,0,1,0,0,0,2,0,0,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau De Ducdalf, Scheldestraat 1",0523::SB3,3371 SV,1281,853,0,0,0,0,2,749,102,0,0,0,0,0,853,177,96,81,38,10,14,32,127,14,7,160,0,59,0,27,1,4,0,1,0,0,1,2,0,0,0,1,1,0,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkgebouw Gereformeerde Gemeente,0523::SB4,3371 BN,1287,1118,0,0,0,0,2,960,156,0,0,0,0,0,1118,141,68,74,51,11,19,18,227,18,3,396,1,34,0,29,1,10,0,4,0,2,1,5,0,0,0,5,0,0,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Appelgaard,0523::SB5,3371 NA,1301,728,0,0,0,0,0,629,99,0,0,0,0,0,728,170,54,84,58,13,8,7,124,6,4,116,0,38,0,22,2,9,0,1,0,2,1,4,2,0,0,1,0,2,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau de Gereformeerde Kerk, Stationsstr",0523::SB6,3371 PN,1298,1299,0,0,0,0,1,1092,206,0,0,0,0,0,1299,211,76,189,43,9,24,33,323,12,2,233,0,74,0,27,1,9,3,1,0,0,1,19,1,1,0,6,1,0,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Wielewaal,0523::SB7,3371 PH,1285,1141,1,3,0,0,2,980,163,0,0,0,0,0,1145,228,127,123,76,18,35,39,161,20,6,192,0,74,2,16,4,5,0,4,1,2,2,3,0,0,0,2,0,1,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stichting Christen-Gemeente,0523::SB8,3371 CX,1225,418,0,0,0,0,1,358,59,0,0,0,0,0,418,64,31,46,13,2,7,5,121,6,1,84,0,26,0,6,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Kerk Hers.Herv.Gem., Nassaustraat",0523::SB9,3372 EE,1219,774,0,1,0,0,0,678,97,0,0,0,0,0,775,99,100,44,37,6,29,31,104,14,7,202,6,50,0,21,3,4,5,0,1,2,4,1,2,0,1,1,0,0,0,,
Dordrecht,Hardinxveld-Giessendam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Korfbalvereniging HKC,0523::SB10,3372 AJ,1187,455,0,0,0,0,0,404,51,0,0,0,0,0,455,120,64,45,38,4,11,21,44,12,6,34,0,23,0,9,3,8,0,0,1,0,0,9,0,1,1,0,0,1,0,,
