contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Buitenpost, Lauwers College 17 maart",0059::SB1,9285 RV,1718,971,1,1,0,2,3,889,83,0,0,2,0,0,975,164,80,131,112,34,49,76,122,25,2,32,0,74,3,20,4,12,0,1,5,0,2,15,0,0,3,4,1,0,0,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Buitenpost, Raadzaal Gemeentehuis 17 maart",0059::SB2,9285 NH,1225,788,3,3,1,0,3,727,65,0,0,1,0,0,795,155,87,116,82,49,42,33,46,34,1,9,1,71,0,12,4,10,0,1,0,2,2,26,2,0,0,1,2,0,0,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Buitenpost, Fonteinkerk 17 maart",0059::SB3,9285 VG,1502,996,0,5,0,0,3,917,81,0,0,0,0,0,1001,114,67,172,95,31,61,52,197,27,4,29,0,87,3,14,1,14,0,2,0,5,0,15,1,1,1,2,1,0,0,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Surhuisterveen, CGKV De Regenboog 17 maart",0059::SB4,9231 EC,1445,575,0,2,0,0,0,523,54,0,0,0,0,0,577,79,92,66,30,20,27,16,82,15,2,14,0,96,1,10,0,1,3,1,0,4,2,10,1,1,0,1,1,0,0,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Surhuisterveen, Zwembad Wettervlecke 17 maart",0059::SB5,9231 BA,1788,774,2,0,0,0,2,699,75,0,0,0,0,0,776,126,116,104,78,14,69,68,34,13,4,4,0,95,2,15,4,6,0,0,0,0,1,20,0,0,1,0,0,0,0,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Surhuisterveen, Verenigingsgebouw De Lantearne 17 maart",0059::SB6,9231 CA,1491,1325,6,1,1,0,0,1191,142,0,0,1,0,0,1333,167,258,213,85,31,72,72,99,31,3,30,2,183,1,29,3,6,0,3,1,4,4,20,1,0,0,2,5,0,0,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Harkema, Sporthal De Fûgelkamp 17 maart",0059::SB7,9281 MA,1586,1074,3,0,0,0,0,917,160,0,0,0,0,0,1077,158,308,115,65,5,59,58,52,12,5,16,3,158,1,29,5,4,0,1,0,2,3,12,0,0,0,0,3,0,0,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Harkema, Sociaal Cultureel Werk Clubhuis 17 maart",0059::SB8,9281 RD,1764,1090,2,0,0,0,0,932,160,0,0,0,0,0,1092,124,296,128,60,21,89,57,54,14,7,16,0,169,1,14,4,7,1,0,0,1,5,18,1,0,1,0,1,0,1,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Kootstertille, Multifunctionele Accommodatie Tillehûs 17 maart",0059::SB9,9288 AM,1883,1165,2,0,0,0,0,1023,144,0,0,0,0,0,1167,153,268,149,51,17,93,47,121,24,9,19,0,136,0,13,6,6,0,2,0,1,1,39,1,1,1,0,7,0,0,0,,
Leeuwarden,Achtkarspelen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Twijzelerheide, Dorpshuis De Jister 17 maart",0059::SB10,9287 LC,1378,911,2,1,1,0,2,769,144,0,0,1,0,0,915,100,256,107,56,15,43,45,63,22,5,24,0,108,0,16,3,6,0,4,1,1,0,31,0,1,0,1,3,0,0,0,,
