contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis wijk aan duin,0375::SB2,,0,1172,3,2,0,0,1,1066,110,0,0,0,0,0,1177,160,188,48,177,81,99,69,14,60,12,3,44,101,9,43,5,20,7,6,1,2,8,5,0,2,2,4,1,0,1,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau TTV Rapidity,0375::SB3,,0,1096,2,4,0,0,1,1000,102,1,0,1,0,0,1103,235,187,75,156,42,85,47,14,59,14,0,11,80,4,31,11,23,1,5,0,0,6,2,0,3,0,4,0,1,0,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Montessorischool,0375::SB4,,0,1259,6,2,0,2,3,1162,104,0,0,2,0,0,1269,365,120,74,240,62,67,52,16,55,17,3,10,77,3,38,4,31,0,2,1,3,3,3,6,1,1,4,0,0,1,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal de Dreef,0375::SB5,,0,1213,0,0,0,0,0,1113,102,2,0,2,0,0,1215,320,110,70,274,67,58,58,12,49,19,2,2,73,6,43,6,26,0,1,1,4,3,2,3,0,0,4,0,0,0,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Beverwijkse Harmonie Kapel,0375::SB8,,0,1054,2,1,0,7,2,970,92,0,0,7,0,0,1064,277,88,63,189,66,43,66,8,56,9,4,6,84,8,29,11,30,2,5,1,0,3,4,0,0,1,0,0,1,0,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tent op het Meerplein,0375::SB9,,0,1068,3,1,0,0,1,974,98,1,0,1,0,0,1073,228,189,39,127,64,79,37,10,51,10,1,18,113,6,32,8,17,0,6,1,2,9,5,4,0,0,7,0,1,2,2,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kennemer Theater 17,0375::SB10,,0,1053,6,1,0,1,0,975,86,0,0,1,0,0,1061,152,173,24,129,69,92,60,13,46,18,0,37,126,10,46,2,22,5,5,1,4,5,4,0,3,0,4,0,2,1,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportkantine BHC Overbos,0375::SB11,,0,1089,0,0,0,0,0,993,96,0,0,0,0,0,1089,233,172,59,158,48,82,52,9,34,20,2,21,95,9,37,8,19,3,3,0,3,7,4,1,1,2,5,0,1,1,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Kuikensweg 17,0375::SB12,,0,851,4,0,0,0,4,770,81,0,0,0,0,0,855,177,141,35,118,53,64,30,11,36,14,3,12,81,0,36,8,13,1,2,1,4,4,2,1,0,0,3,0,1,0,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Imanuelkerk,0375::SB13,,0,659,2,3,0,0,0,608,56,0,0,0,0,0,664,97,129,31,69,33,62,29,8,43,7,0,41,69,5,9,3,9,7,0,0,0,2,0,1,1,1,1,0,1,1,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS het Kompas,0375::SB15,,0,753,3,3,0,0,0,698,61,0,0,0,0,0,759,104,131,33,81,58,75,29,4,29,8,1,75,58,8,19,4,9,6,5,0,2,1,4,0,1,0,4,2,1,0,1,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportkantine R.K.V.V. Dem,0375::SB16,,0,550,0,0,0,0,0,500,50,0,0,0,0,0,550,134,110,26,60,23,32,25,2,22,8,2,32,34,1,22,3,8,0,0,0,0,0,1,0,1,0,4,0,0,0,0,,
Haarlem,Beverwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bedrijfsgebouw,0375::SB17,,0,1243,3,6,0,1,1,1100,152,0,0,1,0,0,1253,190,228,72,118,54,102,48,7,39,10,1,152,113,8,34,6,9,13,6,0,3,9,4,5,2,1,2,0,3,1,3,,
