contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis Naarden,1942::SB101,1411 EA,1290,955,3,3,0,0,6,887,68,0,0,0,0,0,961,284,47,74,289,40,12,18,13,43,1,3,2,29,5,30,0,56,1,1,0,1,3,0,2,1,0,0,0,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau ICBS De Tweemaster,1942::SB102,1411 BN,1455,713,0,2,0,0,4,640,70,0,1,0,1,0,714,210,61,51,124,32,26,30,15,21,5,0,10,47,0,30,6,20,9,1,2,1,1,6,3,0,0,1,0,1,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Keizer Otto,1942::SB103,1411 BJ,1562,1258,3,5,0,1,1,1132,134,0,0,1,0,0,1267,302,115,111,219,69,62,42,23,53,15,8,39,56,4,22,11,50,29,5,0,4,3,9,0,3,0,3,0,0,1,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum De Lunet,1942::SB104,1411 HD,1224,1221,1,0,0,8,5,1079,128,0,10,0,2,0,1212,480,38,98,324,30,11,16,14,45,3,6,1,42,3,27,1,70,3,1,0,2,4,0,1,0,0,0,0,0,1,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum De Lunet,1942::SB105,1411 HD,1287,689,1,0,0,0,1,607,82,0,0,0,0,0,690,317,21,38,166,15,5,7,4,16,2,7,3,17,1,23,0,42,2,0,0,1,1,1,0,0,0,0,0,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wooncentrum Ravelijn,1942::SB106,1412 AX,992,718,2,0,0,1,2,645,74,0,0,1,0,0,721,224,36,47,210,23,14,19,13,37,4,2,0,19,1,12,0,46,1,3,0,1,3,0,1,1,1,0,0,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Smallsteps Ridderzaal,1942::SB107,1412 CN,1392,895,5,1,0,4,4,809,84,0,4,0,0,0,897,279,35,43,282,60,15,34,11,48,4,0,1,27,2,19,0,29,0,3,0,1,0,1,0,0,0,0,0,0,1,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tent Prinses Marijkehof,1942::SB108,1411 CN,1511,633,1,1,0,0,0,584,51,0,0,0,0,0,635,177,52,45,137,26,30,34,13,32,5,1,6,26,1,18,1,15,2,0,0,3,1,4,3,0,0,1,0,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Comeniusschool,1942::SB109,1412 BW,1314,911,0,2,0,0,5,832,76,0,0,0,0,0,913,279,58,59,239,40,26,51,23,38,11,2,6,26,4,8,3,27,2,4,1,1,3,0,0,0,0,0,0,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis GM,1942::SB201,1404 EP,761,1170,7,5,0,0,11,1086,85,0,0,0,0,0,1182,284,74,53,286,78,32,41,13,60,7,3,24,70,9,31,0,65,11,9,3,1,8,6,1,0,0,0,0,0,1,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerk Vrije Evangelische Gemeente (ingang Oud-Bussumerweg),1942::SB202,1401 GC,1165,618,0,0,0,2,2,547,71,0,0,2,0,0,620,198,15,37,186,29,14,21,7,27,2,0,0,26,1,13,0,39,0,2,0,0,0,1,0,0,0,0,0,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Huizerweg,1942::SB203,1401 GH,1393,833,7,4,0,0,3,763,78,0,0,0,0,0,844,231,48,48,227,36,21,28,8,31,5,1,16,38,8,19,0,51,4,1,0,4,3,4,0,0,0,0,1,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Hoeksteen,1942::SB204,1402 EK,1107,1032,0,0,0,0,1,917,114,0,0,0,0,0,1032,299,39,81,333,50,14,26,9,44,5,1,0,25,0,29,1,60,2,2,1,0,0,1,6,0,2,2,0,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Apostolisch Genootschap,1942::SB205,1402 TC,1528,808,3,3,0,1,0,750,65,0,0,1,0,0,815,162,62,38,220,59,26,34,16,50,3,1,10,36,0,17,3,51,0,2,4,0,3,5,2,1,0,0,0,2,1,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Spant!,1942::SB206,1402 SB,1166,1074,2,3,0,4,1,993,89,0,0,4,0,0,1083,249,92,61,242,75,43,50,10,68,11,2,16,67,1,25,6,37,4,3,1,0,5,3,0,1,0,2,0,0,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Kwartellaan,1942::SB207,1403 BE,1530,803,2,3,0,0,1,743,64,0,0,0,0,0,808,186,45,67,197,55,38,37,18,57,2,5,3,30,2,25,5,17,1,5,1,1,1,1,3,0,0,0,0,1,0,0,,
Haarlem,Gooise Meren,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verlosserkerk,1942::SB208,1402 CC,1755,878,1,1,0,0,5,801,74,0,0,0,0,0,880,195,94,58,173,53,36,41,15,52,5,2,10,60,6,23,3,32,0,6,0,1,5,2,0,0,0,2,1,3,0,0,,
