contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP)
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0225::SB1,6651 DA,1387,1247,1,3,0,0,3,1096,152,0,0,0,0,0,1251,380,170,89,210,47,95,53,9,29,20,2,28,29,1,33,9,22,4,3,0,3,2,2,1,1,2,0,1,1,1
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mamre,0225::SB2,6651 AM,1457,446,0,1,0,0,7,408,32,0,0,0,0,0,447,150,36,30,77,16,45,21,8,10,7,1,0,15,2,13,0,11,0,0,0,0,1,2,0,0,1,0,0,0,0
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bondsgebouw,0225::SB3,6651 AL,1600,1342,2,1,0,0,3,1211,133,0,0,2,0,0,1347,424,179,116,226,46,91,57,6,35,14,3,1,57,0,35,2,21,0,3,1,1,0,14,1,1,0,2,2,3,1
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Wijkcentrum ""de Doorkijk""",0225::SB4,6651 HZ,1411,717,2,7,0,0,0,645,83,0,0,2,0,0,728,174,95,46,114,32,64,34,2,19,10,3,37,45,0,13,3,12,0,3,0,2,0,3,1,0,0,1,4,0,0
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kulturhus De Meent,0225::SB5,6654 BX,1367,1027,0,3,0,0,3,901,126,0,0,0,0,0,1030,313,119,116,145,26,85,51,7,23,10,1,1,53,2,14,0,14,1,0,0,3,0,39,1,0,2,0,0,0,1
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 't Trefpunt,0225::SB6,6653 BJ,1470,967,1,1,0,0,3,879,89,0,0,2,0,2,971,251,197,60,104,30,106,39,2,32,12,1,3,60,3,22,7,8,0,1,0,0,0,19,3,0,1,0,3,1,2
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Lier,0225::SB7,6655 AC,1678,1163,3,1,0,0,1,1034,132,0,0,0,0,0,1167,368,109,128,184,41,102,52,8,18,5,0,2,54,2,29,5,23,0,0,0,3,3,18,1,3,1,0,3,0,1
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Horssen,0225::SB8,6631 AT,1305,996,0,0,0,0,0,899,98,1,0,1,0,0,997,304,85,139,152,33,65,48,3,20,6,1,0,44,0,31,5,18,0,0,0,0,4,33,1,0,0,0,1,0,3
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Wijkcentrum ""De Doorkijk II""",0225::SB9,6651 HZ,1625,817,0,1,0,0,1,708,109,0,0,0,0,0,818,207,125,47,100,32,73,44,4,14,11,0,44,51,3,21,5,10,2,1,1,2,3,5,0,1,1,0,7,1,2
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau D'n Bogerd,0225::SB10,6651 KH,1756,811,0,2,0,0,1,718,95,1,0,1,0,0,814,237,101,67,141,30,54,31,2,23,6,1,6,44,2,28,4,21,0,1,2,1,3,3,0,1,0,0,2,0,0
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis maandag,0225::SB11,6651 DA,0,352,0,0,0,0,2,306,43,0,1,0,0,0,351,97,51,44,45,8,57,21,4,4,0,0,3,3,0,10,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau D'n Bogerd maandag,0225::SB12,6651 KH,0,160,1,0,0,0,0,152,9,0,0,0,0,0,161,42,16,20,24,5,13,11,3,8,4,0,3,6,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis dinsdag,0225::SB13,6651 DA,0,419,0,0,0,0,2,361,56,0,0,0,0,0,419,119,68,51,52,13,47,18,3,6,3,0,10,13,0,6,0,5,0,1,0,1,0,1,0,0,0,1,0,0,1
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau D'n Bogerd dinsdag,0225::SB14,6651 KH,0,186,0,0,0,0,0,172,14,0,0,0,0,0,186,65,24,25,16,3,15,11,1,1,8,0,3,3,0,5,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau dinsdag,0225::SB15,6651 DA,0,1121,2,2,0,0,0,1125,0,0,0,0,0,0,1125,348,85,260,78,21,115,124,19,18,25,2,1,4,1,8,0,8,0,0,0,0,1,1,0,2,0,0,0,0,0
Nijmegen,Druten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau woensdag,0225::SB16,6651 DA,0,43,0,0,0,0,0,43,0,0,0,0,0,0,43,13,2,3,4,2,9,1,0,2,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
