contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Europahal, 17 maart 2021",0373::SB1,1862 BC,1667,1148,1,0,0,0,9,1050,82,0,8,0,8,0,1141,305,90,61,246,64,39,48,4,87,7,0,2,50,2,32,5,59,0,3,0,0,8,8,3,1,0,0,3,0,19,2,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Tent naast Wijksteunpunt, 17 maart 2021",0373::SB2,1861 JW,1736,833,1,0,0,14,2,736,82,0,14,0,0,0,820,273,50,46,207,44,16,24,1,51,3,0,0,28,1,30,4,45,0,1,1,2,1,2,1,0,0,0,2,0,0,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau 't Oude Raethuys, 17 maart 2021",0373::SB3,1861 KS,1765,934,0,2,0,0,13,843,80,0,0,0,0,0,936,275,48,42,215,40,23,34,5,76,2,3,0,71,5,36,6,38,0,0,3,1,4,2,1,0,0,0,0,0,4,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gymzaal Jan Hogervorst, 17 maart 2021",0373::SB4,1861 LN,1793,937,0,0,0,0,2,835,100,0,0,0,0,0,937,213,64,43,233,59,44,48,7,100,4,0,3,31,2,22,4,33,0,1,0,0,5,7,4,1,0,0,1,0,8,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau T&O buurthuis, 17 maart 2021",0373::SB5,1862 XE,1539,1093,0,1,0,1,2,993,100,0,0,1,0,0,1095,228,87,49,255,70,55,41,8,112,9,1,2,75,10,13,5,45,2,3,0,2,4,2,1,1,1,0,4,0,8,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Tent t.o. Brede Bergense School, 17 maart 2021",0373::SB6,1862 HB,1587,843,7,1,0,8,0,786,57,0,8,0,0,0,843,185,57,64,210,77,31,47,5,57,6,2,0,42,1,12,4,26,0,6,0,1,2,2,1,0,0,1,1,0,3,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Hotel Victoria, 17 maart 2021",0373::SB7,1865 AB,283,258,0,1,0,0,19,212,28,0,0,0,0,0,259,79,18,10,70,18,0,9,1,23,2,0,0,7,0,16,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Hotel Merlet, 17 maart 2021",0373::SB8,1871 AC,1176,802,1,0,0,0,43,688,72,0,0,0,0,0,803,201,41,56,173,63,29,29,17,80,2,3,4,30,4,18,3,23,0,5,1,2,3,5,2,1,2,0,0,0,4,1,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Dorpscentrum De Blinkerd, 17 maart 2021",0373::SB9,1871 EM,1050,685,1,1,0,1,15,630,43,0,0,1,0,0,688,164,45,43,142,55,37,29,16,42,6,0,0,36,0,24,2,18,0,1,0,2,4,8,0,1,2,2,3,0,3,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gymzaal Gruttoweg, 17 maart 2021",0373::SB10,1873 JC,1506,924,4,3,0,0,11,831,89,0,0,0,0,0,931,199,72,76,163,55,66,59,5,78,10,4,1,43,5,25,3,20,0,2,1,1,2,18,1,3,0,0,5,0,4,3,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau SBB Schoorlse Duinen, 17 maart 2021",0373::SB11,1871 HA,1379,687,0,0,0,1,31,595,62,0,0,1,0,0,688,176,41,21,170,50,20,16,6,82,5,2,0,27,1,18,5,24,0,5,2,1,4,0,0,2,2,0,1,0,6,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Abdijwinkel, 17 maart 2021",0373::SB12,1935 AR,1056,687,2,5,0,2,2,644,46,0,2,0,0,0,692,179,102,49,97,32,34,23,9,48,8,0,0,54,3,17,1,10,0,1,0,1,4,13,0,0,0,0,1,0,1,0,0
Den Helder,Bergen (NH),TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Dorpshuis De Schulp, 17 maart 2021",0373::SB13,1935 EB,1165,1017,0,1,0,0,4,908,106,0,0,0,0,0,1018,270,130,80,152,36,48,30,11,57,20,1,0,71,3,31,12,24,0,1,1,3,4,21,0,0,0,0,3,0,6,2,0
