contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,Partij van de Eenheid,Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadhuis,0363::SB1,1011 PN,667,849,2,5,0,0,8,792,56,0,0,0,0,0,856,99,36,18,207,111,54,61,9,74,3,0,29,24,42,6,1,59,0,7,0,1,2,4,0,0,0,0,0,0,1,1,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadhuis,0363::SB2,1011 PN,770,492,1,2,0,1,3,458,35,0,0,1,0,0,496,55,13,6,137,57,17,28,5,46,0,0,12,23,30,4,2,41,1,6,2,0,3,2,1,0,0,0,0,0,0,1,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Leger des Heils,0363::SB4,1012 DB,1138,591,2,1,0,2,4,561,31,0,0,2,0,0,596,75,35,14,164,58,26,27,15,43,0,1,2,24,37,11,2,51,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau The Hoxton Hotel,0363::SB5,1016 BJ,859,837,0,0,0,0,9,770,57,0,1,0,0,0,836,175,14,20,287,62,12,23,5,56,1,1,2,14,32,11,1,100,1,3,0,3,7,0,1,1,0,0,0,1,1,2,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Hotel V,0363::SB6,1017 XV,1011,774,1,2,0,4,6,702,65,0,4,0,0,0,773,145,10,15,275,66,11,36,4,48,1,0,5,18,27,4,11,91,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Voormalige Stadstimmertuin,0363::SB7,1018 ET,792,650,3,1,0,0,2,618,34,0,0,0,0,0,654,88,12,18,209,72,22,48,8,59,0,0,3,5,32,9,1,58,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau OBS De Witte Olifant,0363::SB8,1011 DB,677,445,0,4,1,0,0,416,34,0,0,1,0,0,450,39,12,10,110,63,31,41,3,51,0,0,2,6,28,2,1,35,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,4,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau WeWork,0363::SB10,1018 VN,895,574,1,1,1,1,3,543,32,0,0,2,0,0,578,85,11,8,160,67,21,23,12,57,1,0,6,18,33,11,0,51,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Theo Thijssen,0363::SB12,1015 MS,1180,1432,4,2,0,0,4,1356,78,0,0,0,0,0,1438,156,88,26,376,169,78,111,4,139,6,1,10,53,55,18,2,107,0,12,2,1,11,1,0,0,0,1,2,1,0,0,1,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Korfbalvereniging Swift,0363::SB13,1018 ST,1091,774,3,0,0,0,1,755,21,0,0,0,0,0,777,92,13,15,240,108,28,78,6,62,4,4,1,13,23,12,2,68,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,
