contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Dinkelland,1774::SB1,7591 MA,1733,2714,6,8,0,28,14,2461,281,0,0,28,0,0,2756,831,294,575,270,93,132,81,20,42,18,1,3,142,2,73,5,38,0,5,1,2,1,72,2,1,0,0,10,0,0,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Dorper Esch,1774::SB2,7591 PT,1855,1121,1,1,0,0,0,1015,108,0,0,0,0,0,1123,331,115,246,120,27,57,36,9,17,6,2,2,54,1,34,2,19,0,0,1,1,2,33,2,1,0,1,2,0,0,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Drive-In stembureau,1774::SB3,7591 HJ,0,436,0,1,0,0,2,433,3,0,0,1,0,1,438,156,69,74,48,8,11,3,0,10,0,0,1,21,0,12,1,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kulturhus De Mare,1774::SB4,7591 PC,889,602,0,0,0,0,4,520,79,0,0,0,0,0,603,159,60,192,32,5,18,14,2,11,5,0,0,20,0,16,0,12,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gasterij de Smid,1774::SB5,7635 NC,850,668,0,0,0,0,2,577,89,0,0,0,0,0,668,146,57,188,25,3,11,6,5,7,1,1,0,41,0,12,1,4,0,0,0,1,1,157,1,0,0,0,0,0,0,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kulturhus Tilligte Terra Nova,1774::SB6,7634 PL,728,567,0,0,0,0,1,500,67,0,0,0,0,0,568,138,40,236,23,6,5,6,2,3,3,0,0,16,1,10,0,3,0,0,0,0,0,73,1,0,0,0,0,0,1,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cafe Groot Agelo,1774::SB7,7636 RL,805,432,0,0,0,0,2,383,47,0,0,0,0,0,432,118,31,145,18,7,9,4,1,6,2,6,0,20,0,10,0,7,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café Restaurant van Olffen,1774::SB8,7595 AR,1249,551,0,1,0,0,0,489,63,0,0,0,0,0,552,158,62,161,42,4,12,2,1,6,3,2,0,22,0,21,1,9,0,0,0,0,1,43,0,0,0,0,1,0,0,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapscentrum 't Trefpunt,1774::SB9,7595 XB,1175,1042,1,0,0,0,4,955,84,0,0,0,0,0,1043,291,126,285,85,17,37,19,6,12,12,3,0,30,0,31,5,14,0,1,1,1,6,55,0,2,1,0,2,0,0,0,0,,
Zwolle,Dinkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dancing Bruins,1774::SB10,7597 LR,1328,1072,1,3,0,0,0,920,159,0,0,0,0,0,1079,257,145,338,51,8,14,10,3,4,4,1,0,40,1,27,1,7,0,0,0,0,1,157,0,1,0,0,2,0,0,0,0,,
