contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),Wij zijn Nederland
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis 't Gulper Hoes 1,1729::SB1,6271 BG,1616,853,1,1,0,0,2,747,106,0,0,0,0,0,855,183,171,84,97,37,69,67,2,24,11,1,0,52,1,17,1,6,0,4,0,1,2,19,0,2,0,1,1,0,0,0
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis 't Gulper Hoes 2,1729::SB2,6271BG,1616,753,0,1,0,0,4,641,109,0,0,0,0,0,754,176,118,64,100,38,42,54,7,24,12,1,2,60,2,18,1,8,0,0,3,0,1,17,0,2,0,2,0,0,1,0
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis Reijmerstok,1729::SB3,6274NK,645,390,0,2,0,0,1,347,44,0,0,0,0,0,392,72,37,93,41,12,14,24,3,32,2,0,0,25,0,8,0,9,0,1,0,2,1,14,0,0,0,0,0,0,0,0
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis Wielderhoes,1729::SB4,6321BG,2070,1375,1,3,0,9,0,1213,157,0,9,0,0,0,1370,277,265,188,168,56,80,92,21,48,19,4,1,74,0,25,3,14,0,6,1,1,3,23,0,2,0,3,1,0,0,0
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis A gen Sjoeël,1729::SB6,6281AE,1509,1049,1,1,0,2,23,886,144,0,0,2,0,0,1053,196,159,155,118,59,56,89,7,54,11,3,2,56,0,18,2,20,0,2,0,0,3,24,0,3,3,1,6,0,2,0
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis 't Patronaat,1729::SB7,6285 BD,873,544,0,0,0,1,48,426,71,0,0,1,0,0,545,132,86,86,54,26,23,21,2,20,5,2,0,30,1,14,1,14,0,0,0,0,1,21,0,0,0,1,2,0,1,1
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Voormalig Sophianum,1729::SB8,6286 CG,570,427,0,1,0,1,0,369,60,0,0,1,0,0,429,83,78,54,41,9,39,28,4,24,3,1,0,38,1,7,1,13,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis A ge Wienhoes,1729::SB9,6286AM,580,474,1,1,0,1,0,432,45,0,0,1,0,0,477,114,68,57,59,12,39,42,4,13,5,8,0,26,0,6,0,9,1,0,0,1,1,7,0,0,0,2,0,0,0,0
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal basisschool Klavertje Vier,1729::SB10,6287BB,1388,1011,1,0,0,2,3,911,100,0,0,2,0,0,1014,209,123,240,109,45,73,58,8,46,13,0,0,28,0,15,1,21,0,1,1,2,6,9,3,0,0,0,0,0,0,0
Maastricht,Gulpen-Wittem,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeenschapshuis Wilder Tref,1729::SB11,6286BG,410,253,4,0,0,0,1,240,16,0,0,0,0,0,257,42,41,28,37,21,19,21,3,9,2,1,0,14,2,2,2,1,0,1,1,2,0,3,0,0,0,1,0,0,0,0
