contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadskantoor,0216::SB1,4101 BK,22210,1193,1,2,0,0,2,1068,126,0,0,0,0,0,1196,189,97,71,239,130,64,61,25,98,6,10,49,47,8,21,9,38,8,4,0,1,8,2,0,0,3,0,3,2,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadhuis,0216::SB2,4101 CA,0,1197,2,5,0,1,9,1091,103,0,1,0,0,0,1203,174,74,61,297,144,47,69,27,100,7,5,17,46,13,19,2,62,8,6,0,1,9,2,0,1,2,0,3,1,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gelderlandfabriek,0216::SB3,4101 NG,0,1041,1,0,0,6,6,947,95,0,0,6,0,0,1048,111,52,30,242,190,40,53,31,113,4,7,12,51,19,16,1,45,0,2,0,1,4,3,1,0,4,0,3,6,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Schoolhof (dep.Julianaschool),0216::SB4,4105 AS,0,772,0,2,0,0,2,642,129,0,0,0,1,0,773,125,102,32,91,64,32,40,11,28,6,10,123,42,3,17,1,16,12,1,1,2,5,5,0,0,0,0,2,1,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Josefschool,0216::SB5,4101 CZ,0,700,2,1,0,0,4,612,87,0,0,0,0,0,703,156,43,49,130,73,26,35,16,39,3,2,40,21,4,16,3,21,4,3,1,3,0,3,1,2,0,0,4,0,2,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Interweij 6,0216::SB6,4102 HM,0,312,2,0,0,0,0,281,33,0,0,0,0,0,314,73,29,26,54,20,19,14,8,10,2,2,7,15,1,15,0,7,3,1,0,0,0,2,0,0,1,0,1,1,1,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Interweij 7,0216::SB7,4102 HM,0,218,0,1,0,0,0,194,25,0,0,0,0,0,219,42,32,11,34,17,16,10,5,8,3,1,6,10,0,10,3,3,5,0,0,0,0,0,0,1,1,0,0,0,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Interweij 8,0216::SB8,4102 HM,0,188,1,1,0,0,0,174,16,0,0,0,0,0,190,43,22,12,26,10,7,5,7,4,0,0,10,19,0,4,1,9,4,0,0,0,3,0,0,0,1,0,0,1,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Salaamander,0216::SB9,4102 JA,0,2187,9,4,0,0,3,1973,225,0,0,1,0,1,2201,391,222,143,359,175,129,116,75,97,21,18,124,118,16,37,4,69,12,9,2,2,9,6,5,4,8,0,9,6,1,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Clubgebouw Hockey,0216::SB10,4102 CG,0,927,3,6,0,0,3,787,146,0,0,0,0,0,936,184,74,27,122,51,50,43,20,39,11,6,151,48,5,15,2,24,33,4,1,2,1,2,0,0,5,3,2,2,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Rode Kruisgebouw,0216::SB11,4105 AA,0,1414,2,0,0,0,6,1265,145,0,0,0,0,0,1416,321,152,99,252,111,66,82,45,58,11,14,39,65,7,40,1,28,3,3,2,1,4,3,1,1,0,1,3,1,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Augustinusschool,0216::SB13,4105 EA,0,817,1,1,0,0,1,737,81,0,0,0,0,0,819,233,74,43,144,61,37,37,21,15,12,2,24,43,9,20,3,22,4,1,1,1,2,0,0,1,4,0,1,2,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau BonVie,0216::SB14,4105 TH,0,996,5,1,0,0,0,886,116,0,0,0,0,0,1002,254,114,70,186,54,47,40,26,31,6,12,27,53,3,20,3,25,4,2,1,0,4,11,1,0,0,0,1,1,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Parijsch 15,0216::SB15,4105 TN,0,782,0,5,0,0,1,688,98,0,0,0,0,0,787,235,63,61,135,48,27,37,16,30,0,3,20,27,5,19,3,30,6,1,0,2,5,2,1,1,2,0,3,0,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Parijsch 16,0216::SB16,4105 TN,0,715,1,2,0,0,3,641,74,0,0,0,0,0,718,234,54,51,134,37,26,28,17,32,2,6,13,19,4,18,2,18,5,1,2,4,4,1,0,0,1,0,0,1,1,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Parijsch 17,0216::SB17,4105 TN,0,654,0,1,0,1,2,596,56,0,1,0,0,0,654,170,53,51,139,49,25,27,18,18,4,3,16,21,8,23,6,14,0,0,1,0,3,1,0,0,1,0,2,1,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Bon Vie 15 maart,0216::SB18,4105 TH,0,543,0,0,0,0,0,490,53,0,0,0,0,0,543,128,68,51,79,35,28,46,16,27,11,6,6,12,2,6,0,13,2,1,0,1,0,2,0,2,1,0,0,0,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Clubgebouw Hockey 15 maart,0216::SB19,4102 CG,0,555,0,0,0,3,2,554,2,0,0,3,0,0,558,111,71,52,73,27,29,65,21,21,6,6,15,26,1,11,0,5,1,0,0,1,0,5,0,0,5,0,1,2,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Bon Vie 16 maart,0216::SB20,4105 TH,0,519,0,0,0,2,1,435,85,0,0,2,0,0,521,103,62,60,77,31,40,37,8,22,9,15,13,12,3,14,1,7,1,0,0,1,0,1,2,0,0,0,0,0,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Clubgebouw Hockey 16 maart,0216::SB21,4102 CG,0,555,0,1,0,1,0,490,65,0,1,0,0,0,555,123,59,46,70,35,33,38,21,13,5,3,35,21,2,16,0,16,8,1,0,1,1,1,0,1,5,1,0,0,0,,
Nijmegen,Culemborg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Briefstembureau,0216::SB22,4101BK,0,1711,5,0,0,2,,,,,0,2,,,1718,421,151,288,174,48,109,233,80,47,44,19,22,8,1,27,1,18,1,0,0,1,1,1,1,6,7,0,2,0,0,0,0
