contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brugkerk Lopik WOENSDAG 17 maart 2021,0331::SB1,3411 JC,1522,692,1,1,0,0,1,609,84,0,0,0,0,0,694,134,94,121,51,14,32,12,47,11,8,38,19,54,4,18,2,11,3,1,1,1,2,9,1,0,0,0,3,0,1,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Schouw WOENSDAG 17 maart 2021,0331::SB2,3411 DJ,3056,2125,0,5,0,0,0,1864,267,1,0,0,0,0,2131,569,347,213,160,43,85,59,124,47,20,70,31,179,3,81,6,23,13,2,0,2,5,29,0,0,0,2,8,0,4,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Schep Partyservice WOENSDAG 17 maart 2021,0331::SB3,3412 KZ,1081,778,2,0,0,0,0,646,134,0,0,0,0,0,780,187,103,118,79,9,18,12,63,17,7,75,0,38,0,21,1,4,0,0,0,0,4,19,0,0,0,3,0,0,0,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ver. gebouw Jaarsveld WOENSDAG 17 maart 2021,0331::SB4,3413 MP,741,441,0,0,0,0,0,392,49,0,0,0,0,0,441,92,53,41,45,10,21,7,33,26,3,39,0,29,0,16,1,8,0,0,0,2,2,11,0,0,0,0,0,0,2,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau In 't Witte Paard WOENSDAG 17 maart 2021,0331::SB5,3411 EC,1091,766,1,1,0,0,0,661,107,0,0,0,0,0,768,251,66,130,82,13,12,13,15,17,9,15,0,51,0,40,3,15,0,1,0,0,2,30,0,0,0,0,1,0,0,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Benschop WOENSDAG 17 maart 2021,0331::SB6,3405 XJ,2893,1740,5,1,0,0,5,1549,192,0,0,0,0,0,1746,419,184,247,142,41,51,31,132,32,18,129,8,113,4,67,8,16,0,3,0,4,5,78,0,0,2,0,4,0,2,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis  Polsbroek WOENSDAG 17 maart 2021,0331::SB7,3415 PE,865,710,0,2,0,0,0,624,88,0,0,0,0,0,712,133,39,91,45,6,15,7,105,10,2,149,0,34,0,24,5,8,0,1,0,1,1,30,0,0,0,0,3,0,1,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentewerf Lopik MAANDAG 15 maart 2021,0331::SB8,3411 MB,0,118,0,0,0,0,8,97,13,0,0,0,0,0,118,34,13,12,14,2,4,6,6,4,0,9,0,4,0,2,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau WOENSDAG 17 maart 2021,0331::SB9,3411 CH,0,729,1,2,0,0,0,732,0,0,0,0,0,0,732,165,60,183,46,8,36,46,71,14,20,58,0,4,0,12,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Utrecht,Lopik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Early Voting stembureau WOENSDAG 17 maart 2021,0331::SB10,3411 CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
