contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 1 Café Het Wapen van Zundert,0879::SB1,4881 AR,1251,785,0,0,0,0,3,704,78,0,0,0,0,0,785,302,70,90,115,17,43,27,2,16,11,0,0,29,1,25,3,20,0,0,0,2,0,12,0,0,0,0,0,0,0,0,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Anna-school,0879::SB2,4881 XE,1255,636,4,4,0,0,3,579,62,0,0,0,0,0,644,135,118,56,61,22,62,29,2,9,14,1,30,44,3,11,1,8,12,1,0,0,5,9,0,0,1,0,0,2,0,0,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Onder de Mast,0879::SB3,4881 AN,1268,794,1,1,0,0,1,704,91,0,0,0,0,0,796,249,104,80,101,20,72,26,1,25,8,3,5,44,2,25,6,7,1,0,0,1,2,10,1,0,1,0,0,0,0,0,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Zonnebloem,0879::SB4,4881 EH,1440,701,1,0,0,0,1,606,95,0,0,0,0,0,702,290,83,70,102,12,29,12,0,7,11,2,0,30,1,15,5,14,0,0,1,0,1,15,0,0,0,0,0,1,0,0,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tenniscentrum de Leeuwerik,0879::SB5,4881 WZ,1254,810,0,0,0,0,1,713,96,0,0,0,0,0,810,276,153,66,82,14,51,24,3,14,10,4,3,50,1,23,5,11,1,1,0,2,6,10,0,0,0,0,0,0,0,0,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Wierenbos,0879::SB6,4884 AB,1925,1254,3,0,0,0,2,1142,113,0,0,0,0,0,1257,410,212,133,98,22,77,30,12,23,14,6,1,86,1,46,6,21,0,2,0,1,2,47,1,0,1,0,0,2,0,0,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis 't Gouwe Hart,0879::SB7,4885 AH,1490,944,2,1,0,0,0,802,146,1,0,1,0,0,948,304,150,155,52,13,39,28,3,26,3,1,0,36,2,19,2,9,2,0,4,3,5,82,2,0,1,0,0,2,0,1,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ouderencentrum Levenslust,0879::SB8,4882 BH,1775,1317,2,1,0,0,1,1191,128,0,0,0,0,0,1320,480,129,180,162,34,79,28,5,28,12,0,0,81,1,44,1,14,1,0,0,2,2,29,2,2,0,0,0,1,0,0,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Het Trefpunt 1,0879::SB9,4891 XR,1661,877,0,2,0,1,1,780,99,0,0,1,0,0,880,344,94,90,124,23,53,23,2,21,8,0,2,33,3,22,2,6,0,1,0,3,0,20,1,0,0,0,0,1,0,1,,
Tilburg,Zundert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Koutershof Zaal,0879::SB10,4891 CV,1846,1263,4,6,0,0,2,1271,0,0,0,0,0,0,1273,361,145,122,193,40,75,23,14,42,9,0,0,91,4,44,6,23,0,2,5,0,7,49,2,1,0,3,0,1,0,1,,
