contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadhuis 1,0034::SB1,,1447,1266,5,12,0,0,1,1149,133,0,0,0,0,0,1283,197,122,47,178,88,76,77,33,66,12,3,66,94,95,23,5,35,22,6,1,1,6,3,0,2,0,2,4,2,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum Amerika 1,0034::SB9,,2406,934,1,3,0,0,1,817,120,0,0,0,0,0,938,196,105,29,154,50,41,43,26,51,7,1,50,68,62,16,6,14,9,3,0,1,1,0,0,0,0,0,1,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum Meenten en Grienden,0034::SB12,,1458,1157,1,3,0,0,0,1055,106,0,0,0,0,0,1161,197,204,50,156,66,94,64,11,58,17,6,6,124,24,23,11,17,1,4,0,1,10,5,2,0,3,3,0,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau School Pirouette (vh Hasselbraam),0034::SB33,,1666,1043,5,5,1,0,2,937,115,0,0,1,0,0,1054,259,113,38,176,54,50,61,29,37,14,1,56,53,27,22,2,20,6,5,2,5,6,3,0,1,2,0,1,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Wieken,0034::SB34,,1557,1037,11,1,0,0,3,941,105,0,0,0,0,0,1049,169,135,42,118,63,79,55,35,64,6,2,33,99,44,22,5,16,17,8,3,5,7,2,1,1,2,1,3,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Taalcentrum Almere locatie Kruidenwijk,0034::SB38,,1857,1187,1,2,0,0,1,1049,140,0,0,0,0,0,1190,234,176,57,165,63,77,54,15,56,29,9,30,89,21,53,8,29,7,3,0,5,4,0,2,1,0,0,0,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum Parkwijk,0034::SB41,,1715,1214,2,8,0,0,4,1051,169,0,0,0,0,0,1224,240,139,47,188,82,74,76,27,43,12,5,50,77,56,40,7,20,15,3,2,1,5,1,1,1,0,0,2,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dependance school De Buitenburcht,0034::SB42,,1621,1076,1,8,0,0,1,957,128,1,0,1,0,0,1086,178,155,50,138,66,95,53,18,44,14,2,43,85,44,28,16,17,6,7,3,1,6,3,3,0,1,0,0,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum 't Kardoes,0034::SB44,,2291,792,8,3,0,0,1,719,82,0,1,0,1,0,802,116,83,23,83,63,51,55,18,45,5,6,54,70,48,20,4,8,19,9,0,1,4,1,1,0,0,2,3,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau School De Lettertuin,0034::SB46,,1694,1074,5,7,0,0,1,958,127,0,0,0,0,0,1086,226,133,51,152,48,71,33,14,48,17,2,40,97,47,26,10,25,7,0,3,4,10,2,0,1,2,3,2,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Taalcentrum Almere locatie Bloemenbuurt,0034::SB49,,1628,952,0,3,0,1,1,834,119,0,1,0,0,0,954,220,120,62,122,51,83,37,38,34,7,7,13,60,24,21,5,25,2,5,0,3,1,5,3,0,2,1,1,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtlokaal De Dop,0034::SB54,,1830,1898,8,6,0,0,3,1680,229,0,0,0,0,0,1912,405,238,85,245,110,136,68,63,67,26,7,102,116,87,37,11,21,28,5,0,11,9,6,4,1,3,5,1,1,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau School De Olijfboom,0034::SB57,,1462,901,0,2,0,0,1,796,106,0,0,0,0,0,903,194,77,52,188,60,52,46,15,34,10,1,15,54,18,29,1,26,7,7,0,4,5,2,0,1,2,0,1,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum Het Forum,0034::SB59,,1680,1284,4,7,0,0,4,1165,128,0,0,2,0,0,1297,234,194,58,173,53,93,66,39,42,20,6,46,124,43,44,8,17,4,5,1,2,3,4,2,0,0,1,2,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Filmwijkcentrum,0034::SB61,,1526,1389,3,1,0,0,2,1220,171,0,0,0,0,0,1393,331,136,57,221,73,94,74,33,52,16,3,51,94,43,42,5,35,12,5,2,0,5,0,0,0,1,4,0,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Ontmoetingshuis De Kern,0034::SB64,,2508,1316,2,0,0,0,2,1173,147,4,0,4,0,0,1322,415,90,60,231,100,25,31,45,134,11,1,1,45,9,54,6,37,4,3,0,4,3,6,1,0,0,0,0,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Taalcentrum Almere locatie Filmwijk,0034::SB67,,1487,1121,1,1,0,0,1,1014,108,0,0,0,0,0,1123,260,113,44,171,73,60,56,29,42,14,2,41,72,32,37,5,31,10,7,0,5,5,0,0,0,1,6,0,5,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Buurtschuur Nobelhorst,0034::SB68,,2284,1624,3,2,0,0,3,1450,175,0,1,0,1,0,1628,468,130,68,287,118,53,55,22,109,12,7,20,110,32,52,7,43,6,10,1,0,7,2,2,1,0,1,1,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau School De Archipel 1,0034::SB73,,1831,1143,5,3,0,0,1,986,165,1,0,1,0,0,1152,297,103,38,179,66,55,48,18,39,5,0,84,81,55,22,0,22,13,5,0,1,3,2,1,1,0,1,4,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum Cobra,0034::SB75,,3122,1556,6,11,0,0,4,1352,217,0,0,0,0,0,1573,335,193,77,253,74,103,92,32,34,7,9,75,92,71,30,12,22,13,10,0,3,10,4,0,3,0,0,2,0,,
Lelystad,Almere,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau School De Archipel 2,0034::SB77,,1575,1000,4,7,0,1,0,888,122,0,1,0,0,0,1010,226,82,36,180,71,56,47,21,35,8,2,36,103,24,14,7,20,15,2,1,3,3,2,1,0,1,3,0,1,,
