contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café De Brug woensdag 17-3-2021,1911::SB3,1761 JR,0,542,0,0,0,0,1,506,35,0,0,0,0,0,542,167,59,46,53,20,18,25,11,26,9,1,0,30,0,38,2,10,0,1,0,0,1,19,1,0,0,0,2,0,1,2,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café Wapen van Holland woensdag 17-3-2021,1911::SB4,1761 EB,0,1151,1,2,0,0,4,1036,114,0,0,0,0,0,1154,400,118,143,132,36,57,35,17,30,14,3,0,72,0,34,1,25,4,3,1,2,4,14,0,1,0,0,3,0,0,2,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 't Skrale End woensdag 17-3-2021,1911::SB8,1778 KM,0,510,0,1,0,0,3,454,54,0,0,0,0,0,511,129,79,39,66,18,24,26,14,14,6,6,1,34,1,16,5,8,0,1,0,0,2,17,0,2,0,0,1,0,0,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Cultuurschuur woensdag 17-3-2021,1911::SB12,1771 CE,0,985,2,2,0,3,6,894,86,0,3,0,0,0,986,213,136,76,109,36,83,38,22,29,13,8,2,109,3,29,8,19,0,2,2,0,4,29,3,2,0,0,7,0,2,0,1
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Meerbaak woensdag 17-3-2021,1911::SB13,1775 BH,0,1422,1,2,0,1,0,1276,150,0,0,1,0,0,1426,360,193,189,130,30,75,38,52,28,15,14,3,117,6,46,7,19,2,4,2,2,4,71,1,2,0,4,4,0,3,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Oude School woensdag 17-3-2021,1911::SB15,1766 JD,0,1117,1,0,0,0,2,994,122,0,0,0,0,0,1118,253,178,88,136,36,66,44,6,43,17,2,0,101,2,44,12,18,0,2,1,3,2,50,3,4,1,0,2,0,1,2,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tree (vm. Ankerkerk) woensdag 17-3-2021,1911::SB16,1777 EC,0,862,3,1,0,0,4,776,86,0,0,0,0,0,866,149,164,49,91,25,57,23,9,27,6,3,5,127,2,55,11,8,0,5,0,3,1,22,2,10,0,0,7,0,0,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw De Schakel woensdag 17-3-2021,1911::SB18,1774 AJ,0,929,2,0,0,1,0,835,97,0,0,1,0,0,932,251,90,122,93,24,38,45,33,16,14,7,1,65,3,28,6,13,0,0,0,2,1,72,0,1,0,0,4,0,0,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFC De Doorbraak woensdag 17-3-2021,1911::SB19,1773 AK,0,399,1,0,0,0,2,360,38,0,0,0,0,0,400,66,99,54,24,4,16,11,3,8,4,4,1,48,0,13,3,2,0,0,0,1,2,30,2,0,0,0,2,0,2,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café Beentjes woensdag 17-3-2021,1911::SB21,1731 RJ,0,980,0,0,0,0,0,884,96,0,0,0,0,0,980,252,143,80,118,34,60,46,7,37,12,1,0,89,2,38,8,16,3,4,0,4,4,12,0,4,0,0,3,0,2,1,0
