contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Ons Dorpshuis, Kruiningen",0703::SB1,4416 BK,960,880,1,3,0,1,2,751,132,0,0,1,0,0,885,122,80,48,48,6,18,25,16,13,6,393,1,49,0,21,4,9,1,2,0,2,1,12,2,1,0,0,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gemeentehuis, Kruiningen",0703::SB2,4416 BJ,1093,272,0,0,0,0,1,225,46,0,0,0,0,0,272,36,22,19,22,3,12,8,9,2,1,113,0,17,0,1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Dorpshuis Kaj Munk, Hansweert",0703::SB3,4417 AA,1184,759,0,2,0,0,2,681,78,0,0,0,0,0,761,167,181,59,51,19,45,76,11,21,12,9,1,68,1,13,6,0,0,4,0,0,5,7,0,0,0,2,1,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Dorpscentrum MeerWaarde, Waarde",0703::SB4,4414 AK,985,839,0,0,0,1,1,696,143,0,0,1,0,0,840,91,52,82,16,8,7,6,38,6,3,447,0,30,0,17,3,5,0,6,0,0,1,3,0,1,0,15,2,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Kerkelijk centrum De Haven, Yerseke",0703::SB5,4401 EE,995,696,0,0,0,1,3,573,119,0,1,0,0,0,695,114,119,53,22,8,26,19,42,10,6,194,0,43,0,14,5,5,0,0,0,1,6,9,0,0,0,0,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Dorpshuis Apeldoorn, Oostdijk",0703::SB6,4415 AE,418,376,0,0,0,0,0,316,60,0,0,0,0,0,376,15,6,19,2,0,2,0,26,2,1,279,0,11,0,4,0,1,0,0,0,0,0,7,0,0,0,1,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Verenigingsgebouw Geref. Gemeente, Yerseke",0703::SB7,4401 CB,1408,1067,2,3,0,2,1,851,222,0,0,2,0,0,1074,127,112,49,23,4,21,7,29,8,6,585,0,58,0,23,1,1,0,1,2,1,2,4,1,0,0,2,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Dorpshuis De Meiboom, Krabbendijke",0703::SB8,4413 GB,1025,790,0,2,0,0,0,685,107,0,0,0,0,0,792,110,59,60,23,8,17,21,49,10,0,363,1,41,2,8,0,5,0,1,0,0,1,9,1,0,0,1,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voetbalvereniging Krabbendijke,0703::SB9,4413 CN,988,763,0,1,0,0,1,631,132,0,0,0,0,0,764,101,58,73,27,16,23,15,57,10,4,313,11,35,0,9,0,1,0,0,0,2,2,5,0,0,0,1,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Dorpshuis Luctor et Emergo, Rilland",0703::SB10,4411 AP,1084,841,2,2,0,0,3,726,116,0,0,0,0,0,845,129,105,73,74,14,47,37,35,22,15,98,27,74,1,28,9,19,1,1,0,3,2,22,2,1,0,0,2,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gymzaal Cromvlietstraat, Rilland",0703::SB11,4411 AE,974,573,0,2,0,0,0,505,70,0,0,0,0,0,575,123,71,49,54,13,44,22,22,11,12,76,5,39,0,10,0,3,0,1,0,4,2,11,0,1,0,0,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Brandweerkazerne, Yerseke",0703::SB12,4401 KW,1293,761,2,1,0,0,6,630,128,0,0,0,0,0,764,154,107,60,22,11,31,16,45,8,11,186,2,62,0,28,1,3,1,3,0,1,1,6,0,0,0,2,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau MFC Tehaere, Yerseke",0703::SB13,4401 HZ,1166,706,0,1,0,4,1,564,146,0,0,4,0,0,711,127,92,64,22,3,10,8,43,9,5,231,1,43,0,23,5,2,0,1,1,1,0,12,2,0,0,0,1,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Reimerswaalhal, Kruiningen",0703::SB14,4416 RC,1222,964,0,2,0,1,3,797,165,0,1,0,0,0,965,155,73,63,47,14,24,34,53,17,4,393,3,45,0,21,0,6,3,0,1,0,0,6,0,0,0,1,1,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Verenigingsgebouw Geref. Kerk, Krabbendijke",0703::SB15,4413 BK,1010,670,0,0,0,1,0,568,101,0,1,0,0,0,669,71,33,52,27,7,7,7,48,6,5,360,0,29,1,10,0,3,0,1,0,0,0,1,0,0,0,2,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gemeentehuis 15 maart, Kruiningen",0703::SB16,4416 AK,0,161,0,0,0,0,0,140,21,0,0,0,0,0,161,36,15,20,11,4,8,5,8,4,5,35,0,4,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gemeentehuis 16 maart, Kruiningen",0703::SB17,4416 AK,0,254,0,0,0,0,2,214,38,0,0,0,0,0,254,45,29,22,14,5,10,13,7,5,6,72,0,16,0,3,1,2,0,0,0,1,0,2,0,0,0,1,0,0,,
Middelburg,Reimerswaal,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau MFC Tehaere 15 maart, Yerseke",0703::SB18,4401 HZ,0,197,0,1,0,0,0,169,29,0,0,0,0,0,198,30,22,33,7,0,14,21,16,1,6,36,0,3,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,
