contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Obe,0080::SB1,8911 DP,1350,950,3,1,0,0,13,898,47,0,0,4,0,0,958,119,46,52,222,111,41,87,16,86,5,1,4,64,11,15,3,45,0,5,1,2,4,5,1,1,1,0,1,0,0,1,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalen Schaaf,0080::SB2,8911 GJ,1408,925,5,4,0,9,3,891,31,0,9,0,0,0,925,101,50,45,171,115,50,54,13,85,4,4,1,85,26,16,8,69,0,9,1,3,9,3,1,0,0,0,2,0,0,0,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadsschouwburg De Harmonie,0080::SB3,8911 BP,1570,1274,4,2,0,0,0,1201,79,0,0,0,0,0,1280,171,48,47,360,170,50,81,19,74,5,3,5,70,22,27,4,74,3,8,1,9,12,5,4,0,0,0,2,0,0,0,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw De Toekomst,0080::SB4,8913 GL,1672,1414,2,0,0,6,4,1301,117,0,0,6,0,0,1422,281,81,84,349,114,80,87,50,62,8,3,1,85,7,35,3,59,0,2,2,3,9,4,1,0,0,2,2,0,0,0,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Pelikaankerk,0080::SB5,8916 AE,1676,1361,0,3,0,1,2,1279,84,0,0,1,0,0,1365,240,87,93,313,126,80,107,64,69,5,3,1,58,6,16,8,54,1,3,3,1,8,5,2,0,2,2,3,0,0,1,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau M.f.c. Westenkwartier,0080::SB6,8915 CD,1309,740,0,4,0,0,1,711,32,0,0,0,0,0,744,86,75,56,115,62,60,50,18,49,3,4,1,93,5,16,4,28,2,2,0,1,3,4,2,0,0,1,0,0,0,0,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau NHL Stenden Hogeschool,0080::SB7,8917 DD,1305,717,2,0,0,0,6,662,51,0,0,0,0,0,719,140,25,33,208,59,23,50,11,59,1,1,5,41,4,7,4,31,3,2,0,2,3,0,3,0,1,0,1,0,0,0,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tylkedam,0080::SB8,8918 LW,1319,558,0,1,0,0,0,502,57,0,0,0,0,0,559,69,79,34,69,30,70,53,15,26,5,3,15,46,8,5,6,9,0,6,0,1,1,2,3,0,0,2,0,1,0,0,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Bilgaard,0080::SB9,8918 HV,1215,952,4,9,0,0,3,862,100,0,0,0,0,0,965,99,156,47,96,65,102,79,18,40,13,2,56,120,9,15,2,11,10,1,0,1,2,4,0,3,0,1,0,0,0,0,,
Leeuwarden,Leeuwarden,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Adventkerk,0080::SB10,8918 AA,1463,756,0,1,0,0,0,688,69,0,0,0,0,0,757,70,70,35,119,73,66,73,31,49,2,2,31,62,15,4,0,22,9,5,3,2,1,7,2,0,1,1,0,1,0,0,,
