contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Rietlanden,0995::SB1,8233 BZ,1134,348,1,0,0,0,2,296,51,0,0,0,0,0,349,62,44,40,32,12,20,11,16,9,2,6,6,30,2,21,3,1,0,3,1,4,2,21,0,0,0,0,0,0,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Woonzorgcentrum De Uiterton,0995::SB2,8224 MA,1069,502,0,0,0,1,1,444,56,0,1,0,0,0,501,89,103,23,65,20,35,23,17,17,6,5,12,45,4,6,6,7,1,7,0,1,4,5,1,0,0,0,0,0,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau School Laetare,0995::SB3,8223 ZR,1504,770,1,4,0,0,0,661,114,0,0,0,0,0,775,99,104,28,91,33,47,40,25,21,4,2,112,78,20,4,1,9,23,5,3,0,1,6,1,0,9,0,3,1,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Zuiderzee,0995::SB4,8223 CL,1524,669,2,5,0,0,0,585,92,1,0,1,0,0,677,70,129,21,59,21,48,38,22,25,12,9,69,70,16,6,2,6,33,0,0,3,0,2,1,1,2,3,1,0,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Atolplaza,0995::SB5,8224 CM,1635,794,0,3,0,0,0,797,0,0,0,0,0,0,797,65,104,20,49,35,63,34,14,22,4,7,275,35,12,6,2,1,34,2,2,0,1,0,0,0,0,4,0,3,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkcentrum Ontmoetingskerk,0995::SB6,8224 CM,1490,826,4,2,0,2,1,724,109,0,0,2,0,0,834,109,118,42,103,39,63,66,30,34,13,9,68,54,9,17,6,12,15,1,0,3,8,3,1,0,0,3,0,0,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Voorhof,0995::SB7,8212 CA,1715,1063,0,1,0,0,0,954,110,0,0,0,0,0,1064,275,107,60,153,55,48,52,78,34,5,14,5,98,3,27,9,24,1,2,0,2,7,1,1,0,1,0,1,0,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau School Arcus,0995::SB8,8224 KR,1494,711,3,1,0,1,3,628,83,0,1,0,0,0,714,138,84,48,102,39,49,24,44,24,14,10,15,53,8,19,8,10,5,1,1,0,2,10,2,1,0,0,0,0,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtvereniging Het Palet,0995::SB9,8212 CA,1667,1147,4,1,0,0,2,1016,135,1,0,1,0,0,1153,195,186,71,138,73,87,49,46,63,16,13,10,106,8,30,6,25,0,3,0,1,3,8,4,1,1,1,1,2,,
Lelystad,Lelystad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtcentrum de Brink (2),0995::SB10,8225 SX,1442,726,0,1,0,0,1,650,77,1,0,1,0,0,728,107,126,18,78,31,60,40,24,28,10,3,27,102,12,13,9,12,3,8,1,1,4,1,3,0,2,2,1,0,,
