contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Malderburch,0252::SB1,6581 AE,1934,949,2,1,0,0,4,832,116,0,0,0,0,0,952,276,86,73,194,73,49,59,6,23,10,0,10,34,1,17,2,26,1,1,0,0,1,5,1,0,0,0,0,0,1,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau (voormalig) Basisschool De Vuurvogel 2,0252::SB2,6581 DM,1420,943,0,3,0,0,5,879,62,0,0,0,0,0,946,178,70,65,188,117,57,59,13,65,7,4,0,38,6,18,0,35,0,1,0,2,3,5,0,0,2,1,6,2,1,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum Malden,0252::SB3,6581 TC,1853,1019,1,4,0,1,7,929,89,0,0,1,0,0,1025,256,84,58,253,103,62,52,7,43,3,0,0,36,2,19,3,26,0,2,1,0,5,2,1,1,0,0,0,0,0,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw Terp,0252::SB4,6582 AL,1423,963,0,1,0,0,0,864,100,0,0,0,0,0,964,299,104,92,161,42,65,33,8,27,7,1,0,28,0,33,1,21,2,1,0,5,7,20,1,2,1,0,1,0,1,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw Overasselt,0252::SB5,6611 CE,2163,1241,1,3,0,0,6,1106,134,1,0,1,0,0,1246,391,107,135,190,56,63,84,10,64,3,0,1,32,3,29,1,24,0,3,0,2,4,34,0,0,0,1,4,0,0,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw  Nederasselt,0252::SB6,6612 BB,654,522,2,1,0,0,0,470,55,0,0,0,0,0,525,166,79,65,53,21,36,21,3,7,4,0,0,20,1,14,0,8,0,0,1,0,3,17,0,0,0,0,1,2,0,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau (voormalig) Basisschool Vuurvogel 1,0252::SB7,6581 TC,1516,882,1,1,0,1,1,818,64,0,1,0,0,0,883,129,42,56,241,127,46,59,20,67,10,1,0,30,9,8,1,28,0,1,0,0,5,0,0,1,0,0,0,1,0,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Multifunctioneel centrum Maldensteijn,0252::SB8,6581 AC,2249,1701,1,4,0,4,7,1543,160,0,0,4,0,0,1710,463,139,120,410,130,88,73,13,52,14,0,3,60,8,34,2,57,4,8,1,2,9,3,3,1,0,0,1,0,3,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw Overasselt,0252::SB51,6611 CE,0,179,0,0,0,0,0,167,12,0,0,0,0,0,179,35,18,37,30,5,10,21,4,11,5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw Overasselt,0252::SB52,6611 CE,0,187,0,0,0,0,0,172,15,0,0,0,0,0,187,56,22,34,17,7,14,12,3,5,3,0,0,4,1,4,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Multifunctioneel centrum Maldensteijn,0252::SB81,6581 AC,0,604,1,2,0,0,2,555,50,0,0,0,0,0,607,149,42,92,101,22,58,63,8,12,7,2,2,8,0,13,2,14,0,0,0,0,0,5,3,0,0,0,1,0,0,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Multifunctioneel centrum Maldensteijn,0252::SB82,6581 AC,0,578,1,0,0,0,2,522,55,0,0,0,0,0,579,167,48,52,112,20,49,43,8,23,3,0,1,14,1,16,2,16,0,0,0,0,0,0,0,0,0,0,3,0,0,,
Nijmegen,Heumen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0252::SB999,6581 AC,0,1456,3,7,0,1,,,,,0,1,,,1467,335,79,366,171,48,141,164,35,41,27,0,0,14,0,16,1,11,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0
